ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
9320001.00,9320001.00,57.9,54.6,0.0,0.0,0.0,0.0,0.8,1.0,0.6,0.0,0.0,38.1,4.1,2425
9320002.00,9320002.00,35.2,30.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6,6.1,1220
9320003.00,9320003.00,54.1,46.5,0.4,1.2,1.9,0.4,0.6,0.8,0.4,0.4,0.5,41.5,4.4,7910
9320004.00,9320004.00,49.3,40.6,0.3,0.4,2.5,0.7,1.4,1.6,0.6,0.0,0.1,44.9,5.8,7455
9320005.01,9320005.01,43.8,29.8,3.0,3.8,1.3,0.8,0.4,1.3,0.9,1.7,0.0,50.5,5.5,3820
9320005.02,9320005.02,23.4,9.8,1.4,2.0,3.5,0.4,0.7,2.2,0.9,1.5,0.3,69.2,7.5,6710
9320006.00,9320006.00,33.6,16.9,2.2,2.9,4.0,0.8,1.5,2.4,0.6,1.9,0.1,60.2,6.1,7090
9320007.01,9320007.01,30.2,18.1,1.0,1.6,2.9,0.0,1.5,1.4,0.9,1.0,0.7,63.7,6.2,4010
9320007.02,9320007.02,30.7,20.2,1.7,1.0,2.1,0.3,1.3,0.5,0.5,1.3,0.5,67.4,2.0,5590
9320008.03,9320008.03,80.3,72.3,1.9,1.2,0.8,0.0,0.5,2.3,0.0,0.2,0.2,18.3,1.6,6410
9320008.04,9320008.04,85.8,81.3,0.6,0.1,0.6,0.0,0.2,1.6,0.0,0.0,0.0,13.1,1.0,6745
9320008.05,9320008.05,80.2,72.2,1.5,0.3,0.8,0.0,1.2,1.4,0.2,0.4,0.0,18.1,1.6,4630
9320008.06,9320008.06,68.1,55.1,2.5,2.1,0.5,1.0,2.3,2.7,0.0,0.0,0.0,30.5,1.2,3655
9320009.01,9320009.01,73.7,66.3,1.2,0.8,0.6,0.0,0.8,2.4,0.0,0.0,0.0,23.6,2.7,7130
9320009.02,9320009.02,41.1,34.0,1.0,1.0,1.8,0.7,0.6,1.0,0.0,0.2,0.2,55.2,3.6,6040
9320011.00,9320011.00,16.1,7.3,1.6,1.2,2.4,0.0,1.0,0.2,0.0,1.3,0.4,77.4,6.5,7360
9320012.01,9320012.01,17.9,7.6,1.2,1.1,1.6,0.0,0.8,1.5,0.2,2.6,0.5,76.0,6.0,5635
9320012.02,9320012.02,16.5,6.8,1.8,0.6,0.9,0.0,0.7,1.1,0.0,2.8,0.0,77.1,6.5,4495
9320013.01,9320013.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,79.2,120
9320013.02,9320013.02,28.8,24.6,1.3,0.3,0.9,0.0,0.0,0.4,0.0,0.4,0.0,66.5,4.7,3520
9320014.01,9320014.01,26.5,18.5,1.2,1.1,0.8,0.0,1.2,1.7,0.0,0.0,0.7,69.2,4.3,6535
9320014.02,9320014.02,56.7,42.1,1.0,3.6,2.7,0.5,0.9,2.7,0.6,0.0,0.7,41.2,2.0,5180
