ctuid,name,median_income
9320001.00,0001.00 - Abbotsford - Mission,121000.0
9320002.00,0002.00 - Abbotsford - Mission,85000.0
9320003.00,0003.00 - Abbotsford - Mission,77000.0
9320004.00,0004.00 - Abbotsford - Mission,93000.0
9320005.01,0005.01 - Abbotsford - Mission,83000.0
9320005.02,0005.02 - Abbotsford - Mission,54000.0
9320006.00,0006.00 - Abbotsford - Mission,59200.0
9320007.01,0007.01 - Abbotsford - Mission,56000.0
9320007.02,0007.02 - Abbotsford - Mission,60800.0
9320008.03,0008.03 - Abbotsford - Mission,110000.0
9320008.04,0008.04 - Abbotsford - Mission,109000.0
9320008.05,0008.05 - Abbotsford - Mission,101000.0
9320008.06,0008.06 - Abbotsford - Mission,104000.0
9320009.01,0009.01 - Abbotsford - Mission,110000.0
9320009.02,0009.02 - Abbotsford - Mission,94000.0
9320011.00,0011.00 - Abbotsford - Mission,112000.0
9320012.01,0012.01 - Abbotsford - Mission,128000.0
9320012.02,0012.02 - Abbotsford - Mission,125000.0
9320013.02,0013.02 - Abbotsford - Mission,112000.0
9320014.01,0014.01 - Abbotsford - Mission,123000.0
9320014.02,0014.02 - Abbotsford - Mission,122000.0
9320100.00,0100.00 - Abbotsford - Mission,112000.0
9320101.00,0101.00 - Abbotsford - Mission,75500.0
9320102.00,0102.00 - Abbotsford - Mission,67000.0
9320103.00,0103.00 - Abbotsford - Mission,58800.0
9320104.00,0104.00 - Abbotsford - Mission,106000.0
9320105.00,0105.00 - Abbotsford - Mission,119000.0
9320106.04,0106.04 - Abbotsford - Mission,126000.0
9320106.05,0106.05 - Abbotsford - Mission,104000.0
9320106.06,0106.06 - Abbotsford - Mission,141000.0
9320200.00,0200.00 - Abbotsford - Mission,65500.0
9320201.01,0201.01 - Abbotsford - Mission,100000.0
9320201.02,0201.02 - Abbotsford - Mission,113000.0
9320202.00,0202.00 - Abbotsford - Mission,87000.0
9320203.00,0203.00 - Abbotsford - Mission,98000.0
9320204.00,0204.00 - Abbotsford - Mission,110000.0
9320205.00,0205.00 - Abbotsford - Mission,123000.0
9320206.01,0206.01 - Abbotsford - Mission,98000.0
9320206.02,0206.02 - Abbotsford - Mission,60000.0
9320207.00,0207.00 - Abbotsford - Mission,109000.0
5680001.01,0001.01 - Barrie,123000.0
5680001.02,0001.02 - Barrie,92000.0
5680001.04,0001.04 - Barrie,114000.0
5680001.05,0001.05 - Barrie,102000.0
5680001.06,0001.06 - Barrie,111000.0
5680001.07,0001.07 - Barrie,128000.0
5680002.00,0002.00 - Barrie,94000.0
5680003.00,0003.00 - Barrie,98000.0
5680004.01,0004.01 - Barrie,112000.0
5680004.03,0004.03 - Barrie,106000.0
5680004.04,0004.04 - Barrie,100000.0
5680004.05,0004.05 - Barrie,103000.0
5680004.06,0004.06 - Barrie,125000.0
5680004.07,0004.07 - Barrie,102000.0
5680005.00,0005.00 - Barrie,83000.0
5680006.00,0006.00 - Barrie,54800.0
5680007.00,0007.00 - Barrie,59600.0
5680008.00,0008.00 - Barrie,101000.0
5680009.00,0009.00 - Barrie,97000.0
5680010.00,0010.00 - Barrie,85000.0
5680011.01,0011.01 - Barrie,88000.0
5680011.02,0011.02 - Barrie,62800.0
5680012.01,0012.01 - Barrie,93000.0
5680012.02,0012.02 - Barrie,94000.0
5680013.00,0013.00 - Barrie,65000.0
5680014.00,0014.00 - Barrie,78500.0
5680015.01,0015.01 - Barrie,93000.0
5680015.02,0015.02 - Barrie,87000.0
5680015.03,0015.03 - Barrie,97000.0
5680016.00,0016.00 - Barrie,90000.0
5680100.00,0100.00 - Barrie,100000.0
5680101.00,0101.00 - Barrie,112000.0
