ctuid,name,english,french,mandarin,punjabi,cantonese,spanish,arabic,tagalog,italian,vietnamese,portuguese,urdu,other,population
9320001.00,9320001.00,65.1,0.4,0.0,26.2,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,7.7,2405
9320002.00,9320002.00,73.1,0.0,0.0,17.1,0.0,0.4,0.0,0.0,0.0,1.2,0.0,0.0,8.2,1225
9320003.00,9320003.00,57.2,0.1,0.1,31.4,0.0,0.4,0.6,0.4,0.0,0.4,0.0,0.4,9.0,7930
9320004.00,9320004.00,61.0,0.1,0.1,27.2,0.1,0.5,0.9,0.5,0.0,0.6,0.0,0.1,8.9,7455
9320005.01,9320005.01,69.8,0.1,0.9,19.4,0.3,0.5,0.5,0.1,0.0,0.4,0.0,0.1,7.9,3940
9320005.02,9320005.02,86.2,0.3,0.2,4.4,0.1,0.7,0.3,0.5,0.1,0.4,0.0,0.1,6.7,6850
9320006.00,9320006.00,75.2,0.3,0.5,10.4,0.2,1.0,0.6,0.7,0.0,0.2,0.1,0.2,10.6,7230
9320007.01,9320007.01,74.1,0.4,0.6,13.8,0.1,0.7,0.6,1.1,0.0,0.4,0.0,0.0,8.2,4130
9320007.02,9320007.02,76.5,0.3,0.3,13.0,0.3,0.5,0.3,0.6,0.0,0.3,0.0,0.2,7.7,5725
9320008.03,9320008.03,36.1,0.1,0.3,49.7,0.2,0.3,0.1,0.5,0.0,0.7,0.0,0.2,11.8,6405
9320008.04,9320008.04,31.4,0.1,0.2,56.3,0.0,0.1,0.0,0.1,0.0,0.3,0.0,0.1,11.4,6745
9320008.05,9320008.05,33.4,0.0,0.2,51.9,0.4,0.5,0.0,0.2,0.0,0.8,0.0,0.2,12.4,4815
9320008.06,9320008.06,47.8,0.0,0.3,40.2,0.4,0.4,0.4,0.3,0.0,1.2,0.0,0.0,9.0,3470
9320009.01,9320009.01,41.0,0.1,0.1,46.3,0.4,0.3,0.0,0.2,0.0,0.5,0.0,0.2,10.9,7130
9320009.02,9320009.02,68.4,0.0,0.3,21.9,0.3,0.4,0.6,0.3,0.0,0.6,0.0,0.2,7.0,5910
9320011.00,9320011.00,91.3,0.1,0.5,3.4,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.3,3.8,7365
9320012.01,9320012.01,92.0,0.0,0.3,2.3,0.1,0.2,0.2,0.2,0.0,0.3,0.0,0.0,4.4,5635
9320012.02,9320012.02,92.9,0.0,0.6,1.1,0.4,0.1,0.0,0.3,0.0,0.6,0.0,0.0,4.0,4485
9320013.01,9320013.01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
9320013.02,9320013.02,79.7,0.3,0.3,14.1,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.3,4.8,3515
9320014.01,9320014.01,83.5,0.1,0.2,9.1,0.2,0.4,0.0,0.2,0.1,1.5,0.1,0.1,4.5,6740
9320014.02,9320014.02,60.3,0.0,0.1,26.5,0.2,0.4,0.3,0.7,0.0,2.6,0.0,0.2,8.7,5115
9320100.00,9320100.00,85.3,0.0,0.4,8.4,0.1,1.5,0.0,1.2,0.0,0.3,0.0,0.0,2.8,3375
9320101.00,9320101.00,81.4,0.2,0.9,9.7,0.2,1.0,0.3,0.2,0.0,0.3,0.0,0.2,5.6,2875
9320102.00,9320102.00,80.0,0.3,1.2,7.5,0.1,0.8,0.9,0.6,0.0,0.4,0.1,0.2,7.9,5385
9320103.00,9320103.00,89.3,0.5,0.0,1.3,0.0,0.5,0.3,0.3,0.0,0.3,0.0,0.0,7.5,1965
9320104.00,9320104.00,89.1,0.0,0.4,3.3,0.3,0.2,0.2,0.3,0.0,0.3,0.1,0.0,5.8,5335
9320105.00,9320105.00,87.4,0.1,0.9,4.9,0.6,0.3,0.2,0.2,0.0,0.4,0.0,0.2,4.8,4525
9320106.03,9320106.03,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,235
9320106.04,9320106.04,85.1,0.2,1.7,4.4,0.6,0.2,0.1,0.1,0.0,0.5,0.1,0.4,6.6,4705
9320106.05,9320106.05,87.7,0.0,0.6,3.6,0.2,0.4,0.0,0.1,0.0,0.4,0.0,0.4,6.6,4185
9320106.06,9320106.06,90.5,0.3,0.9,2.1,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.4,5.0,4980
9320200.00,9320200.00,93.3,0.4,0.1,2.2,0.0,0.4,0.3,0.1,0.1,0.1,0.0,0.0,3.0,3905
9320201.01,9320201.01,89.9,0.1,0.0,4.7,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.1,4.4,4760
9320201.02,9320201.02,90.5,0.1,0.2,4.1,0.1,0.2,0.1,0.4,0.0,0.2,0.0,0.0,4.1,4460
9320202.00,9320202.00,87.6,0.2,0.2,6.9,0.1,0.4,0.3,0.3,0.0,0.2,0.0,0.3,3.5,7875
9320203.00,9320203.00,86.5,0.0,0.0,7.5,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,5.3,3070
9320204.00,9320204.00,91.7,0.1,0.0,3.3,0.0,0.3,0.0,0.3,0.0,0.4,0.0,0.0,3.9,3790
9320205.00,9320205.00,82.6,0.0,0.1,11.3,0.1,0.2,0.0,0.1,0.0,0.3,0.0,0.1,5.2,8295
9320206.01,9320206.01,95.2,0.2,0.7,0.4,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.6,2825
9320206.02,9320206.02,98.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330
9320207.00,9320207.00,94.9,0.0,0.2,1.5,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.7,2055
5680001.01,5680001.01,92.0,0.4,0.8,0.2,0.1,0.6,0.1,0.1,0.1,0.1,0.5,0.2,4.8,7855
5680001.02,5680001.02,92.6,0.4,0.2,0.2,0.2,1.1,0.2,0.1,0.1,0.1,0.5,0.5,3.8,6100
5680001.04,5680001.04,86.3,0.5,0.7,0.4,0.1,1.7,0.3,0.2,0.2,0.2,0.6,0.6,8.2,6205
5680001.05,5680001.05,85.1,0.7,0.7,0.9,0.1,1.1,0.2,0.5,0.4,0.3,0.5,0.8,8.7,4965
5680001.06,5680001.06,94.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,845
5680001.07,5680001.07,85.2,0.4,1.4,0.5,0.2,1.0,0.4,0.2,0.1,0.3,0.4,0.6,9.3,8195
5680002.00,5680002.00,92.8,0.8,0.4,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1325
5680003.00,5680003.00,84.1,1.1,0.8,0.4,0.0,1.9,0.4,0.6,0.4,0.0,0.2,1.3,8.8,2365
5680004.01,5680004.01,90.3,0.9,0.3,0.3,0.0,0.6,0.1,0.2,0.4,0.2,0.5,0.1,6.1,4780
5680004.03,5680004.03,88.8,1.0,0.3,0.0,0.0,1.5,0.3,0.5,0.1,0.1,0.8,0.4,6.2,3670
5680004.04,5680004.04,89.3,0.4,0.6,0.2,0.2,1.1,0.3,0.7,0.1,0.1,0.5,0.3,6.2,5965
5680004.05,5680004.05,89.8,0.7,0.4,0.2,0.0,0.9,0.2,0.2,0.2,0.2,0.2,0.2,6.8,6350
5680004.06,5680004.06,85.8,0.7,0.6,0.6,0.2,0.9,0.2,0.3,0.3,0.2,0.6,0.5,9.1,6280
5680004.07,5680004.07,88.1,0.3,0.6,0.1,0.3,1.4,0.0,0.3,0.3,0.3,0.6,0.3,7.4,3535
5680005.00,5680005.00,93.9,0.4,0.0,0.1,0.0,0.7,0.1,0.3,0.1,0.1,0.2,0.1,4.0,6845
5680006.00,5680006.00,94.2,0.9,0.1,0.0,0.1,0.7,0.0,0.0,0.2,0.0,0.5,0.0,3.3,4105
5680007.00,5680007.00,94.0,0.4,0.0,0.3,0.0,0.6,0.7,0.3,0.1,0.0,0.3,0.0,3.3,3515
5680008.00,5680008.00,91.1,0.8,0.3,0.5,0.1,0.6,0.2,0.1,0.0,0.3,0.6,0.3,5.1,5945
5680009.00,5680009.00,92.2,0.2,0.2,0.4,0.0,1.1,0.1,0.2,0.1,0.0,0.2,0.4,4.9,6060
5680010.00,5680010.00,92.3,0.5,0.0,0.5,0.2,0.9,0.2,0.2,0.2,0.1,0.4,0.5,4.0,4025
5680011.01,5680011.01,90.8,0.6,0.3,0.2,0.2,0.8,0.3,0.3,0.1,0.1,0.7,0.7,4.9,7235
5680011.02,5680011.02,92.0,0.4,0.2,0.7,0.0,1.5,0.7,0.0,0.0,0.0,0.0,0.7,3.8,2300
5680012.01,5680012.01,88.0,0.6,0.8,0.3,0.3,1.3,0.2,0.2,0.2,0.3,0.5,1.0,6.3,3135
5680012.02,5680012.02,90.7,0.6,0.8,0.5,0.2,0.8,0.4,0.3,0.0,0.2,0.1,0.5,4.9,5990
5680013.00,5680013.00,94.5,0.5,0.1,0.3,0.0,0.3,0.3,0.1,0.1,0.2,0.2,0.4,3.0,6575
5680014.00,5680014.00,95.7,0.3,0.1,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,3.0,5005
5680015.01,5680015.01,81.1,0.6,1.7,2.2,0.2,1.3,0.1,0.0,0.0,0.1,0.4,0.5,11.8,4100
5680015.02,5680015.02,88.6,0.2,1.3,1.5,0.0,0.6,0.4,0.0,0.0,0.4,0.0,0.0,7.0,2315
5680015.03,5680015.03,86.2,0.3,1.9,2.6,0.1,0.5,0.0,0.0,0.1,0.6,0.1,0.6,7.0,3885
5680016.00,5680016.00,90.3,0.5,0.5,0.7,0.3,0.4,0.1,0.0,0.3,0.2,0.2,0.3,6.2,5555
5680100.00,5680100.00,89.8,0.3,0.3,0.1,0.1,1.2,0.0,0.0,0.3,0.0,0.4,0.3,7.2,5525
5680101.00,5680101.00,90.8,0.2,0.2,0.7,0.1,0.5,0.1,0.0,0.3,0.1,1.0,0.2,5.8,5620
5680102.01,5680102.01,92.0,1.0,0.2,0.0,0.3,0.7,0.0,0.0,0.2,0.2,0.2,0.0,5.2,3075
5680102.02,5680102.02,88.7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,9.7,310
5680102.03,5680102.03,97.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,2.2,2625
5680102.04,5680102.04,83.2,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.2,12.6,925
5680103.03,5680103.03,88.8,0.7,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,1.4,0.0,7.0,715
5680103.04,5680103.04,85.5,0.2,0.3,0.3,0.0,1.5,0.3,0.2,0.3,0.2,1.2,0.2,9.8,3305
5680103.05,5680103.05,93.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.7,0.0,5.7,4145
5680103.06,5680103.06,83.9,0.1,0.4,0.3,0.1,2.4,0.2,0.0,0.8,0.2,1.2,0.4,10.0,6875
5680103.07,5680103.07,83.6,0.0,0.9,0.3,0.1,1.2,0.0,0.1,1.3,0.3,1.2,0.0,11.0,3865
5680103.08,5680103.08,93.8,0.4,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.1,0.3,0.0,4.7,3700
5680104.00,5680104.00,96.1,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.3,0.0,2.6,3860
5680200.00,5680200.00,97.2,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,5120
5680201.00,5680201.00,92.3,0.6,0.7,0.3,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.2,4.5,8360
5680202.01,5680202.01,97.7,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,1.6,5530
5680202.02,5680202.02,98.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2610
5220001.00,5220001.00,94.9,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.3,1365
5220002.00,5220002.00,96.4,0.2,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,2.4,3090
5220003.00,5220003.00,96.7,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,2.5,2255
5220004.00,5220004.00,97.0,0.2,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,2.3,4285
5220005.00,5220005.00,95.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1310
5220006.00,5220006.00,94.9,0.4,0.2,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5870
5220007.00,5220007.00,91.6,0.5,0.2,0.7,0.1,0.3,0.5,0.1,0.1,0.2,0.2,0.1,5.4,7155
5220008.00,5220008.00,97.6,0.2,0.0,0.2,0.0,0.3,0.0,0.0,0.2,0.0,0.2,0.0,1.3,3270
5220009.00,5220009.00,94.2,0.2,0.6,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.2,3.8,2345
5220011.00,5220011.00,94.8,0.6,0.0,0.4,0.0,0.1,0.0,0.4,0.1,0.0,0.2,0.1,3.3,4000
5220012.00,5220012.00,93.1,0.6,0.3,0.8,0.1,0.4,0.1,0.5,0.0,0.2,0.2,0.0,3.7,7100
5220015.00,5220015.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
5220200.00,5220200.00,98.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2350
5220201.00,5220201.00,91.4,1.1,0.3,0.5,0.1,0.3,0.2,0.2,0.0,0.4,0.1,0.8,4.6,6595
5220202.00,5220202.00,98.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3140
5220300.00,5220300.00,95.1,1.3,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,2.9,4200
