dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name,population
48060056,59.8,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060056,485
48060057,37.2,60.3,0.0,0.0,0.0,2.6,0.0,0.0,0.0,StatCan area #48060057,390
48060058,50.5,36.8,7.4,0.0,0.0,5.3,0.0,0.0,0.0,StatCan area #48060058,475
48060059,64.9,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060059,385
48060060,42.2,46.1,0.0,0.0,0.0,10.2,0.0,0.0,0.0,StatCan area #48060060,640
48060061,49.0,42.7,5.2,0.0,0.0,0.0,0.0,0.0,2.1,StatCan area #48060061,480
48060062,50.4,38.7,5.9,0.0,0.0,0.0,0.0,0.0,2.5,StatCan area #48060062,595
48060063,33.8,44.6,18.7,0.0,0.0,2.9,0.0,0.0,0.0,StatCan area #48060063,695
48060064,37.2,41.5,9.6,0.0,0.0,6.4,0.0,0.0,0.0,StatCan area #48060064,470
48060065,40.3,51.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060065,385
48060066,36.3,58.2,0.0,0.0,0.0,0.0,0.0,0.0,3.3,StatCan area #48060066,455
48060067,46.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060067,565
48060068,29.3,58.5,6.1,0.0,0.0,0.0,0.0,0.0,3.7,StatCan area #48060068,410
48060069,33.3,57.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060069,390
48060070,32.4,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060070,340
48060071,46.5,45.6,0.0,0.0,0.0,2.6,0.0,0.0,2.6,StatCan area #48060071,570
48060072,44.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060072,375
48060073,43.5,47.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060073,425
48060074,41.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060074,280
48060075,35.1,55.4,0.0,0.0,0.0,4.1,0.0,0.0,4.1,StatCan area #48060075,370
48060077,33.8,55.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060077,385
48060078,52.4,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060078,630
48060079,38.7,33.9,27.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060079,620
48060080,52.5,28.8,16.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #48060080,295
48060085,38.7,50.4,3.4,0.0,0.0,5.0,0.0,0.0,0.0,StatCan area #48060085,595
48060086,23.7,61.3,0.0,0.0,0.0,4.3,0.0,0.0,2.2,StatCan area #48060086,465
