dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
24520101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24520101,855
24520102,9.2,0.0,0.0,5.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,90.8,0.0,StatCan area #24520102,595
24520103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,3.7,StatCan area #24520103,410
24520104,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7,3.0,StatCan area #24520104,825
24520105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,2.2,StatCan area #24520105,455
24520106,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,0.0,StatCan area #24520106,465
24520107,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,1.6,StatCan area #24520107,945
24520108,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,StatCan area #24520108,870
24520109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,1.5,StatCan area #24520109,655
24520110,10.8,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,2.3,StatCan area #24520110,1300
24520111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1,6.9,StatCan area #24520111,580
24520112,2.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,93.4,4.1,StatCan area #24520112,1590
24520113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24520113,605
24520114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.4,3.0,StatCan area #24520114,830
24520115,1.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,96.9,0.9,StatCan area #24520115,1630
24520116,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,1.2,StatCan area #24520116,830
24520117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,3.3,StatCan area #24520117,910
24550075,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,StatCan area #24550075,705
24550076,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,96.9,0.0,StatCan area #24550076,795
24550077,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,1.7,StatCan area #24550077,580
24550078,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,StatCan area #24550078,505
24550079,6.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.2,1.0,StatCan area #24550079,1020
24550080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,StatCan area #24550080,735
24550081,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9,2.0,StatCan area #24550081,490
24550082,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,4.3,StatCan area #24550082,585
24550083,3.9,0.0,0.0,2.8,0.0,1.1,0.0,0.0,0.0,0.0,0.0,93.3,2.8,StatCan area #24550083,900
24550084,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,StatCan area #24550084,400
24550085,4.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,94.1,1.5,StatCan area #24550085,1010
24550086,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,0.9,StatCan area #24550086,1065
24550087,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.9,1.2,StatCan area #24550087,800
24550088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,5.5,StatCan area #24550088,365
24560136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560136,310
24560137,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,1.4,StatCan area #24560137,1060
24560138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,StatCan area #24560138,410
24560139,3.2,0.0,2.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,StatCan area #24560139,1410
24560140,6.4,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,90.9,3.6,StatCan area #24560140,550
24560141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560141,305
24560142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,StatCan area #24560142,725
24560143,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.0,StatCan area #24560143,360
24560144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560144,415
24560145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,StatCan area #24560145,405
24560146,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0,StatCan area #24560146,470
24560147,6.8,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,91.7,1.5,StatCan area #24560147,1330
24560148,9.2,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,0.0,StatCan area #24560148,705
24560149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560149,625
24560150,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,1.3,StatCan area #24560150,780
24560151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,4.4,StatCan area #24560151,340
24560152,8.5,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,92.6,0.0,StatCan area #24560152,470
24560153,11.7,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3,0.0,StatCan area #24560153,385
24560154,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,0.0,StatCan area #24560154,385
24560155,9.2,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,0.0,StatCan area #24560155,380
24560156,10.4,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,89.6,0.0,StatCan area #24560156,480
24560157,8.5,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,91.5,0.0,StatCan area #24560157,470
24560158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0,StatCan area #24560158,375
24560159,16.7,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,83.3,0.0,StatCan area #24560159,360
24560160,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,2.7,StatCan area #24560160,365
24560161,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,0.0,StatCan area #24560161,480
24560162,9.9,0.0,0.0,1.5,0.0,8.4,0.0,0.0,0.0,0.0,0.0,88.5,1.5,StatCan area #24560162,655
24560163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,StatCan area #24560163,705
24560164,8.2,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,0.0,StatCan area #24560164,365
24560165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,StatCan area #24560165,500
24560166,5.7,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,94.3,0.0,StatCan area #24560166,615
24560167,8.9,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,0.0,StatCan area #24560167,450
24560168,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4,0.0,StatCan area #24560168,530
