dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name,population
24520101,66.1,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520101,855
24520102,79.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520102,595
24520103,73.2,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520103,410
24520104,69.7,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520104,825
24520105,69.2,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520105,455
24520106,64.5,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520106,465
24520107,73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520107,945
24520108,65.5,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520108,870
24520109,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520109,655
24520110,58.8,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520110,1300
24520111,64.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520111,575
24520112,77.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,StatCan area #24520112,1590
24520113,61.2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520113,605
24520114,66.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520114,830
24520115,64.7,33.7,0.0,0.0,0.0,0.6,0.0,0.0,0.9,StatCan area #24520115,1630
24520116,75.3,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520116,830
24520117,68.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24520117,910
24550075,76.6,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550075,705
24550076,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550076,795
24550077,61.2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550077,580
24550078,59.4,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550078,505
24550079,53.9,38.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550079,1020
24550080,68.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550080,735
24550081,66.3,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550081,490
24550082,72.6,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550082,585
24550083,73.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550083,900
24550084,60.8,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550084,395
24550085,62.4,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550085,1010
24550086,64.3,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550086,1065
24550087,73.9,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550087,805
24550088,53.4,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24550088,365
24560136,79.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560136,310
24560137,69.3,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560137,1060
24560138,73.2,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560138,410
24560139,65.6,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560139,1410
24560140,66.4,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560140,550
24560141,72.1,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560141,305
24560142,70.3,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560142,725
24560143,80.6,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560143,360
24560144,75.9,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560144,415
24560145,51.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560145,405
24560146,73.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560146,465
24560147,60.2,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560147,1330
24560148,74.5,17.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560148,705
24560149,75.2,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,StatCan area #24560149,625
24560150,83.2,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560150,775
24560151,88.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24560151,340
