dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
59150004,13.2,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,0.0,StatCan area #59150004,340
59150005,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.6,0.0,3.3,77.8,0.0,StatCan area #59150005,450
59150006,11.7,0.0,6.4,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,88.3,0.0,StatCan area #59150006,470
59150007,8.2,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,0.0,StatCan area #59150007,490
59150008,18.0,5.4,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,82.0,0.0,StatCan area #59150008,555
59150009,21.8,0.0,11.5,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,78.2,0.0,StatCan area #59150009,390
59150010,15.1,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.7,2.2,3.4,84.9,0.0,StatCan area #59150010,895
59150012,54.7,6.6,29.2,0.0,0.0,0.0,1.9,0.0,10.4,0.0,0.0,44.3,0.0,StatCan area #59150012,530
59150013,47.8,0.0,31.3,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,52.2,0.0,StatCan area #59150013,335
59150014,43.3,2.0,15.9,0.0,1.6,0.0,1.6,0.0,16.3,2.9,1.2,56.7,0.0,StatCan area #59150014,1225
59150015,35.2,3.8,22.9,0.0,0.0,0.0,1.9,1.9,1.9,0.0,0.0,65.7,0.0,StatCan area #59150015,525
59150016,43.3,0.0,32.2,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,54.4,2.2,StatCan area #59150016,450
59150017,24.5,0.0,12.2,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,75.5,0.0,StatCan area #59150017,245
59150018,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,89.5,0.0,StatCan area #59150018,475
59150019,27.8,0.0,19.1,0.0,1.7,0.0,0.0,3.5,0.0,0.0,0.0,72.2,0.0,StatCan area #59150019,575
59150020,49.4,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,StatCan area #59150020,425
59150021,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,StatCan area #59150021,275
59150022,33.3,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,0.0,StatCan area #59150022,255
59150023,20.4,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,0.0,StatCan area #59150023,490
59150024,19.1,0.0,7.4,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,80.9,0.0,StatCan area #59150024,340
59150025,28.6,4.5,9.8,0.0,0.0,0.0,0.0,0.0,6.8,3.8,0.0,71.4,0.0,StatCan area #59150025,665
59150027,16.4,3.6,2.7,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,80.9,1.8,StatCan area #59150027,550
59150028,34.9,3.5,11.6,0.0,0.0,0.0,2.3,0.0,11.6,0.0,0.0,64.0,0.0,StatCan area #59150028,430
59150029,43.8,0.0,26.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,57.5,0.0,StatCan area #59150029,365
59150030,44.8,0.0,23.2,0.0,0.0,0.0,1.6,0.0,15.2,0.0,0.0,55.2,0.0,StatCan area #59150030,625
59150031,57.8,4.1,29.3,0.0,0.0,0.0,0.0,0.0,18.4,0.0,2.0,42.2,0.0,StatCan area #59150031,735
59150032,39.7,10.3,9.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,60.3,0.0,StatCan area #59150032,390
59150033,46.3,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,StatCan area #59150033,475
59150034,42.6,0.0,23.4,0.0,0.0,0.0,0.0,0.0,9.6,0.0,4.3,57.4,0.0,StatCan area #59150034,470
59150035,67.2,7.9,40.2,0.0,2.1,0.0,0.0,0.0,13.8,1.6,0.0,29.1,4.2,StatCan area #59150035,945
59150036,54.7,3.2,35.8,0.0,3.2,0.0,0.0,0.0,11.6,0.0,0.0,45.3,0.0,StatCan area #59150036,475
59150037,48.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,17.7,2.7,0.0,51.3,0.0,StatCan area #59150037,565
59150038,45.0,5.0,23.8,0.0,0.0,0.0,0.0,0.0,12.5,5.0,0.0,55.0,0.0,StatCan area #59150038,400
59150039,39.4,0.0,21.1,0.0,0.0,0.0,0.0,0.0,2.8,12.7,0.0,60.6,0.0,StatCan area #59150039,355
59150040,10.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,88.6,0.0,StatCan area #59150040,350
59150041,49.5,5.5,28.6,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,50.5,0.0,StatCan area #59150041,455
59150042,27.6,9.2,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1,0.0,StatCan area #59150042,380
59150043,27.2,0.0,8.8,1.8,1.8,0.0,0.0,0.0,9.6,0.0,0.0,72.8,0.0,StatCan area #59150043,570
59150044,57.0,0.0,4.1,0.0,0.0,0.0,2.5,5.0,39.7,4.1,0.0,43.0,0.0,StatCan area #59150044,605
59150045,33.9,0.0,6.1,0.0,4.3,0.0,0.0,0.0,20.0,0.0,0.0,66.1,0.0,StatCan area #59150045,575
59150046,54.7,3.2,20.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,46.3,0.0,StatCan area #59150046,475
59150047,38.1,0.0,8.3,0.0,0.0,0.0,3.6,0.0,14.3,0.0,0.0,58.3,3.6,StatCan area #59150047,420
59150048,44.6,5.4,12.0,0.0,0.0,0.0,0.0,0.0,15.2,6.5,0.0,56.5,0.0,StatCan area #59150048,460
59150049,52.0,0.0,27.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,48.0,0.0,StatCan area #59150049,500
59150050,52.3,0.0,35.8,0.0,0.0,8.3,0.0,0.0,2.8,3.7,0.0,45.9,1.8,StatCan area #59150050,545
59150051,39.8,0.0,26.5,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,59.3,0.0,StatCan area #59150051,565
59150052,42.6,0.0,10.3,0.0,0.0,0.0,11.8,0.0,8.8,0.0,0.0,55.9,0.0,StatCan area #59150052,340
59150053,59.4,0.0,35.9,0.0,0.0,0.0,0.0,0.0,14.8,0.0,3.9,38.3,2.3,StatCan area #59150053,640
59150054,50.9,1.3,22.0,0.0,0.0,0.0,0.0,0.0,18.9,5.0,0.0,49.1,0.0,StatCan area #59150054,795
59150055,33.3,0.0,8.9,0.0,0.0,0.0,0.0,0.0,11.1,10.0,0.0,66.7,0.0,StatCan area #59150055,450
59150056,37.0,3.6,5.1,0.0,2.9,0.0,2.9,0.0,14.5,3.6,3.6,60.9,1.4,StatCan area #59150056,690
59150059,39.2,3.0,8.0,2.0,2.5,0.0,0.0,0.0,18.1,3.5,0.0,60.8,0.0,StatCan area #59150059,995
59150062,80.0,4.7,0.0,0.0,2.4,3.5,0.0,0.0,61.2,0.0,0.0,17.6,0.0,StatCan area #59150062,425
59150064,60.7,1.8,10.7,0.0,15.2,5.4,0.0,0.0,16.1,0.0,2.7,35.7,2.7,StatCan area #59150064,560
59150067,30.7,5.0,2.0,2.0,0.0,0.0,5.9,2.0,5.9,0.0,0.0,68.3,0.0,StatCan area #59150067,505
59150068,64.8,3.3,5.5,0.0,24.2,0.0,0.0,0.0,27.5,0.0,0.0,34.1,0.0,StatCan area #59150068,455
