fid,ecozone_id,ecozone,treed,cropland,water,wetland,grass_shrub,barren,sparse_veg,snow_ice,built_up,treed_disturb
0,13,Pacific Maritime,55.48,0.45,3.09,0.83,10.54,9.09,2.26,10.29,1.13,6.82
1,13,Pacific Maritime,55.48,0.45,3.09,0.83,10.54,9.09,2.26,10.29,1.13,6.82
2,13,Pacific Maritime,55.48,0.45,3.09,0.83,10.54,9.09,2.26,10.29,1.13,6.82
3,14,Montane Cordillera,56.15,0.66,3.12,1.35,13.06,6.2,2.8,1.3,0.94,14.42
4,10,Prairies,5.25,59.47,3.84,5.8,21.64,0.2,0.65,0.0,3.13,0.02
5,9,Boreal Plains,50.95,11.2,9.52,11.06,2.61,0.02,0.01,0.0,1.56,13.07
6,9,Boreal Plains,50.95,11.2,9.52,11.06,2.61,0.02,0.01,0.0,1.56,13.07
7,11,Taiga Cordillera,17.18,0.0,1.59,2.79,52.41,15.69,7.26,0.14,0.0,2.93
8,12,Boreal Cordillera,47.07,0.0,2.82,2.3,31.37,6.26,1.4,2.21,0.12,6.45
9,13,Pacific Maritime,55.48,0.45,3.09,0.83,10.54,9.09,2.26,10.29,1.13,6.82
10,4,Taiga Plains,36.24,0.0,14.35,22.75,17.06,0.55,0.31,0.0,0.07,8.67
11,5,Taiga Shield,25.35,0.0,21.66,11.8,32.02,0.1,0.9,0.0,0.02,8.15
12,3,Southern Arctic,1.79,0.0,19.74,22.08,44.83,2.99,8.55,0.0,0.01,0.0
13,6,Boreal Shield,52.95,0.42,15.96,10.75,4.46,0.05,0.02,0.0,0.55,14.85
14,15,Hudson Plains,26.95,0.0,6.8,60.96,1.93,0.03,0.02,0.0,0.04,3.27
15,8,Mixedwood Plains,20.76,28.38,34.59,1.73,4.95,0.0,0.0,0.0,9.51,0.08
16,7,Atlantic Maritime,66.44,4.38,3.33,2.62,1.48,0.01,0.01,0.0,3.32,18.4
17,7,Atlantic Maritime,66.44,4.38,3.33,2.62,1.48,0.01,0.01,0.0,3.32,18.4
18,1,Arctic Cordillera,0.03,0.0,2.52,1.75,5.63,32.07,8.21,49.8,0.0,0.0
19,5,Taiga Shield,25.35,0.0,21.66,11.8,32.02,0.1,0.9,0.0,0.02,8.15
20,2,Northern Arctic,0.0,0.0,10.71,12.17,23.24,26.89,25.76,1.22,0.0,0.0
21,1,Arctic Cordillera,0.03,0.0,2.52,1.75,5.63,32.07,8.21,49.8,0.0,0.0
22,1,Arctic Cordillera,0.03,0.0,2.52,1.75,5.63,32.07,8.21,49.8,0.0,0.0
23,1,Arctic Cordillera,0.03,0.0,2.52,1.75,5.63,32.07,8.21,49.8,0.0,0.0
24,1,Arctic Cordillera,0.03,0.0,2.52,1.75,5.63,32.07,8.21,49.8,0.0,0.0
