pruid,name,population,density,land_area_km2,total_area_km2,freshwater_km2,pct_freshwater
10,Newfoundland and Labrador,510550.0,1.4254,373872,405212,31340,7.73
11,Prince Edward Island,154331.0,27.1653,5660,5660,0,0.0
12,Nova Scotia,969383.0,18.3509,53338,55284,1946,3.52
13,New Brunswick,775610.0,10.886,71450,72908,1458,2.0
24,Quebec,8501833.0,6.5469,1365128,1542056,176928,11.47
35,Ontario,14223942.0,15.9388,917741,1076395,158654,14.74
46,Manitoba,1342153.0,2.484,553556,647797,94241,14.55
47,Saskatchewan,1132505.0,1.9625,591670,651036,59366,9.12
48,Alberta,4262635.0,6.7164,642317,661848,19531,2.95
59,British Columbia,5000879.0,5.4317,925186,944735,19549,2.07
60,Yukon,40232.0,0.0852,474391,482443,8052,1.67
61,Northwest Territories,41070.0,0.0364,1183085,1346106,163021,12.11
62,Nunavut,36858.0,0.0201,1936113,2093190,157077,7.5
