geography,geo_level,year,group,count,share
Calgary,cma,2006,All visible minorities,182815,21.04
Calgary,cma,2011,All visible minorities,258575,26.48
Calgary,cma,2016,All visible minorities,355315,31.9
Calgary,cma,2021,All visible minorities,439845,36.92
Calgary,cma,2006,Arab,7815,0.9
Calgary,cma,2011,Arab,11675,1.2
Calgary,cma,2016,Arab,18275,1.64
Calgary,cma,2021,Arab,22995,1.93
Calgary,cma,2006,Black,14730,1.7
Calgary,cma,2011,Black,22830,2.34
Calgary,cma,2016,Black,36720,3.3
Calgary,cma,2021,Black,50850,4.27
Calgary,cma,2006,Chinese,54150,6.23
Calgary,cma,2011,Chinese,62220,6.37
Calgary,cma,2016,Chinese,74165,6.66
Calgary,cma,2021,Chinese,77385,6.5
Calgary,cma,2006,Filipino,19750,2.27
Calgary,cma,2011,Filipino,38320,3.92
Calgary,cma,2016,Filipino,55670,5.0
Calgary,cma,2021,Filipino,71285,5.98
Calgary,cma,2006,Latin American,10935,1.26
Calgary,cma,2011,Latin American,16570,1.7
Calgary,cma,2016,Latin American,22785,2.05
Calgary,cma,2021,Latin American,29090,2.44
Calgary,cma,2006,Not a visible minority,686095,78.96
Calgary,cma,2011,Not a visible minority,718000,73.52
Calgary,cma,2016,Not a visible minority,758650,68.1
Calgary,cma,2021,Not a visible minority,751510,63.08
Calgary,cma,2006,South Asian,43600,5.02
Calgary,cma,2011,South Asian,63565,6.51
Calgary,cma,2016,South Asian,92415,8.3
Calgary,cma,2021,South Asian,118590,9.95
Edmonton,cma,2006,All visible minorities,135565,16.25
Edmonton,cma,2011,All visible minorities,197380,21.1
Edmonton,cma,2016,All visible minorities,279275,26.48
Edmonton,cma,2021,All visible minorities,352620,31.08
Edmonton,cma,2006,Arab,8435,1.01
Edmonton,cma,2011,Arab,10690,1.14
Edmonton,cma,2016,Arab,17470,1.66
Edmonton,cma,2021,Arab,21670,1.91
Edmonton,cma,2006,Black,13640,1.64
Edmonton,cma,2011,Black,22530,2.41
Edmonton,cma,2016,Black,39340,3.73
Edmonton,cma,2021,Black,54400,4.8
Edmonton,cma,2006,Chinese,39315,4.71
Edmonton,cma,2011,Chinese,43585,4.66
Edmonton,cma,2016,Chinese,51290,4.86
