view,label,count,order
month,February,990,1
month,June,5307,5
month,August,5717,7
month,April,2517,3
month,May,4169,4
month,December,1281,11
month,January,1098,0
month,September,5033,8
month,October,3975,9
month,July,6052,6
month,November,2283,10
month,March,1547,2
status,RECOVERED,401,0
status,UNKNOWN,651,0
status,STOLEN,38917,0
year,2018,3992,0
year,2026,105,0
year,2009,1,0
year,2019,3751,0
year,2016,3858,0
year,2023,2987,0
year,2024,2718,0
year,2011,3,0
year,2017,3918,0
year,2014,3067,0
year,1983,1,0
year,2007,1,0
year,2020,3919,0
year,2025,2114,0
year,2021,3186,0
year,2015,3310,0
year,2010,2,0
year,2012,2,0
year,2002,1,0
year,2013,46,0
year,2022,2985,0
year,1975,1,0
year,1986,1,0
