geography,year,area_burned_ha
Alberta,1959,28077.73
Alberta,1960,9376.94686
Alberta,1961,92965.887119
Alberta,1962,1750.492027
Alberta,1963,7622.326915
Alberta,1964,7576.78764
Alberta,1965,23090.751671
Alberta,1966,33593.428645
Alberta,1967,10990.092502
Alberta,1968,434730.823595
Alberta,1969,30326.186971
Alberta,1970,67982.667558
Alberta,1971,65677.95045
Alberta,1972,52682.766044
Alberta,1973,10019.733222
Alberta,1974,17932.535397
Alberta,1975,5376.956957
Alberta,1976,22839.413559
Alberta,1977,10651.233026
Alberta,1978,7879.771733
Alberta,1979,212427.498294
Alberta,1980,702195.516625
Alberta,1981,1357303.88391
Alberta,1982,712690.613836
Alberta,1983,3464.8
Alberta,1984,71212.7
Alberta,1985,16845.4
Alberta,1986,2307.3
Alberta,1987,36942.5
Alberta,1988,14691.3
Alberta,1989,6708.9
Alberta,1990,34084.9
Alberta,1991,6164.8
Alberta,1992,3548.0
Alberta,1993,26060.41
Alberta,1994,29582.23
Alberta,1995,337949.56
Alberta,1996,1961.39
Alberta,1997,4724.95
Alberta,1998,726968.07
Alberta,1999,120504.77
Alberta,2000,14735.9
Alberta,2001,154103.73
Alberta,2002,496419.21
Alberta,2003,74906.92
Alberta,2004,236163.38
Alberta,2005,60726.14
Alberta,2006,118801.75
Alberta,2007,103619.0
Alberta,2008,20788.83
Alberta,2009,66902.84
Alberta,2010,81323.04
Alberta,2011,805888.18
Alberta,2012,385818.42
Alberta,2013,19578.84
Alberta,2014,23692.71
Alberta,2015,466317.3
Alberta,2016,507057.04
Alberta,2017,49233.31
Alberta,2018,60185.22
Alberta,2019,885943.24
Alberta,2020,3480.4
Alberta,2021,65770.5
Alberta,2022,136687.5
Alberta,2023,2211873.22
Alberta,2024,717199.45
Alberta,2025,700305.85
British Columbia,1959,109613.901
British Columbia,1960,116217.8
British Columbia,1961,483094.9
British Columbia,1962,18590.5
British Columbia,1963,19003.7
British Columbia,1964,3145.4
British Columbia,1965,121300.799
British Columbia,1966,22349.8
British Columbia,1967,102097.401
British Columbia,1968,13730.7
British Columbia,1969,163933.3
British Columbia,1970,105410.001
British Columbia,1971,351342.402
British Columbia,1972,25601.9
British Columbia,1973,33432.9
British Columbia,1974,21019.9
British Columbia,1975,24345.4
British Columbia,1976,57087.0
British Columbia,1977,3790.5
British Columbia,1978,50083.3
British Columbia,1979,29445.0
British Columbia,1980,65577.9
British Columbia,1981,106593.198
British Columbia,1982,348695.2
British Columbia,1983,67377.7
British Columbia,1984,19908.1
British Columbia,1985,312756.906
British Columbia,1986,17261.2
British Columbia,1987,34993.2
British Columbia,1988,11482.4
British Columbia,1989,25381.6
British Columbia,1990,75781.8
British Columbia,1991,24708.8
British Columbia,1992,30452.8
British Columbia,1993,5183.4
British Columbia,1994,29755.3
British Columbia,1995,48080.0
British Columbia,1996,20669.1
British Columbia,1997,2967.8
British Columbia,1998,76567.344
British Columbia,1999,11555.41
British Columbia,2000,17552.012
British Columbia,2001,9826.949
British Columbia,2002,8570.56
British Columbia,2003,264913.562
British Columbia,2004,220287.477
British Columbia,2005,34942.066
British Columbia,2006,139150.792
British Columbia,2007,29485.504
British Columbia,2008,13347.288
British Columbia,2009,247343.468
British Columbia,2010,337167.198
British Columbia,2011,12562.885
British Columbia,2012,102116.657
British Columbia,2013,18303.099
British Columbia,2014,368926.186
British Columbia,2015,280864.261
British Columbia,2016,100377.631
British Columbia,2017,1216139.208
British Columbia,2018,1354001.979
British Columbia,2019,21506.524
British Columbia,2020,14547.793
British Columbia,2021,866342.547
British Columbia,2022,135060.915
British Columbia,2023,2840246.973
British Columbia,2024,1081194.234
British Columbia,2025,605813.152
Canada,1959,287625.801
Canada,1960,597841.22686
Canada,1961,2778095.6071200008
Canada,1962,325129.082026
Canada,1963,174876.30691400002
Canada,1964,1138930.567639
Canada,1965,210368.87067099998
Canada,1966,497450.698645
Canada,1967,589000.2335020001
Canada,1968,1263440.3035940002
Canada,1969,1419755.926972
Canada,1970,1451748.3685569998
Canada,1971,1940282.6624499997
Canada,1972,757095.1760439998
Canada,1973,1036075.523221
Canada,1974,912172.0153969999
Canada,1975,995007.026957
Canada,1976,2183524.7053869995
Canada,1977,1393502.7215380003
Canada,1978,280044.911758
Canada,1979,2524529.318082
Canada,1980,4824673.106635001
Canada,1981,6284457.996871999
Canada,1982,1757247.1460509996
Canada,1983,2014471.015209
Canada,1984,761796.7697010001
Canada,1985,847534.702156
Canada,1986,1005912.803005
Canada,1987,1017736.7150309997
Canada,1988,1351568.3169639998
Canada,1989,7597266.517889999
Canada,1990,953301.858243
Canada,1991,1545668.6000059997
Canada,1992,851782.920002
Canada,1993,1950305.9000050002
Canada,1994,6206707.45999
Canada,1995,7481286.539220001
Canada,1996,1923642.2500369998
Canada,1997,634632.6399429999
Canada,1998,4823328.024018
Canada,1999,1777307.980002
Canada,2000,636645.0610040001
Canada,2001,653496.17103
Canada,2002,2763472.7961510005
Canada,2003,2168494.230013
Canada,2004,3183184.2455990002
Canada,2005,1686893.766011
Canada,2006,2100682.690807
Canada,2007,1785449.6671990003
Canada,2008,1664921.8010020002
Canada,2009,762733.8489999999
Canada,2010,3179203.3083540006
Canada,2011,2397841.88707
Canada,2012,1811734.050186
Canada,2013,4268419.863054
Canada,2014,4545654.853801001
Canada,2015,3908375.130613
Canada,2016,1319573.15541
Canada,2017,3589424.061009001
Canada,2018,2326356.861002
Canada,2019,1786215.0278979996
Canada,2020,218261.659403
Canada,2021,4078894.9055249994
Canada,2022,1576204.71106
Canada,2023,17606546.66779
Canada,2024,5374344.299956
Canada,2025,8426718.040108
Manitoba,1959,8406.01
Manitoba,1960,148249.34
Manitoba,1961,938971.8
Manitoba,1962,63015.0
Manitoba,1963,19323.0
Manitoba,1964,424406.52
Manitoba,1965,30273.0
Manitoba,1966,9510.0
Manitoba,1967,142488.0
Manitoba,1968,44063.1
Manitoba,1969,41691.3
Manitoba,1970,111862.7
Manitoba,1971,13298.0
Manitoba,1972,42226.8
Manitoba,1973,61517.2
Manitoba,1974,161566.6
Manitoba,1975,24560.2
Manitoba,1976,110299.1
Manitoba,1977,198247.7
Manitoba,1978,24568.9
Manitoba,1979,81900.0
Manitoba,1980,514257.1
Manitoba,1981,375728.0
Manitoba,1982,15431.5
Manitoba,1983,99041.3
Manitoba,1984,130151.2
Manitoba,1985,11822.4
Manitoba,1986,67877.7
Manitoba,1987,112008.0
Manitoba,1988,501135.4
Manitoba,1989,3552906.6
Manitoba,1990,16145.0
Manitoba,1991,150985.7
Manitoba,1992,433773.8
Manitoba,1993,67274.4
Manitoba,1994,1428785.7
Manitoba,1995,889237.2
Manitoba,1996,125326.4
Manitoba,1997,41799.1
Manitoba,1998,450572.1
Manitoba,1999,110453.5
Manitoba,2000,111699.272
Manitoba,2001,80521.829
Manitoba,2002,95404.79
Manitoba,2003,938176.427
Manitoba,2004,26820.4
Manitoba,2005,72680.6
Manitoba,2006,166050.3
Manitoba,2007,336280.8
Manitoba,2008,150672.6
Manitoba,2009,2872.0
Manitoba,2010,187494.1
Manitoba,2011,126844.3
Manitoba,2012,216888.3
Manitoba,2013,1115414.8
Manitoba,2014,39107.9
Manitoba,2015,68131.6
Manitoba,2016,38407.5
Manitoba,2017,223179.5
Manitoba,2018,234221.7
Manitoba,2019,71287.2
Manitoba,2020,48573.7
Manitoba,2021,1142713.90896
Manitoba,2022,191778.2
Manitoba,2023,198634.3
Manitoba,2024,235619.171103
Manitoba,2025,2140969.171251
New Brunswick,1980,2080.0
New Brunswick,1982,5338.7
New Brunswick,1983,590.0
New Brunswick,1985,1701.0
New Brunswick,1986,37417.0
New Brunswick,1987,273.0
New Brunswick,1988,1632.0
New Brunswick,1989,753.4
New Brunswick,1990,6218.4
New Brunswick,1991,3559.0
