year,month,extent_mkm2,area_mkm2
1979,1,15.41,12.41
1980,1,14.86,11.94
1981,1,14.91,11.91
1982,1,15.18,12.19
1983,1,14.94,12.01
1984,1,14.47,11.68
1985,1,14.72,11.69
1986,1,14.89,11.88
1987,1,14.97,11.9
1989,1,14.95,13.18
1990,1,14.78,12.8
1991,1,14.36,12.57
1992,1,14.64,12.61
1993,1,14.9,12.93
1994,1,14.73,12.88
1995,1,14.59,12.79
1996,1,14.18,12.15
1997,1,14.42,12.39
1998,1,14.72,12.81
1999,1,14.36,12.6
2000,1,14.22,12.3
2001,1,14.2,12.35
2002,1,14.27,12.26
2003,1,14.39,12.29
2004,1,14.03,12.26
2005,1,13.66,11.92
2006,1,13.47,11.65
2007,1,13.7,11.86
2008,1,13.89,12.3
2009,1,13.91,12.32
2010,1,13.74,12.04
2011,1,13.46,11.83
2012,1,13.73,12.21
2013,1,13.7,12.02
2014,1,13.65,12.1
2015,1,13.6,12.17
2016,1,13.46,11.8
2017,1,13.19,11.37
2018,1,13.08,11.7
2019,1,13.57,12.14
2020,1,13.64,12.15
2021,1,13.5,11.75
2022,1,13.87,12.26
2023,1,13.36,11.88
2024,1,13.92,12.24
2025,1,13.11,11.49
2026,1,13.11,11.39
1979,2,16.18,13.18
1980,2,15.96,12.9
1981,2,15.6,12.53
1982,2,15.97,12.87
1983,2,16.01,12.94
1984,2,15.3,12.26
1985,2,15.47,12.48
1986,2,15.78,12.62
1987,2,16.05,13.02
1988,2,15.58,13.57
1989,2,15.5,13.36
1990,2,15.58,13.42
1991,2,15.25,13.22
1992,2,15.46,13.58
1993,2,15.69,13.61
1994,2,15.56,13.52
1995,2,15.23,13.37
1996,2,15.15,12.98
1997,2,15.44,13.44
1998,2,15.75,13.77
1999,2,15.31,13.45
2000,2,15.14,13.09
2001,2,15.21,13.22
2002,2,15.34,13.42
2003,2,15.19,13.23
2004,2,14.91,12.94
2005,2,14.37,12.35
2006,2,14.32,12.35
2007,2,14.51,12.58
2008,2,14.95,13.21
2009,2,14.81,13.21
2010,2,14.58,12.96
2011,2,14.36,12.76
2012,2,14.55,12.72
2013,2,14.72,13.2
2014,2,14.42,12.56
2015,2,14.4,12.85
2016,2,14.2,12.43
2017,2,14.12,12.32
2018,2,13.97,12.31
2019,2,14.39,12.76
2020,2,14.64,12.95
2021,2,14.39,12.76
2022,2,14.61,12.9
2023,2,14.19,12.61
2024,2,14.61,12.76
2025,2,13.75,11.76
2026,2,14.1,12.41
1979,3,16.34,13.21
1980,3,16.04,12.99
1981,3,15.63,12.71
1982,3,16.04,13.07
1983,3,16.09,12.93
1984,3,15.58,12.55
1985,3,15.89,12.75
1986,3,15.91,12.72
1987,3,15.82,12.83
1988,3,15.96,13.9
1989,3,15.42,13.21
1990,3,15.87,13.51
1991,3,15.42,13.42
1992,3,15.48,13.48
1993,3,15.81,13.77
1994,3,15.55,13.55
1995,3,15.26,13.34
1996,3,15.12,12.9
1997,3,15.47,13.3
1998,3,15.6,13.57
1999,3,15.4,13.54
2000,3,15.22,13.17
2001,3,15.52,13.64
2002,3,15.35,13.42
2003,3,15.48,13.42
2004,3,14.99,12.99
2005,3,14.69,12.74
2006,3,14.42,12.52
2007,3,14.54,12.56
2008,3,15.18,13.53
2009,3,14.98,13.43
2010,3,15.14,13.53
2011,3,14.55,12.83
2012,3,15.2,13.41
2013,3,15.03,13.45
2014,3,14.76,12.95
2015,3,14.37,12.78
2016,3,14.4,12.61
2017,3,14.29,12.61
2018,3,14.3,12.69
2019,3,14.57,12.89
2020,3,14.73,13.03
2021,3,14.66,12.99
2022,3,14.59,12.8
2023,3,14.43,12.91
2024,3,14.87,13.19
2025,3,14.12,12.19
2026,3,14.13,12.43
1979,4,15.45,12.53
1980,4,15.43,12.52
1981,4,15.01,12.24
1982,4,15.47,12.63
1983,4,15.17,12.21
1984,4,15.01,12.18
1985,4,15.36,12.54
1986,4,15.06,12.04
1987,4,15.21,12.35
1988,4,15.12,13.18
1989,4,14.33,12.36
1990,4,14.65,12.28
1991,4,14.86,12.87
1992,4,14.68,12.84
1993,4,15.08,13.03
1994,4,14.89,12.91
1995,4,14.45,12.4
1996,4,14.22,12.32
1997,4,14.56,12.57
1998,4,14.89,12.85
1999,4,15.08,13.15
2000,4,14.56,12.6
2001,4,14.86,13.05
2002,4,14.3,12.41
2003,4,14.51,12.46
2004,4,13.99,12.16
2005,4,14.09,12.23
2006,4,13.91,12.04
2007,4,13.85,11.83
2008,4,14.35,12.78
2009,4,14.5,12.92
2010,4,14.66,12.85
2011,4,14.11,12.45
2012,4,14.63,12.87
2013,4,14.3,12.75
2014,4,14.09,12.43
2015,4,13.89,12.33
2016,4,13.68,11.98
2017,4,13.75,12.26
2018,4,13.7,12.28
2019,4,13.43,11.9
2020,4,13.62,12.02
2021,4,13.79,12.18
2022,4,13.99,12.46
2023,4,13.92,12.53
2024,4,14.04,12.56
2025,4,13.83,12.05
2026,4,13.57,11.85
1979,5,13.86,11.11
1980,5,13.79,10.96
1981,5,13.8,10.99
1982,5,13.97,11.17
1983,5,13.49,10.87
1984,5,13.58,10.88
1985,5,14.07,11.25
1986,5,13.38,10.7
1987,5,13.74,10.97
1988,5,13.56,11.41
1989,5,13.04,11.35
1990,5,13.23,10.9
1991,5,13.47,11.5
1992,5,13.22,11.43
1993,5,13.37,11.42
1994,5,13.62,11.66
1995,5,12.97,10.9
1996,5,13.09,11.28
1997,5,13.18,11.24
1998,5,13.59,11.4
1999,5,13.75,11.66
2000,5,13.15,11.24
2001,5,13.51,11.38
2002,5,12.97,11.16
2003,5,13.02,10.89
2004,5,12.56,10.92
2005,5,12.91,10.88
2006,5,12.52,10.45
2007,5,12.78,10.77
2008,5,12.97,11.25
2009,5,13.19,11.48
2010,5,12.87,10.88
2011,5,12.68,10.74
2012,5,13.01,11.05
2013,5,13.0,11.25
2014,5,12.7,11.05
2015,5,12.47,10.9
2016,5,11.92,10.25
2017,5,12.63,11.01
