dept_code,department,value
FIN,Department of Finance Canada,143259846685.69
HRSD,Employment and Social Development Canada,101696313526.39
ND,National Defence,34249255031.46
INDSC,Department of Indigenous Services,26533137650.58
CCRA,Canada Revenue Agency,22665023154.899998
INAC,Crown-Indigenous Relations and Northern Affairs Canada,14258519125.25
TBC,Treasury Board of Canada Secretariat,12010326160.949999
GSC,Public Services and Procurement Canada,9728151281.94
EA,Global Affairs Canada,9103813818.59
H,Health Canada,9000846741.79
RCMP,Royal Canadian Mounted Police,8071355501.7
OICC,"Housing, Infrastructure and Communities Canada",7968878252.84
VAC,Veterans Affairs Canada,7630043185.280001
CI,"Immigration, Refugees and Citizenship Canada",7129243939.87
CMHC,Canada Mortgage and Housing Corporation,5443589624.490001
FO,Fisheries and Oceans Canada,5261641042.46
ISC,"Innovation, Science and Economic Development Canada",5200262852.92
NR,Natural Resources Canada,4441409799.03
AGR,Agriculture and Agri-Food Canada,4081940318.35
CSC,Correctional Service Canada,3740032172.65
TC,Transport Canada,3723860926.24
SHARE,Shared Services Canada,3454815878.94
CBSA,Canada Border Services Agency,3046633158.4
EC,Environment and Climate Change Canada,3043816392.38
CH,Canadian Heritage,2151397461.76
JUS,Department of Justice Canada,1833611651.46
NRC,National Research Council Canada,1708014070.14
PHAC,Public Health Agency of Canada,1535911948.75
NSERC,Natural Sciences and Engineering Research Council of Canada,1468578249.07
AECL,Atomic Energy of Canada Limited,1433600000.0
CBC,Canadian Broadcasting Corporation,1425237411.0
CIHR,Canadian Institutes of Health Research,1424372235.29
PCA,Parks Canada,1368745848.49
PSEP,Public Safety Canada,1343570615.21
SSHRC,Social Sciences and Humanities Research Council of Canada,1297267957.63
CSEC,Communications Security Establishment Canada,1108805509.6299999
CATSA,Canadian Air Transport Security Authority,1079165190.0
CFIA,Canadian Food Inspection Agency,1039748969.7099999
WDBA,Windsor-Detroit Bridge Authority,944189291.0
VIA,VIA Rail Canada Inc.,878574403.27
SC,Statistics Canada,862680129.72
CSIS,Canadian Security Intelligence Service,813017414.38
