so_num,object,value,share_pct
10,Transfer payments,297066868225.15,60.73
1,Personnel,71369677195.56999,14.59
11,Public debt charges,48205339138.27,9.85
4,Professional and special services,23145218313.93,4.73
12,Other subsidies and payments,19861796388.460003,4.06
9,Acquisition of machinery and equipment,9037812553.0,1.85
5,Rentals,4947228108.55,1.01
6,Purchased repair and maintenance,4392367649.900001,0.9
7,"Utilities, materials and supplies",4107594326.32,0.84
2,Transportation and communications,3586981874.3299994,0.73
8,"Acquisition of land, buildings and works",2916119788.79,0.6
3,Information,540968769.26,0.11
