year,category,employees
2010,Executive,6771
2010,Non-executive,276209
2011,Executive,6949
2011,Non-executive,275403
2012,Executive,6906
2012,Non-executive,271186
2013,Executive,6543
2013,Non-executive,256274
2014,Executive,6377
2014,Non-executive,250761
2015,Executive,6340
2015,Non-executive,250694
2016,Executive,6414
2016,Non-executive,252565
2017,Executive,6480
2017,Non-executive,256216
2018,Executive,6678
2018,Non-executive,266893
2019,Executive,7070
2019,Non-executive,280913
2020,Executive,7376
2020,Non-executive,293074
2021,Executive,7972
2021,Non-executive,311629
2022,Executive,8506
2022,Non-executive,327451
2023,Executive,9069
2023,Non-executive,348178
2024,Executive,9155
2024,Non-executive,358617
2025,Executive,9340
2025,Non-executive,348625
