country_code,year,govt_emp_pct,country_name
AUS,2022,15.65,Australia
AUS,2023,15.65,Australia
CAN,2007,19.17,Canada
CAN,2008,19.3,Canada
CAN,2009,20.0,Canada
CAN,2010,19.53,Canada
CAN,2011,19.5,Canada
CAN,2012,19.32,Canada
CAN,2013,19.25,Canada
CAN,2014,19.34,Canada
CAN,2015,19.46,Canada
CAN,2016,19.52,Canada
CAN,2017,19.23,Canada
CAN,2018,19.3,Canada
CAN,2019,19.29,Canada
CAN,2020,21.25,Canada
CAN,2021,20.36,Canada
CAN,2022,20.17,Canada
CAN,2023,20.16,Canada
CHE,2007,9.16,Switzerland
CHE,2008,9.16,Switzerland
CHE,2011,10.6,Switzerland
CHE,2012,10.52,Switzerland
CHE,2013,10.59,Switzerland
CHE,2014,10.54,Switzerland
CHE,2015,10.55,Switzerland
CHE,2016,10.56,Switzerland
CHE,2017,10.56,Switzerland
CHE,2018,10.65,Switzerland
CHE,2019,10.88,Switzerland
CHE,2020,11.23,Switzerland
CHE,2021,11.42,Switzerland
CHE,2022,11.48,Switzerland
DEU,2007,11.82,Germany
DEU,2008,11.67,Germany
DEU,2009,11.81,Germany
DEU,2010,11.82,Germany
DEU,2011,11.45,Germany
DEU,2012,11.23,Germany
DEU,2013,11.17,Germany
DEU,2014,11.12,Germany
DEU,2015,11.06,Germany
DEU,2016,10.98,Germany
DEU,2017,10.97,Germany
DEU,2018,10.99,Germany
DEU,2019,11.07,Germany
DEU,2020,11.31,Germany
DEU,2021,11.57,Germany
DEU,2022,11.14,Germany
DEU,2023,11.53,Germany
DNK,2007,28.33,Denmark
DNK,2008,27.77,Denmark
DNK,2009,29.41,Denmark
DNK,2010,30.4,Denmark
DNK,2011,29.89,Denmark
DNK,2012,29.71,Denmark
DNK,2013,29.77,Denmark
DNK,2014,29.5,Denmark
DNK,2015,29.15,Denmark
DNK,2016,28.5,Denmark
DNK,2017,28.05,Denmark
DNK,2018,27.82,Denmark
DNK,2019,27.63,Denmark
DNK,2020,28.04,Denmark
DNK,2021,28.07,Denmark
DNK,2022,27.4,Denmark
DNK,2023,27.26,Denmark
