date,total,public_sector,private_sector,self_employed,public_share
1976-01-01,9636.7,2273.1,6193.3,1170.3,23.587950231925863
1976-02-01,9659.8,2285.9,6212.6,1161.2,23.664051015548978
1976-03-01,9704.2,2301.4,6236.3,1166.5,23.715504626862593
1976-04-01,9738.2,2309.8,6248.6,1179.7,23.718962436589923
1976-05-01,9726.1,2312.2,6232.8,1181.0,23.773146482145975
1976-06-01,9748.3,2336.9,6224.4,1187.1,23.97238492865423
1976-07-01,9759.5,2272.3,6275.3,1211.9,23.282955069419543
1976-08-01,9780.5,2278.8,6301.8,1199.8,23.299422319922297
1976-09-01,9795.2,2310.8,6290.9,1193.5,23.591146684090166
1976-10-01,9782.5,2335.5,6260.4,1186.6,23.874265269614106
1976-11-01,9829.0,2330.2,6307.8,1191.0,23.707396479804657
1976-12-01,9862.6,2343.3,6329.6,1189.7,23.759454910469856
1977-01-01,9869.3,2333.7,6341.9,1193.7,23.646053924797098
1977-02-01,9874.2,2337.7,6336.6,1199.9,23.67482935326406
1977-03-01,9865.7,2350.8,6310.2,1204.7,23.828010176672716
1977-04-01,9892.6,2370.2,6313.6,1208.7,23.959323130420714
1977-05-01,9912.0,2386.2,6317.9,1207.9,24.073849878934624
1977-06-01,9906.9,2373.5,6318.8,1214.6,23.95804944028909
1977-07-01,9911.4,2380.7,6319.4,1211.3,24.019815565913998
1977-08-01,9936.6,2384.8,6344.6,1207.3,24.000161020872333
1977-09-01,9937.0,2363.7,6354.9,1218.3,23.78685720036228
1977-10-01,9962.1,2364.5,6377.6,1220.0,23.734955481274028
1977-11-01,9976.3,2352.4,6405.0,1218.9,23.579884325852273
1977-12-01,10002.3,2375.7,6412.0,1214.6,23.751537146456315
1978-01-01,10013.0,2391.7,6409.3,1212.0,23.88594826725257
1978-02-01,10067.5,2401.3,6439.5,1226.7,23.851999006704744
1978-03-01,10100.3,2392.6,6478.4,1229.4,23.68840529489223
1978-04-01,10128.7,2383.0,6518.7,1227.0,23.527204873280873
1978-05-01,10146.7,2373.2,6524.8,1248.6,23.388885056225174
1978-06-01,10207.6,2377.2,6564.9,1265.5,23.288530114816407
1978-07-01,10255.0,2394.7,6569.8,1290.5,23.351535836177472
1978-08-01,10287.5,2397.5,6600.3,1289.7,23.30498177399757
1978-09-01,10305.5,2397.1,6625.7,1282.7,23.260394934743584
1978-10-01,10368.9,2399.5,6668.2,1301.2,23.141316822420894
1978-11-01,10387.2,2408.3,6692.5,1286.4,23.18526648182378
1978-12-01,10428.3,2415.6,6719.3,1293.4,23.163890567014757
1979-01-01,10483.1,2401.0,6780.2,1301.9,22.90353044423882
1979-02-01,10490.0,2390.5,6799.4,1300.2,22.78836987607245
1979-03-01,10535.9,2371.4,6855.5,1309.1,22.507806642052415
1979-04-01,10560.8,2370.1,6884.2,1306.6,22.442428603893642
1979-05-01,10611.4,2372.1,6922.3,1316.9,22.354260512279247
1979-06-01,10645.4,2386.9,6941.5,1316.9,22.421891145471285
1979-07-01,10702.1,2384.6,6995.7,1321.9,22.281608282486612
1979-08-01,10742.1,2391.0,7018.9,1332.2,22.25821766693663
1979-09-01,10756.5,2401.5,7021.6,1333.4,22.326035420443453
1979-10-01,10809.0,2401.4,7064.5,1343.0,22.216671292441482
1979-11-01,10841.3,2402.6,7090.1,1348.5,22.161548891738075
1979-12-01,10859.9,2410.6,7081.2,1368.2,22.197257801637214
1980-01-01,10882.6,2413.8,7101.7,1367.1,22.18036131071619
1980-02-01,10902.9,2432.0,7115.9,1355.0,22.305991983784132
1980-03-01,10897.8,2429.9,7117.6,1350.3,22.297160894859516
1980-04-01,10938.3,2446.9,7129.7,1361.7,22.37002093561157
1980-05-01,10891.6,2456.6,7090.2,1344.8,22.55499651107275
1980-06-01,10936.8,2449.4,7139.5,1347.9,22.395947626362375
1980-07-01,10935.0,2473.5,7104.8,1356.7,22.62002743484225
1980-08-01,10970.3,2487.7,7115.3,1367.3,22.676681585736034
1980-09-01,11051.9,2481.0,7198.0,1372.9,22.448628742569152
1980-10-01,11083.1,2492.0,7222.3,1368.7,22.484683888081854
1980-11-01,11127.0,2502.2,7239.1,1385.8,22.487642670980495
1980-12-01,11140.0,2500.2,7248.5,1391.3,22.443447037701976
1981-01-01,11206.5,2512.7,7297.6,1396.3,22.421808771694998
1981-02-01,11283.3,2526.2,7354.6,1402.6,22.388840144284032
1981-03-01,11278.7,2519.7,7354.3,1404.8,22.340340642095274
1981-04-01,11315.8,2518.4,7390.2,1407.2,22.255607204086324
1981-05-01,11345.8,2515.4,7405.9,1424.5,22.170318531967776
1981-06-01,11375.6,2530.6,7428.0,1417.1,22.245859559056225
1981-07-01,11336.4,2511.7,7414.5,1410.2,22.156063653364384
1981-08-01,11353.8,2507.8,7416.9,1429.0,22.08775916433265
1981-09-01,11328.7,2486.0,7378.3,1464.4,21.944265449698552
1981-10-01,11300.1,2496.3,7345.3,1458.6,22.090954947301352
1981-11-01,11291.5,2480.8,7359.0,1451.7,21.970508789797638
1981-12-01,11236.0,2484.5,7303.0,1448.5,22.11196155215379
1982-01-01,11205.6,2483.8,7264.0,1457.8,22.16570286285429
1982-02-01,11166.9,2503.1,7211.1,1452.7,22.415352515022075
1982-03-01,11140.5,2497.7,7173.7,1469.2,22.41999910237422
1982-04-01,11076.3,2504.0,7098.5,1473.9,22.606827189584973
1982-05-01,11021.9,2486.3,7046.2,1489.5,22.557816710367543
1982-06-01,10940.6,2473.1,6984.8,1482.7,22.60479315576842
1982-07-01,10893.6,2464.7,6934.5,1494.4,22.625211133142393
1982-08-01,10836.3,2474.8,6876.9,1484.5,22.838053579173707
1982-09-01,10806.7,2491.4,6818.7,1496.6,23.054216365773083
1982-10-01,10787.2,2494.8,6797.8,1494.6,23.12741026401661
1982-11-01,10764.1,2505.5,6760.1,1498.5,23.276446707109745
1982-12-01,10774.1,2512.3,6748.3,1513.5,23.317956952320845
1983-01-01,10801.1,2510.4,6783.5,1507.2,23.242077195841166
1983-02-01,10818.2,2497.4,6815.2,1505.6,23.08517128542641
1983-03-01,10874.9,2514.7,6832.1,1528.1,23.123890794398108
1983-04-01,10932.6,2527.0,6869.5,1536.1,23.114355231143552
1983-05-01,10952.5,2532.2,6882.7,1537.6,23.11983565396028
1983-06-01,11021.4,2542.9,6924.5,1554.0,23.072386448182627
1983-07-01,11073.4,2533.7,6980.4,1559.2,22.880957971354775
1983-08-01,11126.6,2539.9,7033.0,1553.7,22.827278773389896
1983-09-01,11174.2,2562.6,7055.6,1556.0,22.933185373449554
1983-10-01,11163.3,2560.4,7047.5,1555.4,22.935870217587993
1983-11-01,11162.0,2537.0,7062.2,1562.8,22.728901630532164
1983-12-01,11187.4,2535.2,7091.7,1560.5,22.66120814487727
1984-01-01,11168.6,2546.5,7064.0,1558.1,22.800530057482586
1984-02-01,11203.9,2547.6,7093.6,1562.7,22.73851069716795
1984-03-01,11205.9,2549.3,7102.0,1554.7,22.74962296647302
1984-04-01,11198.5,2524.4,7118.7,1555.4,22.542304772960662
1984-05-01,11245.5,2552.8,7143.3,1549.5,22.70063580987951
1984-06-01,11314.5,2536.8,7217.4,1560.3,22.420787485085512
1984-07-01,11356.6,2560.9,7234.0,1561.7,22.54988288748393
1984-08-01,11349.3,2558.2,7230.7,1560.4,22.540597217449534
1984-09-01,11373.8,2517.3,7285.9,1570.6,22.132444741423274
1984-10-01,11387.7,2526.3,7264.3,1597.1,22.184462182881532
1984-11-01,11391.1,2542.1,7263.7,1585.3,22.316545373142187
1984-12-01,11430.3,2549.0,7257.9,1623.4,22.300377067968473
1985-01-01,11481.7,2541.0,7287.1,1653.6,22.130869122168317
1985-02-01,11506.3,2547.7,7295.5,1663.2,22.14178319703119
1985-03-01,11531.4,2545.7,7331.4,1654.4,22.076243994658064
1985-04-01,11571.5,2553.4,7366.4,1651.7,22.066283541459622
1985-05-01,11613.7,2548.3,7407.1,1658.3,21.942188966479247
1985-06-01,11627.0,2546.3,7415.5,1665.2,21.899888191278922
1985-07-01,11681.1,2558.6,7458.8,1663.8,21.903759063786797
1985-08-01,11712.1,2570.7,7465.3,1676.1,21.949095379991633
1985-09-01,11723.3,2556.9,7495.9,1670.5,21.81041174413348
1985-10-01,11754.0,2555.4,7533.7,1665.0,21.740684022460442
1985-11-01,11819.0,2562.3,7595.7,1661.1,21.679499111599966
1985-12-01,11860.5,2553.1,7629.5,1678.0,21.526073942919773
1986-01-01,11903.5,2563.9,7671.2,1668.5,21.539043138572687
1986-02-01,11917.9,2560.5,7705.4,1652.1,21.484489717148154
1986-03-01,11926.3,2554.1,7715.9,1656.3,21.415694725103343
1986-04-01,12008.1,2582.5,7756.0,1669.6,21.50631656964882
1986-05-01,11977.2,2594.2,7729.9,1653.2,21.659486357412412
1986-06-01,12016.9,2619.5,7745.4,1652.0,21.798467158751425
1986-07-01,12017.1,2616.4,7756.8,1643.9,21.772307794725847
1986-08-01,12024.7,2626.8,7759.2,1638.7,21.845035634984658
1986-09-01,12035.2,2645.3,7753.2,1636.7,21.97969290082425
1986-10-01,12059.6,2630.3,7760.4,1668.9,21.810839497164086
1986-11-01,12082.0,2625.9,7786.9,1669.2,21.733984439662308
1986-12-01,12079.7,2600.9,7812.9,1666.0,21.531163853406955
1987-01-01,12102.0,2614.6,7829.2,1658.2,21.604693439100974
1987-02-01,12131.4,2619.5,7827.5,1684.4,21.592726313533475
1987-03-01,12182.0,2597.2,7899.4,1685.5,21.319980298801507
1987-04-01,12229.5,2607.0,7941.6,1680.8,21.31730651294002
1987-05-01,12285.7,2605.8,7987.8,1692.1,21.210024662819375
1987-06-01,12319.4,2604.8,8027.0,1687.6,21.143886877607677
1987-07-01,12345.5,2617.6,8043.3,1684.5,21.2028674415779
1987-08-01,12376.2,2620.7,8054.7,1700.8,21.17532037297393
1987-09-01,12421.9,2631.4,8065.4,1725.2,21.18355485070722
1987-10-01,12487.4,2653.8,8107.5,1726.1,21.251821836411107
1987-11-01,12519.4,2653.3,8133.2,1732.9,21.193507676086714
1987-12-01,12583.3,2680.1,8165.6,1737.7,21.29886436785263
1988-01-01,12601.9,2691.3,8164.6,1746.0,21.356303414564472
1988-02-01,12642.6,2695.9,8196.0,1750.7,21.32393653204246
1988-03-01,12662.6,2705.9,8192.2,1764.5,21.369229068279814
1988-04-01,12676.0,2693.7,8219.5,1762.9,21.250394446197536
1988-05-01,12679.7,2691.1,8214.6,1774.0,21.223688257608618
1988-06-01,12698.1,2698.0,8233.1,1767.0,21.247273214102897
1988-07-01,12711.8,2693.6,8236.7,1781.6,21.18976069478752
1988-08-01,12720.0,2675.3,8255.3,1789.4,21.032232704402517
1988-09-01,12732.8,2643.4,8301.9,1787.5,20.760555415933656
1988-10-01,12765.0,2656.2,8323.2,1785.6,20.80846063454759
1988-11-01,12795.8,2655.4,8358.5,1781.9,20.752121789962334
1988-12-01,12849.4,2668.9,8390.1,1790.4,20.770619639827544
1989-01-01,12922.0,2672.5,8432.9,1816.6,20.68178300572667
1989-02-01,12936.8,2671.9,8449.7,1815.2,20.653484632984977
1989-03-01,12982.4,2689.9,8477.0,1815.5,20.71958959822529
1989-04-01,12959.9,2679.3,8461.7,1818.8,20.67377063094623
1989-05-01,12962.2,2689.0,8469.2,1804.1,20.74493527333323
1989-06-01,12979.4,2699.1,8486.1,1794.3,20.795260181518405
1989-07-01,12979.8,2697.1,8502.7,1780.1,20.779210773663692
1989-08-01,13029.1,2723.2,8525.2,1780.8,20.900906432524117
1989-09-01,13029.5,2742.0,8483.9,1803.6,21.044552745692467
1989-10-01,13034.5,2731.4,8514.3,1788.8,20.95515746672293
1989-11-01,13059.7,2728.6,8540.3,1790.8,20.893282387803698
1989-12-01,13066.8,2740.6,8530.7,1795.5,20.97376557382068
1990-01-01,13101.4,2737.9,8569.1,1794.5,20.897766650892272
1990-02-01,13134.9,2731.0,8599.2,1804.6,20.79193598733146
1990-03-01,13126.1,2739.6,8584.7,1801.8,20.87139363558102
1990-04-01,13141.3,2757.4,8586.9,1797.0,20.982703385509808
1990-05-01,13101.9,2758.9,8522.1,1820.9,21.057251238370007
1990-06-01,13134.4,2765.2,8526.2,1843.0,21.053112437568522
1990-07-01,13113.6,2766.3,8486.8,1860.4,21.094893850658856
1990-08-01,13100.3,2760.9,8468.6,1870.8,21.075089883437787
1990-09-01,13089.5,2750.2,8471.0,1868.4,21.010733794262578
1990-10-01,13039.3,2765.2,8420.9,1853.3,21.206659866710638
1990-11-01,12985.3,2751.3,8369.2,1864.9,21.187804671436165
1990-12-01,12934.7,2757.7,8319.1,1857.8,21.320169775874195
1991-01-01,12894.2,2761.6,8289.3,1843.4,21.4173814583301
1991-02-01,12845.1,2758.6,8238.1,1848.5,21.475893531385505
1991-03-01,12809.2,2749.9,8190.8,1868.5,21.468163507478998
1991-04-01,12850.7,2745.6,8196.8,1908.3,21.36537309251636
1991-05-01,12879.9,2761.5,8211.7,1906.7,21.44038385391191
1991-06-01,12886.3,2776.5,8209.0,1900.8,21.546138146713954
1991-07-01,12872.3,2777.8,8186.5,1908.0,21.57967107665297
1991-08-01,12876.2,2798.1,8179.7,1898.5,21.73079013994812
1991-09-01,12855.4,2803.0,8157.0,1895.4,21.804066773495965
1991-10-01,12861.0,2823.5,8129.1,1908.5,21.953969364746133
1991-11-01,12823.2,2813.8,8079.1,1930.3,21.943040738661175
1991-12-01,12810.2,2806.4,8071.1,1932.8,21.907542427128384
1992-01-01,12790.2,2820.7,8047.3,1922.3,22.05360354021047
1992-02-01,12771.3,2818.9,8027.6,1924.8,22.072146140173672
1992-03-01,12744.9,2816.6,7993.4,1934.9,22.099820320284977
1992-04-01,12730.9,2806.6,8000.4,1923.8,22.04557415422319
1992-05-01,12736.6,2813.4,8014.0,1909.2,22.089097561358603
1992-06-01,12717.3,2805.8,7982.7,1928.8,22.06285925471602
1992-07-01,12732.5,2815.5,7984.8,1932.2,22.112703710975847
1992-08-01,12693.7,2819.3,7942.2,1932.3,22.210230271709587
1992-09-01,12700.1,2809.2,7972.2,1918.7,22.119510869993146
