year,category,value_millions
2008,Capital consumption,7616.0
2008,Compensation of employees,33703.0
2008,Goods & services,20606.0
2008,Grants,75988.0
2008,Interest on debt,29319.0
2008,Other expense,9057.0
2008,Revenue,235542.0
2008,Social benefits,66601.0
2008,Subsidies,3410.0
2008,Total expense,246301.0
2009,Capital consumption,8142.0
2009,Compensation of employees,35611.0
2009,Goods & services,21654.0
2009,Grants,87558.0
2009,Interest on debt,27262.0
2009,Other expense,10433.0
2009,Revenue,225123.0
2009,Social benefits,73197.0
2009,Subsidies,3977.0
2009,Total expense,267834.0
2010,Capital consumption,8273.0
2010,Compensation of employees,36031.0
2010,Goods & services,20316.0
2010,Grants,86922.0
2010,Interest on debt,28130.0
2010,Other expense,11139.0
2010,Revenue,233777.0
2010,Social benefits,72923.0
2010,Subsidies,4067.0
2010,Total expense,267801.0
2011,Capital consumption,8608.0
2011,Compensation of employees,38376.0
2011,Goods & services,21148.0
2011,Grants,86135.0
2011,Interest on debt,28143.0
2011,Other expense,10518.0
2011,Revenue,247835.0
2011,Social benefits,73872.0
2011,Subsidies,3950.0
2011,Total expense,270750.0
2012,Capital consumption,8876.0
2012,Compensation of employees,39816.0
2012,Goods & services,19931.0
2012,Grants,85992.0
2012,Interest on debt,26773.0
2012,Other expense,10270.0
2012,Revenue,252752.0
2012,Social benefits,76021.0
2012,Subsidies,2977.0
2012,Total expense,270655.0
2013,Capital consumption,9064.0
2013,Compensation of employees,38495.0
2013,Goods & services,19942.0
2013,Grants,88481.0
2013,Interest on debt,25760.0
2013,Other expense,11049.0
2013,Revenue,269713.0
2013,Social benefits,78186.0
2013,Subsidies,2849.0
2013,Total expense,273825.0
2014,Capital consumption,9085.0
2014,Compensation of employees,37831.0
2014,Goods & services,19882.0
2014,Grants,89380.0
2014,Interest on debt,24386.0
2014,Other expense,10335.0
2014,Revenue,274546.0
2014,Social benefits,82394.0
2014,Subsidies,2707.0
2014,Total expense,275999.0
2015,Capital consumption,9348.0
2015,Compensation of employees,38141.0
2015,Goods & services,20945.0
2015,Grants,91782.0
2015,Interest on debt,23575.0
2015,Other expense,11195.0
2015,Revenue,289268.0
2015,Social benefits,89341.0
2015,Subsidies,2720.0
2015,Total expense,287047.0
2016,Capital consumption,9598.0
2016,Compensation of employees,37232.0
2016,Goods & services,23166.0
2016,Grants,98694.0
2016,Interest on debt,22097.0
2016,Other expense,11821.0
2016,Revenue,296052.0
2016,Social benefits,97471.0
2016,Subsidies,2791.0
2016,Total expense,302869.0
2017,Capital consumption,9606.0
2017,Compensation of employees,42225.0
2017,Goods & services,24403.0
2017,Grants,103695.0
2017,Interest on debt,21920.0
2017,Other expense,12969.0
2017,Revenue,314904.0
2017,Social benefits,101564.0
2017,Subsidies,2865.0
2017,Total expense,319248.0
2018,Capital consumption,10352.0
2018,Compensation of employees,44835.0
2018,Goods & services,25280.0
2018,Grants,112192.0
2018,Interest on debt,23700.0
2018,Other expense,14555.0
2018,Revenue,339123.0
2018,Social benefits,103747.0
2018,Subsidies,3218.0
2018,Total expense,337880.0
2019,Capital consumption,10957.0
2019,Compensation of employees,44833.0
2019,Goods & services,25825.0
2019,Grants,116834.0
2019,Interest on debt,24570.0
2019,Other expense,21003.0
2019,Revenue,338665.0
2019,Social benefits,108363.0
2019,Subsidies,8629.0
2019,Total expense,361014.0
2020,Capital consumption,11492.0
2020,Compensation of employees,51339.0
2020,Goods & services,26873.0
2020,Grants,152323.0
2020,Interest on debt,21374.0
2020,Other expense,33344.0
2020,Revenue,354812.0
2020,Social benefits,222480.0
2020,Subsidies,85674.0
2020,Total expense,604899.0
2021,Capital consumption,12115.0
2021,Compensation of employees,51403.0
2021,Goods & services,32711.0
2021,Grants,139987.0
2021,Interest on debt,24142.0
2021,Other expense,30071.0
2021,Revenue,411439.0
2021,Social benefits,155361.0
2021,Subsidies,28639.0
2021,Total expense,474430.0
2022,Capital consumption,13128.0
2022,Compensation of employees,53869.0
2022,Goods & services,34938.0
2022,Grants,149633.0
2022,Interest on debt,32777.0
2022,Other expense,38373.0
2022,Revenue,448453.0
2022,Social benefits,126449.0
2022,Subsidies,5915.0
2022,Total expense,455083.0
2023,Capital consumption,13858.0
2023,Compensation of employees,60414.0
2023,Goods & services,37178.0
2023,Grants,171984.0
2023,Interest on debt,44353.0
2023,Other expense,72301.0
2023,Revenue,458171.0
2023,Social benefits,134303.0
2023,Subsidies,6524.0
2023,Total expense,540915.0
2024,Capital consumption,14776.0
2024,Compensation of employees,63004.0
2024,Goods & services,38059.0
2024,Grants,172008.0
2024,Interest on debt,50105.0
2024,Other expense,40311.0
2024,Revenue,485858.0
2024,Social benefits,147051.0
2024,Subsidies,9196.0
2024,Total expense,534511.0
