year,balance,expenditure,interest,revenue,gdp,revenue_pct_gdp,expenditure_pct_gdp,interest_pct_gdp
1961,-277,6880,786,6603,,,,
1962,-678,7391,865,6713,,,,
1963,-628,7668,935,7040,,,,
1964,2,8024,995,8026,,,,
1965,274,8496,1052,8770,,,,
1966,-77,9667,1151,9590,,,,
1967,-414,10925,1245,10511,,,,
1968,-452,12223,1409,11771,,,,
1969,613,13330,1589,13943,,,,
1970,-320,15213,1862,14893,,,,
1971,-823,17401,1974,16578,,,,
1972,-1106,19899,2253,18793,,,,
1973,-176,22158,2518,21982,,,,
1974,408,28640,2961,29048,,,,
1975,-4876,35802,3705,30926,,,,
1976,-4712,39268,4519,34556,,,,
1977,-9218,44581,5101,35363,,,,
1978,-13179,49994,6410,36815,,,,
1979,-11206,53311,8080,42105,,,,
1980,-12104,61255,9897,49151,,,,
1981,-9465,72994,13739,63529,368358.0,17.25,19.82,3.73
1982,-20817,86053,16675,65236,388181.0,16.81,22.17,4.3
1983,-26767,94278,17463,67511,421316.0,16.02,22.38,4.14
1984,-31626,105256,21006,73630,461986.0,15.94,22.78,4.55
1985,-35251,115515,24738,80264,500027.0,16.05,23.1,4.95
1986,-27721,116362,26216,88641,526630.0,16.83,22.1,4.98
1987,-25239,122608,27883,97369,574336.0,16.95,21.35,4.85
1988,-25585,132218,31711,106633,626894.0,17.01,21.09,5.06
1989,-26762,140560,37424,113798,671579.0,16.94,20.93,5.57
1990,-32439,153950,41880,121511,695501.0,17.47,22.14,6.02
1991,-35561,162890,41053,127329,701773.0,18.14,23.21,5.85
1992,-34879,166405,39558,131526,718436.0,18.31,23.16,5.51
1993,-38928,169209,39219,130281,747037.0,17.44,22.65,5.25
1994,-34765,168163,40157,133398,791972.0,16.84,21.23,5.07
1995,-31830,173993,46254,142163,831621.0,17.09,20.92,5.56
1996,-19726,170149,45352,150423,859834.0,17.49,19.79,5.27
1997,5469,161697,43407,167166,906926.0,18.43,17.83,4.79
1998,6511,165643,43910,172154,940548.0,18.3,17.61,4.67
1999,8423,174376,43632,182799,1007927.0,18.14,17.3,4.33
2000,19902,181905,45299,201807,1106071.0,18.25,16.45,4.1
2001,11741,187109,41836,198850,1144543.0,17.37,16.35,3.66
2002,8767,185980,36769,194747,1193694.0,16.31,15.58,3.08
2003,4203,196615,35172,200818,1254747.0,16.0,15.67,2.8
2004,10519,199186,33462,209705,1335731.0,15.7,14.91,2.51
2005,901,220484,32113,221385,1421590.0,15.57,15.51,2.26
2006,12229,220174,32134,232403,1496604.0,15.53,14.71,2.15
2007,14926,231178,31555,246104,1577661.0,15.6,14.65,2.0
2008,-3441,244417,30210,240976,1657041.0,14.54,14.75,1.82
2009,-28713,255014,27303,226301,1571334.0,14.4,16.23,1.74
2010,-45319,275099,27866,229780,1666048.0,13.79,16.51,1.67
2011,-25944,271647,28479,245703,1774063.0,13.85,15.31,1.61
2012,-19103,271483,26805,252380,1827201.0,13.81,14.86,1.47
2013,-11835,273502,26706,261667,1902247.0,13.76,14.38,1.4
2014,1135,274094,24712,275229,1994898.0,13.8,13.74,1.24
2015,4687,282834,23334,287521,1990441.0,14.45,14.21,1.17
2016,-2484,295670,21972,293186,2025535.0,14.47,14.6,1.08
2017,-2639,314900,21424,312261,2140641.0,14.59,14.71,1.0
2018,9996,327096,23678,337092,2235675.0,15.08,14.63,1.06
2019,-10238,350827,24655,340589,2313563.0,14.72,15.16,1.07
2020,-219762,560333,21851,340571,2220527.0,15.34,25.23,0.98
2021,-90002,499342,23416,409340,2535818.0,16.14,19.69,0.92
2022,-8421,447303,30010,438882,2864159.0,15.32,15.62,1.05
2023,-20860,481650,41383,460790,2965201.0,15.54,16.24,1.4
2024,-75342,562078,50227,486736,3108551.0,15.66,18.08,1.62
2025,-36653,544375,50264,507722,,,,
