year,level,jobs
1997,All public administration,875355
1997,Federal,302680
1997,"Federal (civilian, excl. defence)",188115
1997,Local & Indigenous,338275
1997,Provincial / territorial,234400
1998,All public administration,863585
1998,Federal,297200
1998,"Federal (civilian, excl. defence)",186675
1998,Local & Indigenous,335905
1998,Provincial / territorial,230480
1999,All public administration,874060
1999,Federal,294440
1999,"Federal (civilian, excl. defence)",190160
1999,Local & Indigenous,342690
1999,Provincial / territorial,236930
2000,All public administration,901660
2000,Federal,301800
2000,"Federal (civilian, excl. defence)",200210
2000,Local & Indigenous,360425
2000,Provincial / territorial,239435
2001,All public administration,928205
2001,Federal,315515
2001,"Federal (civilian, excl. defence)",214995
2001,Local & Indigenous,368985
2001,Provincial / territorial,243705
2002,All public administration,954590
2002,Federal,325930
2002,"Federal (civilian, excl. defence)",223425
2002,Local & Indigenous,386090
2002,Provincial / territorial,242570
2003,All public administration,980820
2003,Federal,331790
2003,"Federal (civilian, excl. defence)",226765
2003,Local & Indigenous,403405
2003,Provincial / territorial,245625
2004,All public administration,985520
2004,Federal,331185
2004,"Federal (civilian, excl. defence)",225410
2004,Local & Indigenous,413435
2004,Provincial / territorial,240900
2005,All public administration,999220
2005,Federal,338275
2005,"Federal (civilian, excl. defence)",230060
2005,Local & Indigenous,416665
2005,Provincial / territorial,244280
2006,All public administration,1018570
2006,Federal,351830
2006,"Federal (civilian, excl. defence)",240140
2006,Local & Indigenous,422370
2006,Provincial / territorial,244370
2007,All public administration,1038505
2007,Federal,353430
2007,"Federal (civilian, excl. defence)",238470
2007,Local & Indigenous,438835
2007,Provincial / territorial,246240
2008,All public administration,1075070
2008,Federal,364675
2008,"Federal (civilian, excl. defence)",247115
2008,Local & Indigenous,456620
2008,Provincial / territorial,253775
2009,All public administration,1119530
2009,Federal,379485
2009,"Federal (civilian, excl. defence)",257600
2009,Local & Indigenous,475370
2009,Provincial / territorial,264675
2010,All public administration,1107265
2010,Federal,384455
2010,"Federal (civilian, excl. defence)",260960
2010,Local & Indigenous,476195
2010,Provincial / territorial,246615
2011,All public administration,1123460
2011,Federal,387825
2011,"Federal (civilian, excl. defence)",265370
2011,Local & Indigenous,487340
2011,Provincial / territorial,248295
2012,All public administration,1106780
2012,Federal,372755
2012,"Federal (civilian, excl. defence)",252435
2012,Local & Indigenous,493990
2012,Provincial / territorial,240035
2013,All public administration,1099460
2013,Federal,356930
2013,"Federal (civilian, excl. defence)",240495
2013,Local & Indigenous,503525
2013,Provincial / territorial,239005
2014,All public administration,1097035
2014,Federal,354975
2014,"Federal (civilian, excl. defence)",241085
2014,Local & Indigenous,500880
2014,Provincial / territorial,241180
2015,All public administration,1110975
2015,Federal,357205
2015,"Federal (civilian, excl. defence)",244500
2015,Local & Indigenous,515300
2015,Provincial / territorial,238470
2016,All public administration,1124165
2016,Federal,365815
2016,"Federal (civilian, excl. defence)",252045
2016,Local & Indigenous,518760
2016,Provincial / territorial,239590
2017,All public administration,1141010
2017,Federal,368870
2017,"Federal (civilian, excl. defence)",255245
2017,Local & Indigenous,528985
2017,Provincial / territorial,243155
2018,All public administration,1168165
2018,Federal,383000
2018,"Federal (civilian, excl. defence)",266630
2018,Local & Indigenous,534575
2018,Provincial / territorial,250590
2019,All public administration,1193635
2019,Federal,397745
2019,"Federal (civilian, excl. defence)",278845
2019,Local & Indigenous,541270
2019,Provincial / territorial,254620
2020,All public administration,1169195
2020,Federal,402785
2020,"Federal (civilian, excl. defence)",283470
2020,Local & Indigenous,515310
2020,Provincial / territorial,251100
2021,All public administration,1211705
2021,Federal,429050
2021,"Federal (civilian, excl. defence)",311950
2021,Local & Indigenous,527475
2021,Provincial / territorial,255180
2022,All public administration,1259615
2022,Federal,439880
2022,"Federal (civilian, excl. defence)",324065
2022,Local & Indigenous,558570
2022,Provincial / territorial,261165
2023,All public administration,1302410
2023,Federal,449445
2023,"Federal (civilian, excl. defence)",333485
2023,Local & Indigenous,579490
2023,Provincial / territorial,273475
2024,All public administration,1361765
2024,Federal,461675
2024,"Federal (civilian, excl. defence)",343155
2024,Local & Indigenous,615575
2024,Provincial / territorial,284515
