year,function,value_millions
2008,Defence,15805
2008,Economic affairs,46470
2008,Education,72348
2008,Environmental protection,9722
2008,General public services,97511
2008,Health,125458
2008,Housing & community,7756
2008,Public order & safety,27167
2008,"Recreation, culture & religion",14547
2008,Social protection,123892
2009,Defence,16357
2009,Economic affairs,49274
2009,Education,76766
2009,Environmental protection,10739
2009,General public services,97414
2009,Health,133246
2009,Housing & community,8252
2009,Public order & safety,28915
2009,"Recreation, culture & religion",14527
2009,Social protection,134802
2010,Defence,15194
2010,Economic affairs,51220
2010,Education,80145
2010,Environmental protection,11724
2010,General public services,105765
2010,Health,138998
2010,Housing & community,8381
2010,Public order & safety,29569
2010,"Recreation, culture & religion",14796
2010,Social protection,137155
2011,Defence,16710
2011,Economic affairs,52998
2011,Education,83711
2011,Environmental protection,11871
2011,General public services,106642
2011,Health,145819
2011,Housing & community,8415
2011,Public order & safety,31243
2011,"Recreation, culture & religion",15707
2011,Social protection,140713
2012,Defence,16506
2012,Economic affairs,53321
2012,Education,85743
2012,Environmental protection,11709
2012,General public services,104795
2012,Health,149139
2012,Housing & community,8393
2012,Public order & safety,31460
2012,"Recreation, culture & religion",16610
2012,Social protection,141348
2013,Defence,16210
2013,Economic affairs,52867
2013,Education,88536
2013,Environmental protection,11312
2013,General public services,104685
2013,Health,154292
2013,Housing & community,8606
2013,Public order & safety,32633
2013,"Recreation, culture & religion",16679
2013,Social protection,144774
2014,Defence,15654
2014,Economic affairs,53670
2014,Education,90489
2014,Environmental protection,11705
2014,General public services,104394
2014,Health,159331
2014,Housing & community,9226
2014,Public order & safety,33609
2014,"Recreation, culture & religion",16335
2014,Social protection,149281
2015,Defence,15773
2015,Economic affairs,53249
2015,Education,91762
2015,Environmental protection,13708
2015,General public services,106415
2015,Health,165025
2015,Housing & community,9359
2015,Public order & safety,33814
2015,"Recreation, culture & religion",17423
2015,Social protection,157582
2016,Defence,15962
2016,Economic affairs,54745
2016,Education,94463
2016,Environmental protection,14699
2016,General public services,107110
2016,Health,170053
2016,Housing & community,10767
2016,Public order & safety,34703
2016,"Recreation, culture & religion",17545
2016,Social protection,167464
2017,Defence,17668
2017,Economic affairs,57730
2017,Education,101374
2017,Environmental protection,14837
2017,General public services,113692
2017,Health,175947
2017,Housing & community,10865
2017,Public order & safety,36344
2017,"Recreation, culture & religion",18599
2017,Social protection,175456
2018,Defence,16925
2018,Economic affairs,67694
2018,Education,106575
2018,Environmental protection,15760
2018,General public services,121319
2018,Health,180593
2018,Housing & community,10107
2018,Public order & safety,37614
2018,"Recreation, culture & religion",19126
2018,Social protection,184106
2019,Defence,18209
2019,Economic affairs,76104
2019,Education,109645
2019,Environmental protection,16424
2019,General public services,128317
2019,Health,188186
2019,Housing & community,10838
2019,Public order & safety,40517
2019,"Recreation, culture & religion",19804
2019,Social protection,191659
2020,Defence,21590
2020,Economic affairs,166661
2020,Education,111552
2020,Environmental protection,21237
2020,General public services,125349
2020,Health,212767
2020,Housing & community,11029
2020,Public order & safety,40543
2020,"Recreation, culture & religion",19763
2020,Social protection,318780
2021,Defence,20021
2021,Economic affairs,123306
2021,Education,117324
2021,Environmental protection,21317
2021,General public services,127825
2021,Health,230612
2021,Housing & community,11959
2021,Public order & safety,44958
2021,"Recreation, culture & religion",20761
2021,Social protection,253034
2022,Defence,22379
2022,Economic affairs,97949
2022,Education,124953
2022,Environmental protection,26287
2022,General public services,144087
2022,Health,239814
2022,Housing & community,16063
2022,Public order & safety,47045
2022,"Recreation, culture & religion",22710
2022,Social protection,242961
2023,Defence,24079
2023,Economic affairs,115470
2023,Education,133003
2023,Environmental protection,32578
2023,General public services,158092
2023,Health,253531
2023,Housing & community,16153
2023,Public order & safety,52422
2023,"Recreation, culture & religion",24644
2023,Social protection,292424
2024,Defence,27652
2024,Economic affairs,107754
2024,Education,140187
2024,Environmental protection,39363
2024,General public services,172380
2024,Health,269116
2024,Housing & community,17671
2024,Public order & safety,54857
2024,"Recreation, culture & religion",24985
2024,Social protection,283133
