province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
Alberta,2008,39445.0,3555.0,43000.0,33066.0,296229.0,14.515796900370997,13.315711831049626,1.2000850693213696,-11.162310239713195
Alberta,2009,39982.0,-1750.0,38233.0,32389.0,245843.0,15.55179525144096,16.263224903698703,-0.7118364159239841,-13.174668385921095
Alberta,2010,42375.0,-4475.0,37900.0,27870.0,270203.0,14.026491193658103,15.682653412434355,-1.6561622187762532,-10.314467270903728
Alberta,2011,43030.0,-698.0,42331.0,24782.0,299689.0,14.124976225353617,14.358218019346722,-0.23290811474561962,-8.269239111211956
Alberta,2012,45070.0,-3538.0,41533.0,23543.0,312707.0,13.281762160744723,14.41285292622167,-1.1314105536492627,-7.528772940804012
Alberta,2013,47995.0,18.0,48013.0,23509.0,342646.0,14.012420982588445,14.00716774747115,0.005253235117293066,-6.86101690958015
Alberta,2014,48600.0,-654.0,47946.0,22097.0,376807.0,12.724285907639722,12.897849562242738,-0.1735636546030196,-5.8642753452032474
Alberta,2015,50964.0,-9123.0,41841.0,13346.0,324054.0,12.911736932733433,15.727008461552705,-2.8152715288192707,-4.118449394236763
Alberta,2016,56277.0,-13045.0,43232.0,2509.0,304294.0,14.20731266472556,18.49428513214194,-4.28697246741638,-0.8245315385778228
Alberta,2017,58450.0,-13372.0,45077.0,-8102.0,332256.0,13.566948377154963,17.59185688144082,-4.024607531541943,2.438481171145141
Alberta,2018,58714.0,-8173.0,50541.0,-17235.0,346160.0,14.600473769355213,16.961520684076728,-2.3610469147215163,4.978911486018026
Alberta,2019,60464.0,-11320.0,49144.0,-30889.0,352111.0,13.95696243514119,17.171857738042835,-3.2148953029016414,8.772517757184524
Alberta,2020,63959.0,-16441.0,47518.0,-46048.0,301305.0,15.770730654984153,21.227327790776787,-5.456597135792635,15.28285292311777
Alberta,2021,65705.0,-591.0,65114.0,-36258.0,380053.0,17.13287357289641,17.288378199882647,-0.15550462698623613,9.540248333785025
Alberta,2022,65167.0,10658.0,75825.0,-20160.0,469995.0,16.133150352663325,13.865466653900574,2.267683698762753,4.289407334120575
Alberta,2023,70410.0,5913.0,76323.0,-13740.0,451008.0,16.92275968497233,15.611696466581524,1.3110632183908046,3.0465091528309918
Alberta,2024,74361.0,6874.0,81235.0,-12766.0,473937.0,17.140463816920814,15.690060071275298,1.4504037456455183,2.6936069561988196
British Columbia,2008,37929.0,-1533.0,36396.0,-12563.0,206427.0,17.631414495196847,18.374049906262265,-0.742635411065413,6.085928681810034
