year,sector,employment
1987,Accommodation and food services,2000.0
1987,"Business, building and other support services",2000.0
1987,Construction,41100.0
1987,Educational services,698700.0
1987,"Finance, insurance, real estate, rental and leasing",37400.0
1987,"Forestry, fishing, mining, quarrying, oil and gas",15200.0
1987,Health care and social assistance,635000.0
1987,"Information, culture and recreation",86900.0
1987,Manufacturing,11500.0
1987,Other services (except public administration),3300.0
1987,"Professional, scientific and technical services",6100.0
1987,Public administration,756700.0
1987,Transportation and warehousing,208900.0
1987,Utilities,97100.0
1987,Wholesale and retail trade,22400.0
1988,Accommodation and food services,2700.0
1988,Agriculture,1900.0
1988,"Business, building and other support services",2700.0
1988,Construction,38300.0
1988,Educational services,727300.0
1988,"Finance, insurance, real estate, rental and leasing",40200.0
1988,"Forestry, fishing, mining, quarrying, oil and gas",14100.0
1988,Health care and social assistance,637600.0
1988,"Information, culture and recreation",86500.0
1988,Manufacturing,9600.0
1988,Other services (except public administration),2500.0
1988,"Professional, scientific and technical services",6700.0
1988,Public administration,768900.0
1988,Transportation and warehousing,210000.0
1988,Utilities,104800.0
1988,Wholesale and retail trade,26300.0
1989,Accommodation and food services,1900.0
1989,Agriculture,2000.0
1989,"Business, building and other support services",3100.0
1989,Construction,35700.0
1989,Educational services,732300.0
1989,"Finance, insurance, real estate, rental and leasing",38300.0
1989,"Forestry, fishing, mining, quarrying, oil and gas",14000.0
1989,Health care and social assistance,658900.0
1989,"Information, culture and recreation",77000.0
1989,Manufacturing,8800.0
1989,Other services (except public administration),3500.0
1989,"Professional, scientific and technical services",6800.0
1989,Public administration,788800.0
1989,Transportation and warehousing,201800.0
1989,Utilities,108700.0
1989,Wholesale and retail trade,24000.0
1990,Accommodation and food services,2100.0
1990,Agriculture,1600.0
1990,"Business, building and other support services",4300.0
1990,Construction,34700.0
1990,Educational services,741100.0
1990,"Finance, insurance, real estate, rental and leasing",42300.0
1990,"Forestry, fishing, mining, quarrying, oil and gas",15000.0
1990,Health care and social assistance,683900.0
1990,"Information, culture and recreation",83500.0
1990,Manufacturing,8400.0
1990,Other services (except public administration),3100.0
1990,"Professional, scientific and technical services",8900.0
1990,Public administration,824100.0
1990,Transportation and warehousing,174100.0
1990,Utilities,103800.0
1990,Wholesale and retail trade,22000.0
1991,Accommodation and food services,1500.0
1991,"Business, building and other support services",6400.0
1991,Construction,33700.0
1991,Educational services,758400.0
1991,"Finance, insurance, real estate, rental and leasing",43900.0
1991,"Forestry, fishing, mining, quarrying, oil and gas",16000.0
1991,Health care and social assistance,706500.0
1991,"Information, culture and recreation",74500.0
1991,Manufacturing,6600.0
1991,Other services (except public administration),3100.0
1991,"Professional, scientific and technical services",8600.0
1991,Public administration,834500.0
1991,Transportation and warehousing,152000.0
1991,Utilities,112100.0
1991,Wholesale and retail trade,21800.0
1992,"Business, building and other support services",5500.0
1992,Construction,32800.0
1992,Educational services,775100.0
1992,"Finance, insurance, real estate, rental and leasing",47400.0
1992,"Forestry, fishing, mining, quarrying, oil and gas",16900.0
1992,Health care and social assistance,697800.0
1992,"Information, culture and recreation",82100.0
1992,Manufacturing,7500.0
1992,Other services (except public administration),2300.0
1992,"Professional, scientific and technical services",6300.0
1992,Public administration,848700.0
1992,Transportation and warehousing,160500.0
1992,Utilities,109400.0
1992,Wholesale and retail trade,20200.0
1993,Accommodation and food services,1700.0
1993,"Business, building and other support services",5400.0
1993,Construction,27900.0
1993,Educational services,787900.0
1993,"Finance, insurance, real estate, rental and leasing",44500.0
1993,"Forestry, fishing, mining, quarrying, oil and gas",14800.0
1993,Health care and social assistance,709200.0
1993,"Information, culture and recreation",69200.0
1993,Manufacturing,7600.0
1993,Other services (except public administration),3100.0
1993,"Professional, scientific and technical services",8400.0
1993,Public administration,845100.0
1993,Transportation and warehousing,159200.0
1993,Utilities,105200.0
1993,Wholesale and retail trade,20600.0
1994,"Business, building and other support services",5300.0
1994,Construction,28000.0
1994,Educational services,797300.0
1994,"Finance, insurance, real estate, rental and leasing",46700.0
1994,"Forestry, fishing, mining, quarrying, oil and gas",12600.0
1994,Health care and social assistance,705900.0
1994,"Information, culture and recreation",82600.0
1994,Manufacturing,5800.0
1994,Other services (except public administration),2500.0
1994,"Professional, scientific and technical services",6900.0
1994,Public administration,819900.0
1994,Transportation and warehousing,163200.0
1994,Utilities,93400.0
1994,Wholesale and retail trade,21800.0
1995,"Business, building and other support services",5800.0
1995,Construction,26300.0
1995,Educational services,786200.0
1995,"Finance, insurance, real estate, rental and leasing",43300.0
1995,"Forestry, fishing, mining, quarrying, oil and gas",12200.0
1995,Health care and social assistance,707500.0
1995,"Information, culture and recreation",86800.0
1995,Manufacturing,7300.0
1995,Other services (except public administration),2400.0
1995,"Professional, scientific and technical services",6800.0
1995,Public administration,796400.0
1995,Transportation and warehousing,158900.0
1995,Utilities,90000.0
1995,Wholesale and retail trade,18800.0
1996,Accommodation and food services,2300.0
1996,"Business, building and other support services",5500.0
1996,Construction,20800.0
1996,Educational services,764100.0
1996,"Finance, insurance, real estate, rental and leasing",43100.0
1996,"Forestry, fishing, mining, quarrying, oil and gas",11200.0
1996,Health care and social assistance,696500.0
1996,"Information, culture and recreation",85600.0
