year,dimension,category,employees
2010,Age band,20-24,11986
2010,Age band,25-29,25255
2010,Age band,30-34,32369
2010,Age band,35-39,34061
2010,Age band,40-44,37238
2010,Age band,45-49,46334
2010,Age band,50-54,47368
2010,Age band,55-59,31376
2010,Age band,60-64,12580
2010,Age band,65+,3680
2010,Age band,<20,731
2010,Age band,Unknown,2
2011,Age band,20-24,10702
2011,Age band,25-29,24786
2011,Age band,30-34,32497
2011,Age band,35-39,34897
2011,Age band,40-44,37146
2011,Age band,45-49,45272
2011,Age band,50-54,47462
2011,Age band,55-59,31600
2011,Age band,60-64,13353
2011,Age band,65+,4052
2011,Age band,<20,584
2011,Age band,Unknown,1
2012,Age band,20-24,9225
2012,Age band,25-29,22859
2012,Age band,30-34,31644
2012,Age band,35-39,35476
2012,Age band,40-44,36997
2012,Age band,45-49,43802
2012,Age band,50-54,47241
2012,Age band,55-59,32119
2012,Age band,60-64,13732
2012,Age band,65+,4451
2012,Age band,<20,545
2012,Age band,Unknown,1
2013,Age band,20-24,7178
2013,Age band,25-29,19395
2013,Age band,30-34,29415
2013,Age band,35-39,34669
2013,Age band,40-44,36253
2013,Age band,45-49,41011
2013,Age band,50-54,45947
2013,Age band,55-59,30662
2013,Age band,60-64,13228
2013,Age band,65+,4635
2013,Age band,<20,424
2014,Age band,20-24,7429
2014,Age band,25-29,17675
2014,Age band,30-34,28266
2014,Age band,35-39,34755
2014,Age band,40-44,35923
2014,Age band,45-49,39187
2014,Age band,50-54,44919
2014,Age band,55-59,30407
2014,Age band,60-64,13253
2014,Age band,65+,4804
2014,Age band,<20,520
2015,Age band,20-24,8101
2015,Age band,25-29,16878
2015,Age band,30-34,27489
2015,Age band,35-39,35088
2015,Age band,40-44,36327
2015,Age band,45-49,37859
2015,Age band,50-54,44286
2015,Age band,55-59,31476
2015,Age band,60-64,13858
2015,Age band,65+,5175
2015,Age band,<20,496
2015,Age band,Unknown,1
2016,Age band,20-24,8887
2016,Age band,25-29,16727
2016,Age band,30-34,27083
2016,Age band,35-39,35339
2016,Age band,40-44,37180
2016,Age band,45-49,37668
2016,Age band,50-54,43236
2016,Age band,55-59,32326
2016,Age band,60-64,14467
2016,Age band,65+,5563
2016,Age band,<20,501
2016,Age band,Unknown,2
2017,Age band,20-24,9933
2017,Age band,25-29,17370
2017,Age band,30-34,26707
2017,Age band,35-39,35633
2017,Age band,40-44,38414
2017,Age band,45-49,38304
2017,Age band,50-54,42296
2017,Age band,55-59,32943
2017,Age band,60-64,14831
2017,Age band,65+,5667
2017,Age band,<20,594
2017,Age band,Unknown,4
2018,Age band,20-24,12293
2018,Age band,25-29,20267
2018,Age band,30-34,27506
2018,Age band,35-39,36396
2018,Age band,40-44,40131
2018,Age band,45-49,39463
2018,Age band,50-54,41379
2018,Age band,55-59,33731
2018,Age band,60-64,15547
2018,Age band,65+,6092
2018,Age band,<20,761
2018,Age band,Unknown,5
2019,Age band,20-24,14807
2019,Age band,25-29,24313
2019,Age band,30-34,28644
2019,Age band,35-39,37713
2019,Age band,40-44,42229
2019,Age band,45-49,40803
2019,Age band,50-54,40927
2019,Age band,55-59,34581
2019,Age band,60-64,16429
2019,Age band,65+,6677
2019,Age band,<20,854
2019,Age band,Unknown,6
2020,Age band,20-24,16298
2020,Age band,25-29,27772
2020,Age band,30-34,30046
2020,Age band,35-39,38595
2020,Age band,40-44,44141
2020,Age band,45-49,42223
2020,Age band,50-54,40704
2020,Age band,55-59,35357
2020,Age band,60-64,17199
2020,Age band,65+,7216
2020,Age band,<20,897
2020,Age band,Unknown,2
2021,Age band,20-24,16194
2021,Age band,25-29,31653
2021,Age band,30-34,32794
