year,segment,employees
2010,CPA,216596
2010,SA,66384
2010,Total,282980
2011,CPA,217224
2011,SA,65128
2011,Total,282352
2012,CPA,212028
2012,SA,66064
2012,Total,278092
2013,CPA,200516
2013,SA,62301
2013,Total,262817
2014,CPA,195330
2014,SA,61808
2014,Total,257138
2015,CPA,195565
2015,SA,61469
2015,Total,257034
2016,CPA,197354
2016,SA,61625
2016,Total,258979
2017,CPA,199691
2017,SA,63005
2017,Total,262696
2018,CPA,208312
2018,SA,65259
2018,Total,273571
2019,CPA,220315
2019,SA,67668
2019,Total,287983
2020,CPA,231176
2020,SA,69274
2020,Total,300450
2021,CPA,245739
2021,SA,73862
2021,Total,319601
2022,CPA,254309
2022,SA,81648
2022,Total,335957
2023,CPA,270798
2023,SA,86449
2023,Total,357247
2024,CPA,282152
2024,SA,85620
2024,Total,367772
2025,CPA,279396
2025,SA,78569
2025,Total,357965
2026,CPA,270477
2026,SA,74805
2026,Total,345282
