country_code,year,health_pct_gdp,country_name
AUS,1971,4.534,Australia
AUS,1972,4.534,Australia
AUS,1973,4.498,Australia
AUS,1974,5.098,Australia
AUS,1975,5.744,Australia
AUS,1976,5.761,Australia
AUS,1977,6.059,Australia
AUS,1978,5.921,Australia
AUS,1979,5.812,Australia
AUS,1980,5.813,Australia
AUS,1981,5.823,Australia
AUS,1982,6.089,Australia
AUS,1983,6.036,Australia
AUS,1984,6.003,Australia
AUS,1985,6.052,Australia
AUS,1986,6.252,Australia
AUS,1987,6.091,Australia
AUS,1988,6.047,Australia
AUS,1989,6.099,Australia
AUS,1990,6.458,Australia
AUS,1991,6.753,Australia
AUS,1992,6.818,Australia
AUS,1993,6.834,Australia
AUS,1994,6.861,Australia
AUS,1995,6.906,Australia
AUS,1996,7.045,Australia
AUS,1997,7.062,Australia
AUS,1998,7.212,Australia
AUS,1999,7.301,Australia
AUS,2000,7.574,Australia
AUS,2001,7.661,Australia
AUS,2002,7.859,Australia
AUS,2003,7.864,Australia
AUS,2004,8.07,Australia
AUS,2005,7.951,Australia
AUS,2006,7.957,Australia
AUS,2007,8.034,Australia
AUS,2008,8.221,Australia
AUS,2009,8.515,Australia
AUS,2010,8.393,Australia
AUS,2011,8.506,Australia
AUS,2012,8.634,Australia
AUS,2013,8.709,Australia
AUS,2014,9.788,Australia
AUS,2015,10.097,Australia
AUS,2016,10.06,Australia
AUS,2017,10.093,Australia
AUS,2018,10.082,Australia
AUS,2019,10.262,Australia
AUS,2020,10.743,Australia
AUS,2021,10.561,Australia
AUS,2022,9.957,Australia
AUS,2023,10.362,Australia
AUS,2024,10.838,Australia
AUS,2025,11.148,Australia
CAN,1970,6.264,Canada
CAN,1971,6.518,Canada
CAN,1972,6.437,Canada
CAN,1973,6.131,Canada
CAN,1974,6.041,Canada
CAN,1975,6.498,Canada
CAN,1976,6.501,Canada
CAN,1977,6.479,Canada
CAN,1978,6.456,Canada
CAN,1979,6.35,Canada
CAN,1980,6.536,Canada
CAN,1981,6.766,Canada
CAN,1982,7.495,Canada
CAN,1983,7.664,Canada
CAN,1984,7.551,Canada
CAN,1985,7.558,Canada
CAN,1986,7.798,Canada
CAN,1987,7.739,Canada
CAN,1988,7.738,Canada
CAN,1989,7.946,Canada
CAN,1990,8.364,Canada
CAN,1991,9.048,Canada
CAN,1992,9.3,Canada
CAN,1993,9.186,Canada
CAN,1994,8.835,Canada
CAN,1995,8.532,Canada
CAN,1996,8.335,Canada
CAN,1997,8.317,Canada
CAN,1998,8.547,Canada
CAN,1999,8.329,Canada
CAN,2000,8.248,Canada
CAN,2001,8.625,Canada
CAN,2002,8.857,Canada
CAN,2003,9.011,Canada
CAN,2004,9.066,Canada
CAN,2005,9.035,Canada
CAN,2006,9.346,Canada
CAN,2007,9.449,Canada
CAN,2008,9.609,Canada
