country_code,year,health_pc_usd,country_name
AUS,1971,211.911,Australia
AUS,1972,225.871,Australia
AUS,1973,250.353,Australia
AUS,1974,306.076,Australia
AUS,1975,373.555,Australia
AUS,1976,405.048,Australia
AUS,1977,449.034,Australia
AUS,1978,482.142,Australia
AUS,1979,525.437,Australia
AUS,1980,590.994,Australia
AUS,1981,666.634,Australia
AUS,1982,703.771,Australia
AUS,1983,755.699,Australia
AUS,1984,802.251,Australia
AUS,1985,853.35,Australia
AUS,1986,902.524,Australia
AUS,1987,950.906,Australia
AUS,1988,1026.121,Australia
AUS,1989,1095.61,Australia
AUS,1990,1164.872,Australia
AUS,1991,1233.263,Australia
AUS,1992,1304.752,Australia
AUS,1993,1372.484,Australia
AUS,1994,1454.162,Australia
AUS,1995,1536.749,Australia
AUS,1996,1641.504,Australia
AUS,1997,1729.408,Australia
AUS,1998,1838.387,Australia
AUS,1999,1956.897,Australia
AUS,2000,2150.37,Australia
AUS,2001,2288.493,Australia
AUS,2002,2481.046,Australia
AUS,2003,2580.774,Australia
AUS,2004,2819.789,Australia
AUS,2005,2872.44,Australia
AUS,2006,2997.875,Australia
AUS,2007,3199.637,Australia
AUS,2008,3350.144,Australia
AUS,2009,3414.974,Australia
AUS,2010,3592.914,Australia
AUS,2011,3809.112,Australia
AUS,2012,3854.19,Australia
AUS,2013,4087.849,Australia
AUS,2014,4556.492,Australia
AUS,2015,4755.736,Australia
AUS,2016,5037.412,Australia
AUS,2017,5077.451,Australia
AUS,2018,5226.117,Australia
AUS,2019,5280.909,Australia
AUS,2020,5855.181,Australia
AUS,2021,6592.259,Australia
AUS,2022,6982.292,Australia
AUS,2023,7574.073,Australia
AUS,2024,7884.927,Australia
AUS,2025,8170.557,Australia
CAN,1970,273.201,Canada
CAN,1971,313.361,Canada
CAN,1972,338.191,Canada
CAN,1973,366.698,Canada
CAN,1974,420.156,Canada
CAN,1975,487.452,Canada
CAN,1976,543.288,Canada
CAN,1977,580.754,Canada
CAN,1978,624.739,Canada
CAN,1979,692.207,Canada
CAN,1980,791.74,Canada
CAN,1981,898.726,Canada
CAN,1982,995.991,Canada
CAN,1983,1066.671,Canada
CAN,1984,1134.941,Canada
CAN,1985,1212.767,Canada
CAN,1986,1278.726,Canada
CAN,1987,1357.447,Canada
CAN,1988,1461.296,Canada
CAN,1989,1579.542,Canada
CAN,1990,1699.772,Canada
CAN,1991,1805.207,Canada
CAN,1992,1897.453,Canada
CAN,1993,1930.886,Canada
CAN,1994,1962.206,Canada
CAN,1995,1984.954,Canada
CAN,1996,1999.777,Canada
CAN,1997,2091.999,Canada
CAN,1998,2200.471,Canada
CAN,1999,2278.254,Canada
CAN,2000,2450.585,Canada
CAN,2001,2624.271,Canada
CAN,2002,2758.142,Canada
CAN,2003,2914.315,Canada
CAN,2004,3122.602,Canada
CAN,2005,3292.016,Canada
CAN,2006,3488.038,Canada
CAN,2007,3711.256,Canada
CAN,2008,3849.985,Canada
CAN,2009,3946.766,Canada
CAN,2010,4156.879,Canada
CAN,2011,4231.3,Canada
CAN,2012,4341.234,Canada
CAN,2013,4433.754,Canada
CAN,2014,4541.822,Canada
CAN,2015,4640.668,Canada
CAN,2016,5049.311,Canada
CAN,2017,5185.076,Canada
CAN,2018,5333.631,Canada
CAN,2019,5394.953,Canada
CAN,2020,6195.885,Canada
CAN,2021,6896.98,Canada
CAN,2022,6910.418,Canada
CAN,2023,7208.115,Canada
CAN,2024,7372.25,Canada
CAN,2025,7505.901,Canada
CHE,1970,326.488,Switzerland
CHE,1971,376.954,Switzerland
CHE,1972,405.801,Switzerland
CHE,1973,440.555,Switzerland
CHE,1974,508.226,Switzerland
CHE,1975,585.001,Switzerland
CHE,1976,636.724,Switzerland
CHE,1977,690.363,Switzerland
CHE,1978,764.161,Switzerland
CHE,1979,843.236,Switzerland
CHE,1980,960.46,Switzerland
CHE,1981,1068.218,Switzerland
CHE,1982,1146.616,Switzerland
CHE,1983,1251.923,Switzerland
CHE,1984,1300.754,Switzerland
CHE,1985,1486.958,Switzerland
CHE,1986,1600.991,Switzerland
CHE,1987,1720.313,Switzerland
CHE,1988,1856.606,Switzerland
CHE,1989,2018.078,Switzerland
CHE,1990,2135.782,Switzerland
CHE,1991,2334.232,Switzerland
