country_code,year,hospital_beds,country_name
AUS,1960,9.65,Australia
AUS,1961,9.48,Australia
AUS,1962,9.38,Australia
AUS,1963,9.36,Australia
AUS,1964,9.23,Australia
AUS,1965,9.13,Australia
AUS,1966,8.93,Australia
AUS,1967,8.84,Australia
AUS,1968,8.61,Australia
AUS,1969,8.4,Australia
AUS,1970,8.25,Australia
AUS,1971,7.98,Australia
AUS,1972,7.9,Australia
AUS,1973,7.88,Australia
AUS,1974,8.0,Australia
AUS,1975,7.94,Australia
AUS,1976,7.97,Australia
AUS,1977,8.1,Australia
AUS,1978,8.05,Australia
AUS,1979,8.0,Australia
AUS,1980,7.84,Australia
AUS,1981,7.65,Australia
AUS,1982,7.43,Australia
AUS,1983,7.2,Australia
AUS,1984,6.94,Australia
AUS,1985,6.24,Australia
AUS,1987,5.82,Australia
AUS,1989,5.43,Australia
AUS,1991,4.92,Australia
AUS,1992,4.65,Australia
AUS,1993,4.68,Australia
AUS,1994,4.59,Australia
AUS,1995,4.58,Australia
AUS,1996,4.38,Australia
AUS,1997,4.28,Australia
AUS,1998,4.17,Australia
AUS,1999,4.07,Australia
AUS,2000,4.04,Australia
AUS,2001,3.95,Australia
AUS,2002,3.93,Australia
AUS,2003,3.97,Australia
AUS,2004,4.0,Australia
AUS,2005,3.9,Australia
AUS,2006,3.93,Australia
AUS,2008,3.82,Australia
AUS,2009,3.77,Australia
AUS,2010,3.78,Australia
AUS,2011,3.79,Australia
AUS,2012,3.75,Australia
AUS,2013,3.74,Australia
AUS,2014,3.79,Australia
AUS,2015,3.82,Australia
AUS,2016,3.84,Australia
CAN,1976,6.92,Canada
CAN,1977,6.88,Canada
CAN,1978,6.87,Canada
CAN,1979,6.79,Canada
CAN,1980,6.75,Canada
CAN,1981,6.86,Canada
CAN,1982,6.83,Canada
CAN,1983,6.84,Canada
CAN,1984,6.82,Canada
CAN,1985,6.75,Canada
CAN,1986,6.7,Canada
CAN,1987,6.61,Canada
CAN,1988,6.49,Canada
CAN,1989,6.34,Canada
CAN,1990,5.99,Canada
CAN,1991,5.76,Canada
CAN,1992,5.51,Canada
CAN,1993,5.41,Canada
CAN,1995,4.7,Canada
CAN,1996,4.57,Canada
CAN,1997,4.55,Canada
CAN,1998,4.38,Canada
CAN,1999,3.92,Canada
CAN,2000,3.77,Canada
CAN,2001,3.69,Canada
CAN,2002,3.64,Canada
CAN,2003,3.5,Canada
CAN,2004,3.44,Canada
CAN,2005,3.1,Canada
CAN,2006,3.02,Canada
CAN,2007,2.96,Canada
CAN,2008,2.85,Canada
CAN,2009,2.8,Canada
CAN,2010,2.78,Canada
CAN,2011,2.8,Canada
CAN,2012,2.79,Canada
CAN,2013,2.72,Canada
CAN,2014,2.67,Canada
