country_code,year,life_expectancy,country_name
AUS,1981,74.8,Australia
AUS,1982,74.6,Australia
AUS,1983,75.4,Australia
AUS,1984,75.7,Australia
AUS,1985,75.5,Australia
AUS,1986,76.0,Australia
AUS,1987,76.2,Australia
AUS,1988,76.2,Australia
AUS,1989,76.4,Australia
AUS,1990,76.9,Australia
AUS,1991,77.3,Australia
AUS,1992,77.4,Australia
AUS,1993,77.9,Australia
AUS,1994,77.9,Australia
AUS,1995,77.8,Australia
AUS,1996,78.1,Australia
AUS,1997,78.4,Australia
AUS,1998,78.6,Australia
AUS,1999,78.9,Australia
AUS,2000,79.2,Australia
AUS,2001,79.6,Australia
AUS,2002,79.9,Australia
AUS,2003,80.2,Australia
AUS,2004,80.5,Australia
AUS,2005,80.8,Australia
AUS,2006,81.0,Australia
AUS,2007,81.3,Australia
AUS,2008,81.4,Australia
AUS,2009,81.5,Australia
AUS,2010,81.7,Australia
AUS,2011,81.9,Australia
AUS,2012,82.0,Australia
AUS,2013,82.1,Australia
AUS,2014,82.3,Australia
AUS,2015,82.4,Australia
AUS,2016,82.4,Australia
AUS,2017,82.5,Australia
AUS,2018,82.8,Australia
AUS,2019,82.9,Australia
AUS,2020,83.2,Australia
AUS,2021,83.3,Australia
AUS,2022,83.2,Australia
AUS,2023,83.0,Australia
AUS,2024,83.0,Australia
CAN,1980,75.1,Canada
CAN,1981,75.5,Canada
CAN,1982,75.7,Canada
CAN,1983,76.1,Canada
CAN,1984,76.4,Canada
CAN,1985,76.4,Canada
CAN,1986,76.5,Canada
CAN,1987,76.8,Canada
CAN,1988,76.9,Canada
CAN,1989,77.2,Canada
CAN,1990,77.5,Canada
CAN,1991,77.7,Canada
CAN,1992,77.9,Canada
CAN,1993,77.8,Canada
CAN,1994,78.0,Canada
CAN,1995,78.1,Canada
CAN,1996,78.3,Canada
CAN,1997,78.5,Canada
CAN,1998,78.7,Canada
CAN,1999,78.9,Canada
CAN,2000,79.3,Canada
CAN,2001,79.5,Canada
CAN,2002,79.6,Canada
CAN,2003,79.8,Canada
CAN,2004,80.1,Canada
CAN,2005,80.2,Canada
CAN,2006,80.7,Canada
CAN,2007,80.7,Canada
CAN,2008,80.8,Canada
CAN,2009,81.2,Canada
CAN,2010,81.4,Canada
CAN,2011,81.6,Canada
CAN,2012,81.8,Canada
CAN,2013,81.8,Canada
CAN,2014,81.9,Canada
CAN,2015,81.9,Canada
CAN,2016,82.0,Canada
CAN,2017,81.9,Canada
CAN,2018,81.9,Canada
CAN,2019,82.2,Canada
CAN,2020,81.6,Canada
CAN,2021,81.5,Canada
CAN,2022,81.1,Canada
CAN,2023,81.7,Canada
CAN,2024,82.2,Canada
CHE,1980,75.7,Switzerland
CHE,1981,75.9,Switzerland
CHE,1982,76.3,Switzerland
CHE,1983,76.2,Switzerland
CHE,1984,76.9,Switzerland
CHE,1985,77.0,Switzerland
CHE,1986,77.2,Switzerland
CHE,1987,77.5,Switzerland
CHE,1988,77.5,Switzerland
CHE,1989,77.7,Switzerland
CHE,1990,77.5,Switzerland
CHE,1991,77.8,Switzerland
CHE,1992,78.1,Switzerland
CHE,1993,78.4,Switzerland
CHE,1994,78.7,Switzerland
CHE,1995,78.7,Switzerland
CHE,1996,79.2,Switzerland
CHE,1997,79.4,Switzerland
CHE,1998,79.6,Switzerland
CHE,1999,79.9,Switzerland
CHE,2000,80.0,Switzerland
CHE,2001,80.5,Switzerland
CHE,2002,80.6,Switzerland
CHE,2003,80.7,Switzerland
CHE,2004,81.3,Switzerland
CHE,2005,81.5,Switzerland
CHE,2006,81.8,Switzerland
CHE,2007,82.0,Switzerland
CHE,2008,82.3,Switzerland
CHE,2009,82.3,Switzerland
CHE,2010,82.7,Switzerland
CHE,2011,82.8,Switzerland
CHE,2012,82.8,Switzerland
CHE,2013,82.9,Switzerland
CHE,2014,83.1,Switzerland
CHE,2015,82.9,Switzerland
CHE,2016,83.4,Switzerland
