country_code,year,ltc_beds_per_1k_65plus,country_name
AUS,1990,38.4,Australia
AUS,1991,37.5,Australia
AUS,1992,37.0,Australia
AUS,1993,36.3,Australia
AUS,1994,35.4,Australia
AUS,1995,34.9,Australia
AUS,1996,34.2,Australia
AUS,1997,33.2,Australia
AUS,1998,34.8,Australia
AUS,1999,36.1,Australia
AUS,2000,36.2,Australia
AUS,2001,36.2,Australia
AUS,2002,36.4,Australia
AUS,2003,37.6,Australia
AUS,2004,38.2,Australia
AUS,2005,40.4,Australia
AUS,2006,41.3,Australia
AUS,2007,59.8,Australia
AUS,2008,58.4,Australia
AUS,2009,57.6,Australia
AUS,2010,57.6,Australia
AUS,2011,56.9,Australia
AUS,2012,55.5,Australia
AUS,2013,54.1,Australia
AUS,2014,53.7,Australia
AUS,2015,52.4,Australia
AUS,2016,51.6,Australia
AUS,2017,51.2,Australia
AUS,2018,51.2,Australia
AUS,2019,51.1,Australia
AUS,2020,50.1,Australia
AUS,2021,48.7,Australia
AUS,2022,46.5,Australia
AUS,2023,46.5,Australia
AUS,2024,45.6,Australia
AUS,2025,44.7,Australia
CAN,2003,56.4,Canada
CAN,2004,58.0,Canada
CAN,2005,59.0,Canada
CAN,2006,58.5,Canada
CAN,2007,58.4,Canada
CAN,2008,58.5,Canada
CAN,2009,56.1,Canada
CAN,2010,54.0,Canada
CAN,2011,53.0,Canada
CAN,2012,50.8,Canada
CAN,2013,50.1,Canada
CAN,2014,49.5,Canada
CAN,2015,49.1,Canada
CAN,2016,56.9,Canada
CAN,2017,54.9,Canada
CAN,2018,53.3,Canada
CAN,2019,51.5,Canada
CAN,2021,47.0,Canada
CAN,2022,45.4,Canada
CAN,2023,44.2,Canada
CAN,2024,43.7,Canada
CAN,2025,43.2,Canada
CHE,2000,76.8,Switzerland
CHE,2001,76.1,Switzerland
CHE,2002,75.5,Switzerland
CHE,2003,74.6,Switzerland
CHE,2004,74.3,Switzerland
CHE,2005,73.9,Switzerland
CHE,2006,73.9,Switzerland
CHE,2007,73.9,Switzerland
CHE,2008,72.9,Switzerland
CHE,2009,72.0,Switzerland
CHE,2010,70.1,Switzerland
CHE,2011,69.8,Switzerland
CHE,2012,68.5,Switzerland
CHE,2013,67.6,Switzerland
CHE,2014,66.8,Switzerland
CHE,2015,65.9,Switzerland
CHE,2016,65.0,Switzerland
CHE,2017,65.2,Switzerland
CHE,2018,64.3,Switzerland
CHE,2019,63.6,Switzerland
CHE,2020,62.7,Switzerland
CHE,2021,61.9,Switzerland
CHE,2022,60.6,Switzerland
CHE,2023,59.6,Switzerland
CHE,2024,58.3,Switzerland
DEU,1999,49.4,Germany
DEU,2001,49.2,Germany
DEU,2003,49.4,Germany
DEU,2005,49.3,Germany
DEU,2007,49.0,Germany
DEU,2009,50.5,Germany
DEU,2011,52.8,Germany
DEU,2013,54.0,Germany
DEU,2015,54.4,Germany
DEU,2017,54.4,Germany
DEU,2019,54.2,Germany
DEU,2021,53.9,Germany
DEU,2022,53.5,Germany
DEU,2023,53.5,Germany
DEU,2024,53.0,Germany
DNK,1990,63.9,Denmark
DNK,1991,60.0,Denmark
DNK,1992,57.5,Denmark
DNK,1993,55.6,Denmark
DNK,1994,58.7,Denmark
DNK,1995,58.7,Denmark
DNK,1996,60.5,Denmark
DNK,1997,59.0,Denmark
DNK,1998,61.2,Denmark
DNK,1999,58.3,Denmark
DNK,2000,58.3,Denmark
DNK,2001,58.5,Denmark
DNK,2002,58.0,Denmark
DNK,2003,55.2,Denmark
DNK,2004,55.0,Denmark
DNK,2005,54.5,Denmark
