country_code,year,nurses,country_name
AUS,1980,10.33,Australia
AUS,1981,9.91,Australia
AUS,1982,9.85,Australia
AUS,1983,9.87,Australia
AUS,1984,9.91,Australia
AUS,1985,9.55,Australia
AUS,1986,10.92,Australia
AUS,1987,11.37,Australia
AUS,1988,11.6,Australia
AUS,1989,11.72,Australia
AUS,1990,11.63,Australia
AUS,1991,12.08,Australia
AUS,1992,11.57,Australia
AUS,1993,11.1,Australia
AUS,1994,11.5,Australia
AUS,1995,10.84,Australia
AUS,1996,10.83,Australia
AUS,1997,10.41,Australia
AUS,1998,10.3,Australia
AUS,1999,10.17,Australia
AUS,2000,10.07,Australia
AUS,2001,9.95,Australia
AUS,2002,9.94,Australia
AUS,2003,9.94,Australia
AUS,2004,10.21,Australia
AUS,2005,9.76,Australia
AUS,2007,10.2,Australia
AUS,2008,10.3,Australia
AUS,2009,10.18,Australia
AUS,2011,10.19,Australia
AUS,2012,10.22,Australia
AUS,2013,11.12,Australia
AUS,2014,11.28,Australia
AUS,2015,11.39,Australia
AUS,2016,11.57,Australia
AUS,2017,11.69,Australia
AUS,2018,11.93,Australia
AUS,2019,12.23,Australia
AUS,2020,12.28,Australia
AUS,2021,12.81,Australia
AUS,2022,12.79,Australia
AUS,2023,13.04,Australia
AUS,2024,13.42,Australia
CAN,2003,8.51,Canada
CAN,2004,8.51,Canada
CAN,2005,8.73,Canada
CAN,2006,8.84,Canada
CAN,2007,9.04,Canada
CAN,2008,9.16,Canada
CAN,2009,9.32,Canada
CAN,2010,9.37,Canada
CAN,2011,9.29,Canada
CAN,2012,9.4,Canada
CAN,2013,9.54,Canada
CAN,2014,9.81,Canada
CAN,2015,9.91,Canada
CAN,2016,9.95,Canada
CAN,2017,10.0,Canada
CAN,2018,9.94,Canada
CAN,2019,9.98,Canada
CAN,2020,10.07,Canada
CAN,2021,10.25,Canada
CAN,2022,10.18,Canada
CAN,2023,10.05,Canada
CAN,2024,10.17,Canada
CHE,2000,11.59,Switzerland
CHE,2001,11.9,Switzerland
CHE,2002,12.31,Switzerland
CHE,2003,12.84,Switzerland
CHE,2004,12.72,Switzerland
CHE,2005,12.67,Switzerland
CHE,2006,13.09,Switzerland
CHE,2007,13.34,Switzerland
CHE,2008,13.59,Switzerland
CHE,2009,13.86,Switzerland
CHE,2010,14.64,Switzerland
CHE,2011,15.17,Switzerland
CHE,2012,15.57,Switzerland
CHE,2013,15.91,Switzerland
CHE,2014,16.16,Switzerland
CHE,2015,16.58,Switzerland
CHE,2016,17.02,Switzerland
CHE,2017,17.23,Switzerland
CHE,2018,17.59,Switzerland
CHE,2019,17.96,Switzerland
CHE,2020,18.37,Switzerland
CHE,2021,18.39,Switzerland
CHE,2022,18.44,Switzerland
CHE,2023,18.8,Switzerland
CHE,2024,19.02,Switzerland
DEU,2000,8.59,Germany
DEU,2001,8.66,Germany
DEU,2002,8.76,Germany
DEU,2003,8.94,Germany
DEU,2004,9.03,Germany
DEU,2005,9.18,Germany
DEU,2006,9.29,Germany
DEU,2007,9.41,Germany
DEU,2008,9.58,Germany
DEU,2009,9.79,Germany
