country_code,year,physicians,country_name
AUS,1961,1.13,Australia
AUS,1964,1.23,Australia
AUS,1965,1.22,Australia
AUS,1966,1.23,Australia
AUS,1967,1.26,Australia
AUS,1968,1.24,Australia
AUS,1969,1.26,Australia
AUS,1970,1.33,Australia
AUS,1971,1.26,Australia
AUS,1972,1.38,Australia
AUS,1973,1.35,Australia
AUS,1974,1.42,Australia
AUS,1975,1.48,Australia
AUS,1976,1.64,Australia
AUS,1977,1.65,Australia
AUS,1978,1.85,Australia
AUS,1979,1.78,Australia
AUS,1980,1.85,Australia
AUS,1981,1.86,Australia
AUS,1982,1.9,Australia
AUS,1983,1.95,Australia
AUS,1984,1.83,Australia
AUS,1985,1.91,Australia
AUS,1986,2.01,Australia
AUS,1987,2.06,Australia
AUS,1988,2.1,Australia
AUS,1989,2.14,Australia
AUS,1990,2.17,Australia
AUS,1991,2.33,Australia
AUS,1992,2.37,Australia
AUS,1993,2.4,Australia
AUS,1994,2.44,Australia
AUS,1995,2.48,Australia
AUS,1996,2.4,Australia
AUS,1997,2.4,Australia
AUS,1998,2.4,Australia
AUS,1999,2.45,Australia
AUS,2000,2.49,Australia
AUS,2001,2.56,Australia
AUS,2002,2.56,Australia
AUS,2003,2.63,Australia
AUS,2004,2.71,Australia
AUS,2005,2.78,Australia
AUS,2006,2.84,Australia
AUS,2007,3.01,Australia
AUS,2008,3.02,Australia
AUS,2009,3.12,Australia
AUS,2011,3.32,Australia
AUS,2012,3.31,Australia
AUS,2013,3.37,Australia
AUS,2014,3.45,Australia
AUS,2015,3.51,Australia
AUS,2016,3.58,Australia
AUS,2017,3.68,Australia
AUS,2018,3.75,Australia
AUS,2019,3.83,Australia
AUS,2020,3.91,Australia
AUS,2021,4.02,Australia
AUS,2022,4.11,Australia
AUS,2023,4.19,Australia
AUS,2024,4.29,Australia
CAN,2000,2.01,Canada
CAN,2001,2.01,Canada
CAN,2002,2.02,Canada
CAN,2003,2.02,Canada
CAN,2004,2.04,Canada
CAN,2005,2.07,Canada
CAN,2006,2.08,Canada
CAN,2007,2.12,Canada
CAN,2008,2.17,Canada
CAN,2009,2.24,Canada
CAN,2010,2.28,Canada
CAN,2011,2.35,Canada
CAN,2012,2.41,Canada
CAN,2013,2.46,Canada
CAN,2014,2.51,Canada
CAN,2015,2.56,Canada
CAN,2016,2.6,Canada
CAN,2017,2.66,Canada
CAN,2018,2.72,Canada
CAN,2019,2.73,Canada
CAN,2020,2.73,Canada
CAN,2021,2.76,Canada
CAN,2022,2.76,Canada
CAN,2023,2.72,Canada
CAN,2024,2.7,Canada
CHE,2003,3.65,Switzerland
CHE,2004,3.69,Switzerland
CHE,2005,3.74,Switzerland
CHE,2006,3.79,Switzerland
CHE,2007,3.78,Switzerland
CHE,2008,3.82,Switzerland
CHE,2009,3.83,Switzerland
CHE,2010,3.81,Switzerland
CHE,2011,3.83,Switzerland
CHE,2012,3.92,Switzerland
CHE,2013,4.04,Switzerland
CHE,2014,4.13,Switzerland
CHE,2015,4.2,Switzerland
CHE,2016,4.25,Switzerland
CHE,2017,4.3,Switzerland
CHE,2018,4.34,Switzerland
CHE,2019,4.35,Switzerland
CHE,2020,4.39,Switzerland
CHE,2021,4.44,Switzerland
CHE,2022,4.48,Switzerland
CHE,2023,4.55,Switzerland
CHE,2024,4.66,Switzerland
DEU,1991,2.76,Germany
DEU,1992,2.83,Germany
DEU,1993,2.92,Germany
DEU,1994,2.99,Germany
DEU,1995,3.05,Germany
DEU,1996,3.1,Germany
DEU,1997,3.12,Germany
DEU,1998,3.16,Germany
DEU,1999,3.2,Germany
DEU,2000,3.25,Germany
DEU,2001,3.29,Germany
DEU,2002,3.32,Germany
DEU,2003,3.35,Germany
DEU,2004,3.37,Germany
DEU,2005,3.4,Germany
DEU,2006,3.44,Germany
DEU,2007,3.49,Germany
DEU,2008,3.54,Germany
DEU,2009,3.62,Germany
DEU,2010,3.71,Germany
DEU,2011,3.88,Germany
DEU,2012,3.95,Germany
DEU,2013,4.04,Germany
DEU,2014,4.11,Germany
DEU,2015,4.14,Germany
DEU,2016,4.19,Germany
DEU,2017,4.25,Germany
DEU,2018,4.31,Germany
DEU,2019,4.39,Germany
DEU,2020,4.47,Germany
DEU,2021,4.53,Germany
DEU,2022,4.58,Germany
DEU,2023,4.66,Germany
DEU,2024,4.75,Germany
DNK,1980,1.77,Denmark
DNK,1981,1.83,Denmark
DNK,1982,2.05,Denmark
DNK,1983,2.12,Denmark
DNK,1984,2.26,Denmark
DNK,1985,2.3,Denmark
DNK,1986,2.34,Denmark
DNK,1987,2.35,Denmark
DNK,1988,2.42,Denmark
DNK,1989,2.46,Denmark
DNK,1990,2.5,Denmark
DNK,1991,2.43,Denmark
DNK,1992,2.6,Denmark
DNK,1993,2.62,Denmark
DNK,1994,2.64,Denmark
DNK,1995,2.68,Denmark
DNK,1996,2.7,Denmark
DNK,1997,2.78,Denmark
DNK,1998,2.86,Denmark
DNK,1999,2.88,Denmark
DNK,2000,2.91,Denmark
DNK,2001,2.93,Denmark
DNK,2002,3.04,Denmark
DNK,2003,3.08,Denmark
DNK,2004,3.23,Denmark
DNK,2005,3.33,Denmark
DNK,2006,3.42,Denmark
DNK,2007,3.46,Denmark
DNK,2008,3.58,Denmark
DNK,2009,3.65,Denmark
DNK,2010,3.73,Denmark
DNK,2011,3.79,Denmark
DNK,2012,3.84,Denmark
DNK,2013,3.85,Denmark
DNK,2014,3.88,Denmark
DNK,2015,3.93,Denmark
DNK,2016,4.0,Denmark
DNK,2017,4.11,Denmark
DNK,2018,4.2,Denmark
DNK,2019,4.25,Denmark
DNK,2020,4.38,Denmark
DNK,2021,4.5,Denmark
DNK,2022,4.48,Denmark
DNK,2023,4.56,Denmark
DNK,2024,4.66,Denmark
FIN,2000,2.36,Finland
FIN,2001,2.48,Finland
FIN,2002,2.51,Finland
FIN,2003,2.57,Finland
FIN,2004,2.63,Finland
FIN,2005,2.72,Finland
FIN,2006,2.74,Finland
FIN,2007,2.81,Finland
FIN,2008,2.87,Finland
FIN,2009,2.91,Finland
FIN,2010,3.03,Finland
FIN,2011,3.06,Finland
FIN,2012,3.14,Finland
FIN,2013,3.19,Finland
FIN,2014,3.25,Finland
FIN,2015,3.27,Finland
FIN,2016,3.3,Finland
FIN,2017,3.33,Finland
FIN,2018,3.35,Finland
FIN,2019,3.38,Finland
FIN,2020,3.41,Finland
FIN,2021,3.41,Finland
FIN,2022,3.44,Finland
FIN,2023,3.54,Finland
FIN,2024,3.62,Finland
FIN,2025,3.68,Finland
FRA,2000,3.02,France
FRA,2001,3.05,France
FRA,2002,3.07,France
FRA,2003,3.08,France
FRA,2004,3.1,France
FRA,2005,3.1,France
FRA,2006,3.09,France
FRA,2007,3.07,France
FRA,2008,3.07,France
FRA,2009,3.03,France
FRA,2010,3.04,France
FRA,2011,3.06,France
FRA,2012,3.07,France
FRA,2013,3.09,France
FRA,2014,3.09,France
FRA,2015,3.11,France
FRA,2016,3.12,France
FRA,2017,3.14,France
FRA,2018,3.14,France
FRA,2019,3.16,France
FRA,2020,3.74,France
FRA,2021,3.78,France
FRA,2022,3.82,France
FRA,2023,3.89,France
FRA,2024,3.94,France
GBR,1960,0.85,United Kingdom
GBR,1961,0.86,United Kingdom
