year,life_expectancy
1831,39.046
1841,40.317
1851,41.06
1861,41.595
1871,42.557
1881,44.73
1891,45.174
1901,48.634
1911,52.511
1921,57.1
1922,57.08
1923,56.96
1924,58.75
1925,59.26
1926,57.95
1927,58.61
1928,58.55
1929,57.94
1930,58.96
1931,60.27
1932,61.34
1933,62.28
1934,62.62
1935,62.4
1936,62.65
1937,61.27
1938,63.24
1939,63.7
1940,63.91
1941,63.74
1942,64.61
1943,64.57
1944,65.28
1945,66.26
1946,66.41
1947,66.79
1948,67.25
1949,67.59
1950,68.2146
1951,68.5075
1952,68.6817
1953,69.067
1954,69.9377
1955,69.9974
1956,69.9698
1957,69.9152
1958,70.572
1959,70.6124
1960,70.9728
1961,71.2153
1962,71.2363
1963,71.266
1964,71.6382
1965,71.7479
1966,71.8676
1967,72.0808
1968,72.2375
1969,72.3957
1970,72.6092
1971,72.9489
1972,72.8259
1973,73.0691
1974,73.1423
1975,73.4485
1976,73.87
1977,74.1536
1978,74.4822
1979,74.8362
1980,75.0612
1981,75.4816
1982,75.6923
1983,76.0662
1984,76.3553
1985,76.3479
1986,76.4911
1987,76.7975
1988,76.8618
1989,77.1239
1990,77.4333
1991,77.5939
1992,77.8525
1993,77.7251
1994,77.9007
1995,78.0206
1996,78.272
1997,78.4649
1998,78.6741
1999,78.8851
2000,79.233
2001,79.4494
2002,79.5658
2003,79.7363
2004,80.029
2005,80.131
2006,80.5398
2007,80.5422
2008,80.7304
2009,81.0648
2010,81.3363
2011,81.5133
2012,81.7037
2013,81.7852
2014,81.8373
2015,81.9084
2016,82.0301
2017,81.9195
2018,81.9247
2019,82.2848
2020,81.6536
2021,81.976
2022,81.2493
2023,82.6302
