period,period_end,age_group,cannabis_pct,smoking_pct,drinking_pct
2015/2016,2016,"Total, 18 years and over",,18.4,20.3
2017/2018,2018,"Total, 18 years and over",,17.0,20.5
2019/2020,2020,"Total, 18 years and over",22.0,14.8,18.6
2021/2022,2022,"Total, 18 years and over",23.2,12.6,18.8
2023/2024,2024,"Total, 18 years and over",21.0,11.4,19.3
2015/2016,2016,18 to 34 years,,21.7,29.8
2017/2018,2018,18 to 34 years,,19.3,29.2
2019/2020,2020,18 to 34 years,37.4,16.1,24.7
2021/2022,2022,18 to 34 years,37.2,11.1,23.7
2023/2024,2024,18 to 34 years,32.7,9.8,22.4
2015/2016,2016,35 to 49 years,,19.3,21.4
2017/2018,2018,35 to 49 years,,18.4,23.1
2019/2020,2020,35 to 49 years,23.0,16.0,21.6
2021/2022,2022,35 to 49 years,25.7,14.1,22.1
2023/2024,2024,35 to 49 years,23.7,12.7,23.2
2015/2016,2016,50 to 64 years,,20.6,18.9
2017/2018,2018,50 to 64 years,,19.0,18.9
2019/2020,2020,50 to 64 years,16.0,17.3,18.5
2021/2022,2022,50 to 64 years,18.3,16.3,19.2
2023/2024,2024,50 to 64 years,16.5,14.3,20.4
2015/2016,2016,65 years and over,,9.6,6.9
2017/2018,2018,65 years and over,,9.8,7.6
2019/2020,2020,65 years and over,7.3,8.8,7.5
2021/2022,2022,65 years and over,8.5,8.8,8.9
2023/2024,2024,65 years and over,8.0,8.8,10.3
