year,age_group,sex,rate
2000,15–19,Men,16.1
2000,20–24,Men,24.7
2000,25–29,Men,20.8
2000,30–34,Men,23.5
2000,35–39,Men,25.6
2000,40–44,Men,30.2
2000,45–49,Men,25.2
2000,50–54,Men,23.6
2000,55–59,Men,21.6
2000,60–64,Men,20.0
2000,65–69,Men,16.9
2000,70–74,Men,17.0
2000,75–79,Men,23.6
2000,80–84,Men,20.6
2000,85–89,Men,22.6
2000,90+,Men,31.2
2000,15–19,Women,5.1
2000,20–24,Women,6.0
2000,25–29,Women,6.0
2000,30–34,Women,5.3
2000,35–39,Women,6.5
2000,40–44,Women,8.1
2000,45–49,Women,9.7
2000,50–54,Women,8.7
2000,55–59,Women,6.4
2000,60–64,Women,5.0
2000,65–69,Women,5.6
2000,70–74,Women,4.2
2000,75–79,Women,3.4
2000,80–84,Women,2.9
2000,85–89,Women,1.1
2000,90+,Women,3.1
2001,15–19,Men,14.4
2001,20–24,Men,22.8
2001,25–29,Men,23.4
2001,30–34,Men,23.2
2001,35–39,Men,26.7
2001,40–44,Men,27.1
2001,45–49,Men,29.4
2001,50–54,Men,29.0
2001,55–59,Men,24.1
2001,60–64,Men,18.5
2001,65–69,Men,13.1
2001,70–74,Men,21.3
2001,75–79,Men,20.7
2001,80–84,Men,13.8
2001,85–89,Men,28.3
2001,90+,Men,24.2
2001,15–19,Women,5.0
2001,20–24,Women,5.2
2001,25–29,Women,4.8
2001,30–34,Women,5.9
2001,35–39,Women,7.0
2001,40–44,Women,7.2
2001,45–49,Women,9.9
2001,50–54,Women,8.6
2001,55–59,Women,8.1
2001,60–64,Women,5.9
2001,65–69,Women,5.6
2001,70–74,Women,4.7
2001,75–79,Women,4.4
2001,80–84,Women,2.8
2001,85–89,Women,2.1
2001,90+,Women,3.0
2002,15–19,Men,15.1
2002,20–24,Men,20.7
2002,25–29,Men,20.8
2002,30–34,Men,22.5
2002,35–39,Men,24.6
2002,40–44,Men,25.6
2002,45–49,Men,29.7
2002,50–54,Men,27.4
2002,55–59,Men,23.9
2002,60–64,Men,19.5
2002,65–69,Men,18.6
2002,70–74,Men,21.1
2002,75–79,Men,20.8
2002,80–84,Men,22.0
2002,85–89,Men,32.8
2002,90+,Men,40.1
2002,15–19,Women,5.4
2002,20–24,Women,5.3
2002,25–29,Women,4.8
2002,30–34,Women,7.2
2002,35–39,Women,7.9
2002,40–44,Women,7.1
2002,45–49,Women,7.3
2002,50–54,Women,8.2
2002,55–59,Women,7.2
2002,60–64,Women,6.9
2002,65–69,Women,3.7
2002,70–74,Women,3.1
2002,75–79,Women,2.3
2002,80–84,Women,3.5
2002,85–89,Women,3.1
2002,90+,Women,1.9
2003,15–19,Men,14.7
2003,20–24,Men,22.5
2003,25–29,Men,18.7
2003,30–34,Men,20.7
2003,35–39,Men,27.6
2003,40–44,Men,26.1
2003,45–49,Men,26.4
2003,50–54,Men,26.5
2003,55–59,Men,25.2
2003,60–64,Men,22.6
2003,65–69,Men,19.9
2003,70–74,Men,18.0
2003,75–79,Men,19.2
2003,80–84,Men,19.8
2003,85–89,Men,22.8
2003,90+,Men,42.9
2003,15–19,Women,5.4
2003,20–24,Women,5.4
2003,25–29,Women,4.6
2003,30–34,Women,6.1
2003,35–39,Women,7.5
2003,40–44,Women,7.8
2003,45–49,Women,9.7
2003,50–54,Women,10.7
2003,55–59,Women,6.5
2003,60–64,Women,4.9
2003,65–69,Women,5.5
2003,70–74,Women,3.4
2003,75–79,Women,3.3
2003,80–84,Women,2.5
2003,85–89,Women,6.0
2003,90+,Women,6.3
2004,15–19,Men,14.6
2004,20–24,Men,19.4
2004,25–29,Men,20.4
2004,30–34,Men,23.5
2004,35–39,Men,23.4
2004,40–44,Men,23.1
2004,45–49,Men,25.5
2004,50–54,Men,25.8
2004,55–59,Men,21.5
2004,60–64,Men,17.5
2004,65–69,Men,14.6
2004,70–74,Men,17.0
2004,75–79,Men,19.3
2004,80–84,Men,20.5
2004,85–89,Men,27.2
2004,90+,Men,20.3
2004,15–19,Women,4.7
2004,20–24,Women,4.9
2004,25–29,Women,5.3
2004,30–34,Women,5.2
2004,35–39,Women,9.1
2004,40–44,Women,6.7
2004,45–49,Women,9.4
2004,50–54,Women,9.6
2004,55–59,Women,7.1
2004,60–64,Women,6.4
2004,65–69,Women,6.4
2004,70–74,Women,4.5
2004,75–79,Women,3.7
2004,80–84,Women,4.0
2004,85–89,Women,4.4
2004,90+,Women,2.6
2005,15–19,Men,13.1
2005,20–24,Men,20.2
2005,25–29,Men,18.3
2005,30–34,Men,20.0
2005,35–39,Men,25.2
2005,40–44,Men,26.9
2005,45–49,Men,29.0
2005,50–54,Men,25.8
2005,55–59,Men,22.3
2005,60–64,Men,17.3
2005,65–69,Men,18.1
2005,70–74,Men,17.0
2005,75–79,Men,22.8
2005,80–84,Men,19.3
2005,85–89,Men,20.8
2005,90+,Men,21.6
2005,15–19,Women,6.2
2005,20–24,Women,5.9
2005,25–29,Women,3.2
2005,30–34,Women,5.8
2005,35–39,Women,7.2
2005,40–44,Women,8.8
2005,45–49,Women,7.7
2005,50–54,Women,9.9
2005,55–59,Women,7.2
2005,60–64,Women,4.9
2005,65–69,Women,5.3
2005,70–74,Women,2.9
2005,75–79,Women,5.6
2005,80–84,Women,4.9
2005,85–89,Women,3.7
2005,90+,Women,3.3
2006,15–19,Men,9.9
2006,20–24,Men,19.3
2006,25–29,Men,16.3
2006,30–34,Men,17.1
2006,35–39,Men,22.3
2006,40–44,Men,24.2
2006,45–49,Men,26.3
2006,50–54,Men,23.0
2006,55–59,Men,24.5
2006,60–64,Men,22.3
2006,65–69,Men,18.0
2006,70–74,Men,14.1
2006,75–79,Men,23.8
2006,80–84,Men,18.7
2006,85–89,Men,31.1
2006,90+,Men,38.5
2006,15–19,Women,4.1
2006,20–24,Women,4.2
2006,25–29,Women,5.8
2006,30–34,Women,5.4
2006,35–39,Women,5.4
2006,40–44,Women,6.8
2006,45–49,Women,8.5
2006,50–54,Women,8.7
2006,55–59,Women,7.1
2006,60–64,Women,4.3
2006,65–69,Women,6.7
2006,70–74,Women,6.3
2006,75–79,Women,4.5
2006,80–84,Women,4.1
2006,85–89,Women,2.2
2006,90+,Women,2.4
2007,15–19,Men,11.6
2007,20–24,Men,20.0
2007,25–29,Men,20.5
2007,30–34,Men,16.6
2007,35–39,Men,22.2
2007,40–44,Men,22.4
2007,45–49,Men,27.1
2007,50–54,Men,25.7
2007,55–59,Men,21.7
2007,60–64,Men,18.1
2007,65–69,Men,14.4
2007,70–74,Men,15.5
2007,75–79,Men,20.9
2007,80–84,Men,23.7
2007,85–89,Men,24.1
2007,90+,Men,19.6
2007,15–19,Women,5.0
2007,20–24,Women,5.5
2007,25–29,Women,5.4
2007,30–34,Women,5.3
2007,35–39,Women,6.0
2007,40–44,Women,8.5
2007,45–49,Women,8.8
2007,50–54,Women,8.2
2007,55–59,Women,7.9
2007,60–64,Women,6.0
2007,65–69,Women,4.4
2007,70–74,Women,4.8
2007,75–79,Women,4.2
2007,80–84,Women,3.8
2007,85–89,Women,4.9
2007,90+,Women,3.8
2008,15–19,Men,12.4
2008,20–24,Men,17.6
2008,25–29,Men,17.0
2008,30–34,Men,18.3
2008,35–39,Men,20.7
2008,40–44,Men,27.7
2008,45–49,Men,24.4
2008,50–54,Men,24.7
2008,55–59,Men,22.1
2008,60–64,Men,16.7
2008,65–69,Men,17.6
2008,70–74,Men,18.1
2008,75–79,Men,22.3
2008,80–84,Men,22.3
2008,85–89,Men,21.2
2008,90+,Men,37.4
2008,15–19,Women,6.2
2008,20–24,Women,4.6
2008,25–29,Women,5.6
2008,30–34,Women,5.0
2008,35–39,Women,6.7
2008,40–44,Women,7.8
2008,45–49,Women,9.6
2008,50–54,Women,8.6
2008,55–59,Women,9.4
2008,60–64,Women,8.2
2008,65–69,Women,4.5
2008,70–74,Women,4.3
2008,75–79,Women,2.2
2008,80–84,Women,2.3
2008,85–89,Women,5.5
2008,90+,Women,2.9
2009,15–19,Men,12.7
2009,20–24,Men,17.7
2009,25–29,Men,17.6
2009,30–34,Men,21.0
2009,35–39,Men,22.1
2009,40–44,Men,27.4
2009,45–49,Men,27.0
2009,50–54,Men,28.4
2009,55–59,Men,26.5
2009,60–64,Men,19.5
2009,65–69,Men,16.6
2009,70–74,Men,20.8
2009,75–79,Men,16.9
2009,80–84,Men,19.9
2009,85–89,Men,31.6
2009,90+,Men,29.8
2009,15–19,Women,5.3
2009,20–24,Women,6.6
2009,25–29,Women,4.9
2009,30–34,Women,5.7
2009,35–39,Women,7.3
2009,40–44,Women,7.7
2009,45–49,Women,8.4
2009,50–54,Women,8.8
2009,55–59,Women,7.8
2009,60–64,Women,6.6
2009,65–69,Women,3.6
2009,70–74,Women,3.1
2009,75–79,Women,2.8
2009,80–84,Women,4.8
2009,85–89,Women,3.8
2009,90+,Women,2.8
2010,15–19,Men,12.7
2010,20–24,Men,19.3
2010,25–29,Men,16.4
2010,30–34,Men,19.1
2010,35–39,Men,23.4
2010,40–44,Men,22.5
2010,45–49,Men,29.0
2010,50–54,Men,26.9
2010,55–59,Men,24.3
2010,60–64,Men,20.7
2010,65–69,Men,16.6
2010,70–74,Men,18.7
2010,75–79,Men,19.4
2010,80–84,Men,25.3
2010,85–89,Men,25.5
2010,90+,Men,25.5
2010,15–19,Women,4.8
2010,20–24,Women,5.5
2010,25–29,Women,6.7
2010,30–34,Women,6.6
2010,35–39,Women,7.0
2010,40–44,Women,8.1
2010,45–49,Women,7.0
2010,50–54,Women,10.0
2010,55–59,Women,9.7
2010,60–64,Women,7.0
2010,65–69,Women,4.8
2010,70–74,Women,3.6
2010,75–79,Women,4.8
2010,80–84,Women,1.5
2010,85–89,Women,5.1
2010,90+,Women,3.3
2011,15–19,Men,12.5
2011,20–24,Men,19.9
2011,25–29,Men,17.2
2011,30–34,Men,20.3
2011,35–39,Men,20.8
2011,40–44,Men,23.4
2011,45–49,Men,24.4
2011,50–54,Men,25.0
2011,55–59,Men,25.7
2011,60–64,Men,18.6
2011,65–69,Men,16.4
2011,70–74,Men,20.6
