country_code,country_name,year,alcohol_lpc
AUS,Australia,2000,10.55
AUS,Australia,2001,10.55
AUS,Australia,2002,10.48
AUS,Australia,2003,10.57
AUS,Australia,2004,10.72
AUS,Australia,2005,10.82
AUS,Australia,2006,11.05
AUS,Australia,2007,11.19
AUS,Australia,2008,11.28
AUS,Australia,2009,11.26
AUS,Australia,2010,11.1
AUS,Australia,2011,10.9
AUS,Australia,2012,10.72
AUS,Australia,2013,10.58
AUS,Australia,2014,10.46
AUS,Australia,2015,10.39
AUS,Australia,2016,10.25
AUS,Australia,2017,10.19
AUS,Australia,2018,10.09
AUS,Australia,2019,10.09
AUS,Australia,2020,10.29
CAN,Canada,2000,9.38
CAN,Canada,2001,9.38
CAN,Canada,2002,9.45
CAN,Canada,2003,9.5
CAN,Canada,2004,9.6
CAN,Canada,2005,9.75
CAN,Canada,2006,9.95
CAN,Canada,2007,10.09
CAN,Canada,2008,10.18
CAN,Canada,2009,10.23
CAN,Canada,2010,10.21
CAN,Canada,2011,10.17
CAN,Canada,2012,10.1
CAN,Canada,2013,10.05
CAN,Canada,2014,9.95
CAN,Canada,2015,9.92
CAN,Canada,2016,9.92
CAN,Canada,2017,9.95
CAN,Canada,2018,9.9
CAN,Canada,2019,9.9
CAN,Canada,2020,9.89
CHE,Switzerland,2000,12.48
CHE,Switzerland,2001,12.48
CHE,Switzerland,2002,12.33
CHE,Switzerland,2003,12.12
CHE,Switzerland,2004,11.88
CHE,Switzerland,2005,11.66
CHE,Switzerland,2006,11.61
CHE,Switzerland,2007,11.63
CHE,Switzerland,2008,11.59
CHE,Switzerland,2009,11.43
CHE,Switzerland,2010,11.32
CHE,Switzerland,2011,11.21
CHE,Switzerland,2012,11.1
CHE,Switzerland,2013,10.96
CHE,Switzerland,2014,10.87
CHE,Switzerland,2015,10.69
CHE,Switzerland,2016,10.53
CHE,Switzerland,2017,10.36
CHE,Switzerland,2018,10.4
CHE,Switzerland,2019,10.4
CHE,Switzerland,2020,10.07
DEU,Germany,2000,13.82
DEU,Germany,2001,13.82
DEU,Germany,2002,13.48
DEU,Germany,2003,13.26
DEU,Germany,2004,13.07
DEU,Germany,2005,13.01
DEU,Germany,2006,12.89
DEU,Germany,2007,12.79
DEU,Germany,2008,12.6
DEU,Germany,2009,12.46
DEU,Germany,2010,12.41
DEU,Germany,2011,12.39
DEU,Germany,2012,12.39
DEU,Germany,2013,12.31
DEU,Germany,2014,12.23
DEU,Germany,2015,12.15
DEU,Germany,2016,12.17
DEU,Germany,2017,12.23
DEU,Germany,2018,12.22
DEU,Germany,2019,12.22
DEU,Germany,2020,11.84
DNK,Denmark,2000,11.69
DNK,Denmark,2001,11.69
DNK,Denmark,2002,11.64
DNK,Denmark,2003,11.55
DNK,Denmark,2004,11.52
DNK,Denmark,2005,11.33
DNK,Denmark,2006,11.21
DNK,Denmark,2007,11.0
DNK,Denmark,2008,10.71
DNK,Denmark,2009,10.48
DNK,Denmark,2010,10.39
DNK,Denmark,2011,10.11
DNK,Denmark,2012,9.83
DNK,Denmark,2013,9.55
DNK,Denmark,2014,9.6
DNK,Denmark,2015,9.61
DNK,Denmark,2016,9.52
DNK,Denmark,2017,9.5
DNK,Denmark,2018,9.4
DNK,Denmark,2019,9.4
DNK,Denmark,2020,9.49
FIN,Finland,2000,10.0
FIN,Finland,2001,10.0
FIN,Finland,2002,10.14
FIN,Finland,2003,10.45
FIN,Finland,2004,10.68
FIN,Finland,2005,10.95
FIN,Finland,2006,11.12
FIN,Finland,2007,11.21
FIN,Finland,2008,11.14
FIN,Finland,2009,10.89
FIN,Finland,2010,10.74
FIN,Finland,2011,10.5
FIN,Finland,2012,10.28
FIN,Finland,2013,9.92
FIN,Finland,2014,9.66
FIN,Finland,2015,9.43
FIN,Finland,2016,9.3
FIN,Finland,2017,9.23
FIN,Finland,2018,9.16
FIN,Finland,2019,9.16
FIN,Finland,2020,9.08
FRA,France,2000,13.72
FRA,France,2001,13.72
FRA,France,2002,13.57
FRA,France,2003,13.26
FRA,France,2004,12.94
FRA,France,2005,12.81
FRA,France,2006,12.75
FRA,France,2007,12.63
FRA,France,2008,12.51
FRA,France,2009,12.31
FRA,France,2010,12.25
FRA,France,2011,12.11
FRA,France,2012,11.93
FRA,France,2013,11.84
FRA,France,2014,11.73
FRA,France,2015,11.73
FRA,France,2016,11.6
FRA,France,2017,11.4
FRA,France,2018,11.3
FRA,France,2019,11.3
FRA,France,2020,10.32
GBR,United Kingdom,2000,12.28
GBR,United Kingdom,2001,12.28
GBR,United Kingdom,2002,12.42
GBR,United Kingdom,2003,12.5
GBR,United Kingdom,2004,12.51
GBR,United Kingdom,2005,12.38
GBR,United Kingdom,2006,12.19
GBR,United Kingdom,2007,11.94
GBR,United Kingdom,2008,11.61
GBR,United Kingdom,2009,11.25
GBR,United Kingdom,2010,10.95
GBR,United Kingdom,2011,10.79
GBR,United Kingdom,2012,10.57
GBR,United Kingdom,2013,10.44
GBR,United Kingdom,2014,10.44
GBR,United Kingdom,2015,10.52
GBR,United Kingdom,2016,10.64
GBR,United Kingdom,2017,10.77
GBR,United Kingdom,2018,10.82
GBR,United Kingdom,2019,10.82
GBR,United Kingdom,2020,10.73
ISR,Israel,2000,2.93
ISR,Israel,2001,2.93
ISR,Israel,2002,2.87
ISR,Israel,2003,2.83
ISR,Israel,2004,2.84
ISR,Israel,2005,2.85
ISR,Israel,2006,2.89
ISR,Israel,2007,2.94
ISR,Israel,2008,3.04
ISR,Israel,2009,3.13
ISR,Israel,2010,3.16
ISR,Israel,2011,3.21
ISR,Israel,2012,3.22
ISR,Israel,2013,3.14
ISR,Israel,2014,3.03
ISR,Israel,2015,2.94
ISR,Israel,2016,2.95
ISR,Israel,2017,2.97
ISR,Israel,2018,3.01
ISR,Israel,2019,3.01
ISR,Israel,2020,2.84
ITA,Italy,2000,9.95
ITA,Italy,2001,9.95
ITA,Italy,2002,9.8
ITA,Italy,2003,9.57
ITA,Italy,2004,8.98
ITA,Italy,2005,8.32
ITA,Italy,2006,7.73
ITA,Italy,2007,7.54
ITA,Italy,2008,7.26
ITA,Italy,2009,7.18
ITA,Italy,2010,7.22
ITA,Italy,2011,7.57
ITA,Italy,2012,7.69
ITA,Italy,2013,7.88
ITA,Italy,2014,7.77
ITA,Italy,2015,7.68
ITA,Italy,2016,7.61
ITA,Italy,2017,7.81
ITA,Italy,2018,7.97
ITA,Italy,2019,7.97
ITA,Italy,2020,6.97
JPN,Japan,2000,7.66
JPN,Japan,2001,7.66
JPN,Japan,2002,7.32
JPN,Japan,2003,7.27
JPN,Japan,2004,7.33
JPN,Japan,2005,7.41
JPN,Japan,2006,7.31
JPN,Japan,2007,7.06
JPN,Japan,2008,6.84
JPN,Japan,2009,6.77
JPN,Japan,2010,6.77
JPN,Japan,2011,6.77
