country_code,country_name,year,maternal_mortality
AUS,Australia,2000,7
AUS,Australia,2001,6
AUS,Australia,2002,6
AUS,Australia,2003,5
AUS,Australia,2004,5
AUS,Australia,2005,5
AUS,Australia,2006,5
AUS,Australia,2007,5
AUS,Australia,2008,5
AUS,Australia,2009,5
AUS,Australia,2010,5
AUS,Australia,2011,6
AUS,Australia,2012,6
AUS,Australia,2013,6
AUS,Australia,2014,6
AUS,Australia,2015,6
AUS,Australia,2016,6
AUS,Australia,2017,6
AUS,Australia,2018,5
AUS,Australia,2019,5
AUS,Australia,2020,5
AUS,Australia,2021,4
AUS,Australia,2022,4
AUS,Australia,2023,2
CAN,Canada,2000,9
CAN,Canada,2001,10
CAN,Canada,2002,10
CAN,Canada,2003,10
CAN,Canada,2004,10
CAN,Canada,2005,11
CAN,Canada,2006,11
CAN,Canada,2007,11
CAN,Canada,2008,12
CAN,Canada,2009,12
CAN,Canada,2010,11
CAN,Canada,2011,11
CAN,Canada,2012,11
CAN,Canada,2013,11
CAN,Canada,2014,12
CAN,Canada,2015,11
CAN,Canada,2016,12
CAN,Canada,2017,12
CAN,Canada,2018,13
CAN,Canada,2019,12
CAN,Canada,2020,17
CAN,Canada,2021,14
CAN,Canada,2022,15
CAN,Canada,2023,12
CHE,Switzerland,2000,9
CHE,Switzerland,2001,8
CHE,Switzerland,2002,9
CHE,Switzerland,2003,8
CHE,Switzerland,2004,8
CHE,Switzerland,2005,8
CHE,Switzerland,2006,8
CHE,Switzerland,2007,7
CHE,Switzerland,2008,7
CHE,Switzerland,2009,7
CHE,Switzerland,2010,7
CHE,Switzerland,2011,7
CHE,Switzerland,2012,7
CHE,Switzerland,2013,7
CHE,Switzerland,2014,6
CHE,Switzerland,2015,6
CHE,Switzerland,2016,7
CHE,Switzerland,2017,6
CHE,Switzerland,2018,6
CHE,Switzerland,2019,6
CHE,Switzerland,2020,5
CHE,Switzerland,2021,4
CHE,Switzerland,2022,4
CHE,Switzerland,2023,5
DEU,Germany,2000,7
DEU,Germany,2001,6
DEU,Germany,2002,6
DEU,Germany,2003,6
DEU,Germany,2004,6
DEU,Germany,2005,6
DEU,Germany,2006,6
DEU,Germany,2007,5
DEU,Germany,2008,6
DEU,Germany,2009,6
DEU,Germany,2010,5
DEU,Germany,2011,5
DEU,Germany,2012,5
DEU,Germany,2013,5
DEU,Germany,2014,5
DEU,Germany,2015,5
DEU,Germany,2016,4
DEU,Germany,2017,4
DEU,Germany,2018,4
DEU,Germany,2019,4
DEU,Germany,2020,4
DEU,Germany,2021,4
DEU,Germany,2022,4
DEU,Germany,2023,4
DNK,Denmark,2000,9
DNK,Denmark,2001,9
DNK,Denmark,2002,9
DNK,Denmark,2003,8
DNK,Denmark,2004,8
DNK,Denmark,2005,8
DNK,Denmark,2006,7
DNK,Denmark,2007,7
DNK,Denmark,2008,7
DNK,Denmark,2009,7
