country_code,country_name,year,measles_immunization_pct
AUS,Australia,1983,68
AUS,Australia,1984,68
AUS,Australia,1985,68
AUS,Australia,1986,68
AUS,Australia,1987,68
AUS,Australia,1988,77
AUS,Australia,1989,85
AUS,Australia,1990,86
AUS,Australia,1991,86
AUS,Australia,1992,86
AUS,Australia,1993,86
AUS,Australia,1994,86
AUS,Australia,1995,87
AUS,Australia,1996,87
AUS,Australia,1997,85
AUS,Australia,1998,82
AUS,Australia,1999,88
AUS,Australia,2000,91
AUS,Australia,2001,92
AUS,Australia,2002,94
AUS,Australia,2003,94
AUS,Australia,2004,94
AUS,Australia,2005,94
AUS,Australia,2006,94
AUS,Australia,2007,94
AUS,Australia,2008,94
AUS,Australia,2009,94
AUS,Australia,2010,94
AUS,Australia,2011,94
AUS,Australia,2012,94
AUS,Australia,2013,94
AUS,Australia,2014,94
AUS,Australia,2015,95
AUS,Australia,2016,95
AUS,Australia,2017,94
AUS,Australia,2018,94
AUS,Australia,2019,94
AUS,Australia,2020,93
AUS,Australia,2021,93
AUS,Australia,2022,96
AUS,Australia,2023,91
AUS,Australia,2024,91
CAN,Canada,1987,70
CAN,Canada,1988,85
CAN,Canada,1989,87
CAN,Canada,1990,89
CAN,Canada,1991,92
CAN,Canada,1992,94
CAN,Canada,1993,96
CAN,Canada,1994,97
CAN,Canada,1995,96
CAN,Canada,1996,97
CAN,Canada,1997,96
CAN,Canada,1998,96
CAN,Canada,1999,96
CAN,Canada,2000,96
CAN,Canada,2001,95
CAN,Canada,2002,95
CAN,Canada,2003,95
CAN,Canada,2004,94
CAN,Canada,2005,94
CAN,Canada,2006,93
CAN,Canada,2007,94
CAN,Canada,2008,93
CAN,Canada,2009,91
CAN,Canada,2010,90
CAN,Canada,2011,88
CAN,Canada,2012,89
CAN,Canada,2013,90
CAN,Canada,2014,90
CAN,Canada,2015,89
CAN,Canada,2016,89
CAN,Canada,2017,90
CAN,Canada,2018,90
CAN,Canada,2019,90
CAN,Canada,2020,90
CAN,Canada,2021,90
CAN,Canada,2022,92
CAN,Canada,2023,92
CAN,Canada,2024,92
CHE,Switzerland,1986,70
CHE,Switzerland,1987,70
CHE,Switzerland,1988,70
CHE,Switzerland,1989,90
CHE,Switzerland,1990,90
CHE,Switzerland,1991,83
CHE,Switzerland,1992,83
CHE,Switzerland,1993,83
CHE,Switzerland,1994,83
CHE,Switzerland,1995,83
CHE,Switzerland,1996,83
CHE,Switzerland,1997,83
CHE,Switzerland,1998,81
CHE,Switzerland,1999,82
CHE,Switzerland,2000,82
CHE,Switzerland,2001,82
CHE,Switzerland,2002,82
CHE,Switzerland,2003,82
CHE,Switzerland,2004,82
CHE,Switzerland,2005,87
CHE,Switzerland,2006,87
CHE,Switzerland,2007,87
CHE,Switzerland,2008,92
CHE,Switzerland,2009,92
CHE,Switzerland,2010,92
CHE,Switzerland,2011,93
CHE,Switzerland,2012,93
CHE,Switzerland,2013,93
CHE,Switzerland,2014,94
CHE,Switzerland,2015,94
CHE,Switzerland,2016,94
CHE,Switzerland,2017,95
CHE,Switzerland,2018,95
CHE,Switzerland,2019,95
CHE,Switzerland,2020,97
CHE,Switzerland,2021,95
CHE,Switzerland,2022,96
CHE,Switzerland,2023,95
CHE,Switzerland,2024,96
DEU,Germany,1980,25
DEU,Germany,1981,50
DEU,Germany,1982,50
DEU,Germany,1983,47
DEU,Germany,1984,48
DEU,Germany,1985,50
DEU,Germany,1986,70
DEU,Germany,1987,75
DEU,Germany,1988,75
DEU,Germany,1989,75
DEU,Germany,1990,75
DEU,Germany,1991,75
DEU,Germany,1992,75
DEU,Germany,1993,89
DEU,Germany,1994,90
DEU,Germany,1995,92
DEU,Germany,1996,91
DEU,Germany,1997,91
DEU,Germany,1998,92
DEU,Germany,1999,92
DEU,Germany,2000,92
DEU,Germany,2001,94
DEU,Germany,2002,94
DEU,Germany,2003,95
DEU,Germany,2004,96
DEU,Germany,2005,96
DEU,Germany,2006,96
DEU,Germany,2007,97
DEU,Germany,2008,97
DEU,Germany,2009,97
DEU,Germany,2010,97
DEU,Germany,2011,97
DEU,Germany,2012,97
DEU,Germany,2013,97
DEU,Germany,2014,97
DEU,Germany,2015,97
DEU,Germany,2016,97
DEU,Germany,2017,97
DEU,Germany,2018,97
DEU,Germany,2019,97
DEU,Germany,2020,97
DEU,Germany,2021,98
DEU,Germany,2022,96
DEU,Germany,2023,96
DEU,Germany,2024,96
DNK,Denmark,1987,82
DNK,Denmark,1988,72
DNK,Denmark,1989,80
DNK,Denmark,1990,84
DNK,Denmark,1991,86
DNK,Denmark,1992,85
DNK,Denmark,1993,81
DNK,Denmark,1994,88
DNK,Denmark,1995,88
DNK,Denmark,1996,85
DNK,Denmark,1997,84
DNK,Denmark,1998,91
DNK,Denmark,1999,92
DNK,Denmark,2000,99
DNK,Denmark,2001,94
DNK,Denmark,2002,95
DNK,Denmark,2003,96
DNK,Denmark,2004,96
DNK,Denmark,2005,95
DNK,Denmark,2006,90
DNK,Denmark,2007,89
DNK,Denmark,2008,87
DNK,Denmark,2009,84
DNK,Denmark,2010,85
DNK,Denmark,2011,87
DNK,Denmark,2012,90
DNK,Denmark,2013,89
DNK,Denmark,2014,90
DNK,Denmark,2015,91
DNK,Denmark,2016,94
DNK,Denmark,2017,97
DNK,Denmark,2018,95
DNK,Denmark,2019,96
DNK,Denmark,2020,94
DNK,Denmark,2021,95
DNK,Denmark,2022,95
DNK,Denmark,2023,95
DNK,Denmark,2024,94
