country_code,country_name,year,overweight_pct
AUS,Australia,2000,55.34
AUS,Australia,2001,56.06
AUS,Australia,2002,56.72
AUS,Australia,2003,57.33
AUS,Australia,2004,57.9
AUS,Australia,2005,58.42
AUS,Australia,2006,58.89
AUS,Australia,2007,59.33
AUS,Australia,2008,59.72
AUS,Australia,2009,60.07
AUS,Australia,2010,60.38
AUS,Australia,2011,60.66
AUS,Australia,2012,60.92
AUS,Australia,2013,61.19
AUS,Australia,2014,61.46
AUS,Australia,2015,61.75
AUS,Australia,2016,62.06
AUS,Australia,2017,62.38
AUS,Australia,2018,62.69
AUS,Australia,2019,63.0
AUS,Australia,2020,63.32
AUS,Australia,2021,63.64
AUS,Australia,2022,63.96
CAN,Canada,2000,54.95
CAN,Canada,2001,55.51
CAN,Canada,2002,56.01
CAN,Canada,2003,56.46
CAN,Canada,2004,56.87
CAN,Canada,2005,57.23
CAN,Canada,2006,57.56
CAN,Canada,2007,57.84
CAN,Canada,2008,58.08
CAN,Canada,2009,58.28
CAN,Canada,2010,58.43
CAN,Canada,2011,58.54
CAN,Canada,2012,58.63
CAN,Canada,2013,58.69
CAN,Canada,2014,58.76
CAN,Canada,2015,58.81
CAN,Canada,2016,58.87
CAN,Canada,2017,58.93
CAN,Canada,2018,58.97
CAN,Canada,2019,59.01
CAN,Canada,2020,59.06
CAN,Canada,2021,59.1
CAN,Canada,2022,59.15
CHE,Switzerland,2000,41.24
CHE,Switzerland,2001,41.37
CHE,Switzerland,2002,41.5
CHE,Switzerland,2003,41.6
CHE,Switzerland,2004,41.69
CHE,Switzerland,2005,41.77
CHE,Switzerland,2006,41.82
CHE,Switzerland,2007,41.86
CHE,Switzerland,2008,41.87
CHE,Switzerland,2009,41.84
CHE,Switzerland,2010,41.78
CHE,Switzerland,2011,41.7
CHE,Switzerland,2012,41.59
CHE,Switzerland,2013,41.48
CHE,Switzerland,2014,41.37
CHE,Switzerland,2015,41.27
CHE,Switzerland,2016,41.18
CHE,Switzerland,2017,41.09
CHE,Switzerland,2018,40.99
CHE,Switzerland,2019,40.88
CHE,Switzerland,2020,40.78
CHE,Switzerland,2021,40.68
CHE,Switzerland,2022,40.58
DEU,Germany,2000,52.67
DEU,Germany,2001,53.06
DEU,Germany,2002,53.42
DEU,Germany,2003,53.75
DEU,Germany,2004,54.05
DEU,Germany,2005,54.3
DEU,Germany,2006,54.51
DEU,Germany,2007,54.68
DEU,Germany,2008,54.79
DEU,Germany,2009,54.85
DEU,Germany,2010,54.86
DEU,Germany,2011,54.83
DEU,Germany,2012,54.76
DEU,Germany,2013,54.69
DEU,Germany,2014,54.6
DEU,Germany,2015,54.51
DEU,Germany,2016,54.43
DEU,Germany,2017,54.34
DEU,Germany,2018,54.24
DEU,Germany,2019,54.13
DEU,Germany,2020,54.02
DEU,Germany,2021,53.92
DEU,Germany,2022,53.82
DNK,Denmark,2000,41.15
DNK,Denmark,2001,41.7
DNK,Denmark,2002,42.22
DNK,Denmark,2003,42.71
DNK,Denmark,2004,43.15
DNK,Denmark,2005,43.54
DNK,Denmark,2006,43.88
DNK,Denmark,2007,44.15
DNK,Denmark,2008,44.37
DNK,Denmark,2009,44.53
DNK,Denmark,2010,44.62
DNK,Denmark,2011,44.68
DNK,Denmark,2012,44.71
DNK,Denmark,2013,44.72
DNK,Denmark,2014,44.74
DNK,Denmark,2015,44.76
DNK,Denmark,2016,44.78
DNK,Denmark,2017,44.81
DNK,Denmark,2018,44.83
DNK,Denmark,2019,44.85
DNK,Denmark,2020,44.87
DNK,Denmark,2021,44.89
DNK,Denmark,2022,44.91
FIN,Finland,2000,51.69
FIN,Finland,2001,52.07
FIN,Finland,2002,52.42
FIN,Finland,2003,52.75
FIN,Finland,2004,53.04
FIN,Finland,2005,53.3
FIN,Finland,2006,53.53
FIN,Finland,2007,53.73
FIN,Finland,2008,53.88
FIN,Finland,2009,54.01
FIN,Finland,2010,54.1
FIN,Finland,2011,54.18
FIN,Finland,2012,54.24
FIN,Finland,2013,54.31
FIN,Finland,2014,54.38
FIN,Finland,2015,54.48
FIN,Finland,2016,54.59
FIN,Finland,2017,54.71
FIN,Finland,2018,54.82
FIN,Finland,2019,54.93
FIN,Finland,2020,55.04
FIN,Finland,2021,55.16
FIN,Finland,2022,55.28
FRA,France,2000,41.47
FRA,France,2001,41.52
FRA,France,2002,41.55
FRA,France,2003,41.55
FRA,France,2004,41.51
FRA,France,2005,41.42
FRA,France,2006,41.28
FRA,France,2007,41.09
FRA,France,2008,40.83
FRA,France,2009,40.51
FRA,France,2010,40.13
FRA,France,2011,39.7
FRA,France,2012,39.24
FRA,France,2013,38.75
FRA,France,2014,38.26
FRA,France,2015,37.76
FRA,France,2016,37.26
FRA,France,2017,36.76
FRA,France,2018,36.26
FRA,France,2019,35.76
FRA,France,2020,35.26
FRA,France,2021,34.77
FRA,France,2022,34.29
GBR,United Kingdom,2000,56.01
GBR,United Kingdom,2001,56.77
GBR,United Kingdom,2002,57.46
GBR,United Kingdom,2003,58.07
GBR,United Kingdom,2004,58.6
GBR,United Kingdom,2005,59.06
GBR,United Kingdom,2006,59.45
GBR,United Kingdom,2007,59.78
GBR,United Kingdom,2008,60.05
GBR,United Kingdom,2009,60.26
GBR,United Kingdom,2010,60.41
GBR,United Kingdom,2011,60.51
GBR,United Kingdom,2012,60.58
GBR,United Kingdom,2013,60.64
GBR,United Kingdom,2014,60.71
GBR,United Kingdom,2015,60.79
GBR,United Kingdom,2016,60.88
GBR,United Kingdom,2017,60.98
GBR,United Kingdom,2018,61.07
GBR,United Kingdom,2019,61.16
GBR,United Kingdom,2020,61.25
GBR,United Kingdom,2021,61.33
GBR,United Kingdom,2022,61.42
ISR,Israel,2000,53.03
ISR,Israel,2001,53.46
ISR,Israel,2002,53.87
ISR,Israel,2003,54.25
ISR,Israel,2004,54.59
ISR,Israel,2005,54.87
ISR,Israel,2006,55.11
ISR,Israel,2007,55.28
ISR,Israel,2008,55.39
ISR,Israel,2009,55.44
ISR,Israel,2010,55.43
ISR,Israel,2011,55.38
ISR,Israel,2012,55.3
ISR,Israel,2013,55.19
ISR,Israel,2014,55.08
ISR,Israel,2015,54.98
ISR,Israel,2016,54.89
ISR,Israel,2017,54.79
ISR,Israel,2018,54.7
ISR,Israel,2019,54.6
ISR,Israel,2020,54.51
ISR,Israel,2021,54.42
ISR,Israel,2022,54.34
ITA,Italy,2000,47.45
ITA,Italy,2001,47.73
ITA,Italy,2002,48.0
ITA,Italy,2003,48.27
ITA,Italy,2004,48.52
ITA,Italy,2005,48.75
ITA,Italy,2006,48.95
ITA,Italy,2007,49.11
ITA,Italy,2008,49.24
ITA,Italy,2009,49.33
ITA,Italy,2010,49.36
ITA,Italy,2011,49.36
ITA,Italy,2012,49.34
ITA,Italy,2013,49.31
ITA,Italy,2014,49.28
