country_code,country_name,year,suicide_rate
AUS,Australia,2000,12.83
AUS,Australia,2001,13.04
AUS,Australia,2002,12.15
AUS,Australia,2003,11.08
AUS,Australia,2004,10.79
AUS,Australia,2005,11.67
AUS,Australia,2006,11.21
AUS,Australia,2007,11.5
AUS,Australia,2008,12.1
AUS,Australia,2009,11.65
AUS,Australia,2010,12.13
AUS,Australia,2011,11.57
AUS,Australia,2012,12.16
AUS,Australia,2013,11.92
AUS,Australia,2014,13.09
AUS,Australia,2015,13.64
AUS,Australia,2016,12.5
AUS,Australia,2017,13.9
AUS,Australia,2018,13.4
AUS,Australia,2019,13.98
AUS,Australia,2020,13.03
AUS,Australia,2021,13.08
CAN,Canada,2000,12.45
CAN,Canada,2001,12.78
CAN,Canada,2002,12.45
CAN,Canada,2003,13.09
CAN,Canada,2004,12.39
CAN,Canada,2005,12.87
CAN,Canada,2006,11.86
CAN,Canada,2007,12.18
CAN,Canada,2008,12.34
CAN,Canada,2009,12.83
CAN,Canada,2010,12.89
CAN,Canada,2011,12.02
CAN,Canada,2012,12.6
CAN,Canada,2013,12.86
CAN,Canada,2014,13.38
CAN,Canada,2015,13.43
CAN,Canada,2016,11.49
CAN,Canada,2017,11.82
CAN,Canada,2018,12.56
CAN,Canada,2019,12.69
CAN,Canada,2020,11.64
CAN,Canada,2021,9.44
CHE,Switzerland,2000,20.35
CHE,Switzerland,2001,19.71
CHE,Switzerland,2002,21.07
CHE,Switzerland,2003,18.7
CHE,Switzerland,2004,18.55
CHE,Switzerland,2005,18.97
CHE,Switzerland,2006,18.85
CHE,Switzerland,2007,19.47
CHE,Switzerland,2008,18.64
CHE,Switzerland,2009,15.91
CHE,Switzerland,2010,14.49
CHE,Switzerland,2011,14.66
CHE,Switzerland,2012,14.75
CHE,Switzerland,2013,15.1
CHE,Switzerland,2014,14.78
CHE,Switzerland,2015,15.05
CHE,Switzerland,2016,14.16
CHE,Switzerland,2017,14.4
CHE,Switzerland,2018,14.25
CHE,Switzerland,2019,14.23
CHE,Switzerland,2020,13.69
CHE,Switzerland,2021,14.02
DEU,Germany,2000,14.42
DEU,Germany,2001,14.47
DEU,Germany,2002,14.56
DEU,Germany,2003,14.37
DEU,Germany,2004,13.99
DEU,Germany,2005,13.28
DEU,Germany,2006,12.78
DEU,Germany,2007,12.38
DEU,Germany,2008,12.52
DEU,Germany,2009,12.74
DEU,Germany,2010,13.23
DEU,Germany,2011,13.24
DEU,Germany,2012,12.92
DEU,Germany,2013,13.48
DEU,Germany,2014,13.44
DEU,Germany,2015,13.3
DEU,Germany,2016,12.99
DEU,Germany,2017,12.53
DEU,Germany,2018,12.82
DEU,Germany,2019,12.49
DEU,Germany,2020,12.87
DEU,Germany,2021,12.9
DNK,Denmark,2000,15.54
DNK,Denmark,2001,15.78
DNK,Denmark,2002,14.97
DNK,Denmark,2003,13.68
DNK,Denmark,2004,14.37
DNK,Denmark,2005,14.7
DNK,Denmark,2006,14.68
DNK,Denmark,2007,12.74
DNK,Denmark,2008,13.06
DNK,Denmark,2009,12.71
DNK,Denmark,2010,11.69
DNK,Denmark,2011,12.43
DNK,Denmark,2012,12.84
DNK,Denmark,2013,12.06
DNK,Denmark,2014,11.97
DNK,Denmark,2015,11.03
DNK,Denmark,2016,10.82
DNK,Denmark,2017,11.18
DNK,Denmark,2018,11.2
DNK,Denmark,2019,11.42
DNK,Denmark,2020,10.9
DNK,Denmark,2021,10.46
FIN,Finland,2000,24.13
FIN,Finland,2001,24.31
FIN,Finland,2002,22.16
FIN,Finland,2003,21.85
FIN,Finland,2004,21.31
FIN,Finland,2005,19.96
FIN,Finland,2006,21.1
FIN,Finland,2007,19.68
FIN,Finland,2008,20.56
FIN,Finland,2009,20.33
FIN,Finland,2010,18.63
FIN,Finland,2011,17.74
FIN,Finland,2012,16.85
FIN,Finland,2013,17.2
FIN,Finland,2014,15.52
FIN,Finland,2015,14.09
FIN,Finland,2016,15.29
FIN,Finland,2017,15.71
FIN,Finland,2018,15.67
FIN,Finland,2019,14.38
FIN,Finland,2020,14.14
FIN,Finland,2021,14.57
FRA,France,2000,20.32
