date,fthb,repeat,investor
2014-01-01,50.34,29.84,19.81
2014-04-01,50.84,31.08,18.08
2014-07-01,50.05,32.71,17.24
2014-10-01,50.28,29.3,20.42
2015-01-01,50.51,28.4,21.08
2015-04-01,50.94,29.92,19.14
2015-07-01,48.9,32.03,19.07
2015-10-01,49.29,30.24,20.47
2016-01-01,49.63,28.21,22.16
2016-04-01,49.08,30.27,20.65
2016-07-01,48.15,31.58,20.27
2016-10-01,49.33,30.37,20.3
2017-01-01,49.36,28.13,22.51
2017-04-01,48.72,29.2,22.07
2017-07-01,46.79,31.72,21.48
2017-10-01,47.67,30.15,22.18
2018-01-01,47.41,29.74,22.85
2018-04-01,47.95,31.36,20.69
2018-07-01,46.57,32.79,20.64
2018-10-01,47.75,30.85,21.39
2019-01-01,48.37,28.68,22.95
2019-04-01,49.21,30.86,19.92
2019-07-01,47.94,32.44,19.62
2019-10-01,47.82,31.16,21.02
2020-01-01,46.77,30.92,22.31
2020-04-01,48.66,31.64,19.7
2020-07-01,47.44,32.24,20.32
2020-10-01,44.71,33.54,21.75
2021-01-01,43.89,32.1,24.0
2021-04-01,42.64,33.75,23.61
2021-07-01,41.15,34.18,24.68
2021-10-01,41.96,31.95,26.08
2022-01-01,41.95,29.73,28.33
2022-04-01,43.14,31.06,25.8
2022-07-01,42.37,31.16,26.47
2022-10-01,43.03,28.25,28.72
2023-01-01,42.73,27.39,29.88
2023-04-01,45.58,28.78,25.65
2023-07-01,44.46,30.32,25.21
2023-10-01,44.1,27.44,28.46
2024-01-01,44.04,25.51,30.45
