country_code,year,household_debt,country_name
AUS,2007,181.4,Australia
AUS,2008,178.49,Australia
AUS,2009,178.61,Australia
AUS,2010,180.18,Australia
AUS,2011,176.41,Australia
AUS,2012,177.8,Australia
AUS,2013,179.91,Australia
AUS,2014,180.79,Australia
AUS,2015,186.0,Australia
AUS,2016,193.08,Australia
AUS,2017,198.43,Australia
AUS,2018,198.88,Australia
AUS,2019,196.76,Australia
AUS,2020,188.11,Australia
AUS,2021,191.68,Australia
AUS,2022,192.53,Australia
AUS,2023,195.81,Australia
AUS,2024,194.8,Australia
AUS,2025,191.57,Australia
CAN,2007,148.48,Canada
CAN,2008,152.64,Canada
CAN,2009,160.52,Canada
CAN,2010,162.38,Canada
CAN,2011,165.93,Canada
CAN,2012,166.36,Canada
CAN,2013,165.99,Canada
CAN,2014,168.11,Canada
CAN,2015,170.14,Canada
CAN,2016,178.21,Canada
CAN,2017,178.55,Canada
CAN,2018,179.85,Canada
CAN,2019,178.76,Canada
CAN,2020,171.55,Canada
CAN,2021,178.44,Canada
CAN,2022,180.86,Canada
CAN,2023,176.55,Canada
CAN,2024,171.76,Canada
CAN,2025,171.56,Canada
DEU,2007,94.4,Germany
DEU,2008,91.43,Germany
DEU,2009,91.6,Germany
DEU,2010,89.92,Germany
DEU,2011,88.09,Germany
DEU,2012,87.05,Germany
DEU,2013,86.39,Germany
DEU,2014,85.26,Germany
DEU,2015,84.5,Germany
DEU,2016,84.44,Germany
DEU,2017,84.36,Germany
DEU,2018,82.36,Germany
DEU,2019,84.08,Germany
DEU,2020,87.06,Germany
DEU,2021,88.44,Germany
DEU,2022,84.17,Germany
DEU,2023,79.69,Germany
DEU,2024,77.11,Germany
DEU,2025,76.14,Germany
DNK,2007,269.01,Denmark
DNK,2008,284.69,Denmark
DNK,2009,287.32,Denmark
DNK,2010,284.0,Denmark
DNK,2011,272.07,Denmark
DNK,2012,268.31,Denmark
DNK,2013,272.28,Denmark
DNK,2014,272.59,Denmark
DNK,2015,257.32,Denmark
DNK,2016,251.16,Denmark
DNK,2017,246.67,Denmark
DNK,2018,239.19,Denmark
DNK,2019,239.25,Denmark
