cma,year,vacancy_rate
Greater Sudbury,2025,1.3
Saint John,2025,1.5
St. John's,2025,1.6
Kingston,2025,2.3
Halifax,2025,2.5
Sherbrooke,2025,2.5
Québec,2025,2.6
Saguenay,2025,2.6
Regina,2025,2.7
Trois-Rivières,2025,2.7
Peterborough,2025,2.7
Abbotsford-Mission,2025,2.8
Winnipeg,2025,2.8
Toronto,2025,3.0
Victoria,2025,3.1
Guelph,2025,3.2
Saskatoon,2025,3.2
Montréal,2025,3.3
Ottawa-Gatineau,2025,3.4
St. Catharines-Niagara,2025,3.5
Brantford,2025,3.5
Hamilton,2025,3.6
Windsor,2025,3.6
Moncton,2025,3.7
Vancouver,2025,3.7
Oshawa,2025,3.7
London,2025,3.9
Edmonton,2025,3.9
Barrie,2025,4.2
Kitchener-Cambridge-Waterloo,2025,4.2
Thunder Bay,2025,4.3
Calgary,2025,5.0
Kelowna,2025,6.3
