date,dsr_total,dsr_mortgage,dsr_nonmortgage,dsr_interest_only
1990-01-01,12.19,6.46,5.73,10.62
1990-04-01,12.68,6.69,5.99,11.16
1990-07-01,12.47,6.62,5.85,11.08
1990-10-01,12.29,6.64,5.66,11.04
1991-01-01,12.19,6.8,5.39,10.98
1991-04-01,12.13,6.95,5.18,10.94
1991-07-01,11.95,6.88,5.07,10.64
1991-10-01,11.83,6.9,4.92,10.4
1992-01-01,11.79,6.91,4.88,10.25
1992-04-01,11.57,6.84,4.73,9.96
1992-07-01,11.2,6.7,4.5,9.56
1992-10-01,11.57,6.79,4.78,9.75
1993-01-01,11.22,6.62,4.6,9.18
1993-04-01,10.69,6.35,4.34,8.74
1993-07-01,10.99,6.45,4.54,8.81
1993-10-01,11.12,6.46,4.66,8.82
1994-01-01,11.12,6.47,4.65,8.67
1994-04-01,11.11,6.31,4.8,8.59
1994-07-01,11.37,6.4,4.97,8.83
1994-10-01,11.46,6.42,5.04,8.92
1995-01-01,11.94,6.59,5.36,9.27
1995-04-01,11.88,6.51,5.37,9.45
1995-07-01,11.91,6.54,5.37,9.4
1995-10-01,11.9,6.49,5.42,9.32
1996-01-01,11.9,6.45,5.45,9.21
1996-04-01,11.97,6.43,5.54,9.13
1996-07-01,12.03,6.39,5.64,8.96
1996-10-01,11.9,6.28,5.61,8.71
1997-01-01,11.9,6.19,5.71,8.36
1997-04-01,11.94,6.12,5.82,8.27
1997-07-01,11.78,5.95,5.83,8.05
1997-10-01,11.92,5.89,6.03,8.07
1998-01-01,12.22,5.94,6.28,8.23
1998-04-01,12.33,5.85,6.48,8.26
1998-07-01,12.38,5.85,6.53,8.26
1998-10-01,12.33,5.78,6.55,8.27
1999-01-01,12.26,5.59,6.68,8.1
1999-04-01,12.05,5.45,6.6,7.88
1999-07-01,12.04,5.43,6.61,7.75
1999-10-01,12.15,5.47,6.68,7.72
2000-01-01,12.21,5.5,6.71,8.09
2000-04-01,12.35,5.55,6.8,8.37
2000-07-01,12.32,5.48,6.84,8.34
2000-10-01,12.36,5.45,6.9,8.43
2001-01-01,12.05,5.28,6.77,8.26
2001-04-01,12.28,5.39,6.88,8.24
2001-07-01,11.99,5.27,6.72,7.83
2001-10-01,11.81,5.23,6.58,7.51
2002-01-01,11.71,5.24,6.47,7.16
2002-04-01,11.81,5.24,6.57,7.13
2002-07-01,11.88,5.22,6.65,7.18
2002-10-01,11.99,5.22,6.76,7.35
2003-01-01,12.04,5.23,6.81,7.16
2003-04-01,12.34,5.32,7.02,7.32
2003-07-01,12.46,5.35,7.11,7.5
2003-10-01,12.49,5.36,7.13,7.37
2004-01-01,12.47,5.33,7.14,7.42
2004-04-01,12.36,5.29,7.07,7.22
2004-07-01,12.42,5.31,7.11,7.14
2004-10-01,12.67,5.37,7.3,7.16
2005-01-01,13.11,5.5,7.61,7.47
2005-04-01,13.15,5.5,7.65,7.46
2005-07-01,13.28,5.56,7.72,7.54
2005-10-01,13.49,5.62,7.86,7.41
2006-01-01,13.46,5.56,7.9,7.74
2006-04-01,13.91,5.71,8.19,8.12
2006-07-01,13.96,5.72,8.24,8.27
2006-10-01,14.04,5.74,8.3,8.37
2007-01-01,14.16,5.82,8.34,8.41
2007-04-01,14.54,5.98,8.56,8.73
2007-07-01,14.88,6.13,8.75,8.92
2007-10-01,15.0,6.26,8.74,9.07
2008-01-01,14.82,6.21,8.6,8.97
2008-04-01,14.66,6.22,8.44,8.8
2008-07-01,14.5,6.2,8.3,8.64
2008-10-01,14.37,6.11,8.26,8.3
2009-01-01,14.19,6.2,7.99,7.97
2009-04-01,14.09,6.23,7.86,7.63
2009-07-01,13.87,6.18,7.69,7.47
2009-10-01,13.82,6.16,7.65,7.34
2010-01-01,13.76,6.09,7.67,7.24
2010-04-01,14.11,6.24,7.87,7.45
2010-07-01,14.1,6.23,7.87,7.32
2010-10-01,14.04,6.21,7.82,7.3
2011-01-01,14.09,6.25,7.85,7.43
2011-04-01,14.18,6.28,7.91,7.27
2011-07-01,14.14,6.27,7.87,7.24
2011-10-01,14.02,6.24,7.79,7.12
2012-01-01,13.95,6.22,7.73,7.03
2012-04-01,14.02,6.29,7.73,7.07
2012-07-01,13.98,6.28,7.69,7.0
2012-10-01,13.97,6.31,7.65,6.88
2013-01-01,13.77,6.25,7.52,6.82
2013-04-01,13.83,6.28,7.54,6.81
2013-07-01,13.87,6.34,7.53,6.85
2013-10-01,13.83,6.34,7.49,6.78
2014-01-01,13.84,6.4,7.45,6.73
2014-04-01,13.88,6.4,7.48,6.69
2014-07-01,13.91,6.39,7.52,6.63
2014-10-01,14.1,6.44,7.66,6.67
2015-01-01,13.98,6.37,7.61,6.54
2015-04-01,13.9,6.35,7.55,6.38
2015-07-01,13.81,6.38,7.44,6.37
2015-10-01,13.81,6.45,7.36,6.34
2016-01-01,14.17,6.63,7.55,6.52
2016-04-01,14.18,6.7,7.48,6.54
2016-07-01,14.15,6.71,7.43,6.42
2016-10-01,14.12,6.7,7.41,6.41
2017-01-01,14.31,6.77,7.54,6.46
2017-04-01,14.3,6.74,7.55,6.44
2017-07-01,14.25,6.7,7.54,6.43
2017-10-01,14.38,6.78,7.59,6.57
2018-01-01,14.64,6.93,7.71,6.79
2018-04-01,14.85,7.04,7.81,6.99
2018-07-01,14.97,7.1,7.88,7.17
2018-10-01,14.94,7.1,7.84,7.28
2019-01-01,15.11,7.23,7.88,7.47
2019-04-01,15.03,7.2,7.83,7.4
2019-07-01,15.06,7.25,7.82,7.47
2019-10-01,14.95,7.19,7.76,7.36
2020-01-01,14.64,7.1,7.53,7.22
2020-04-01,12.56,6.17,6.39,6.28
2020-07-01,13.47,6.75,6.71,6.35
2020-10-01,13.94,7.03,6.91,6.3
2021-01-01,13.57,6.92,6.66,6.04
2021-04-01,13.72,7.06,6.65,6.11
2021-07-01,13.68,7.06,6.62,5.93
2021-10-01,13.9,7.2,6.7,5.99
2022-01-01,13.81,7.18,6.63,5.92
2022-04-01,14.0,7.33,6.68,6.37
2022-07-01,14.43,7.64,6.8,7.17
2022-10-01,14.62,7.84,6.78,7.88
2023-01-01,15.17,8.23,6.95,8.81
2023-04-01,15.14,8.22,6.92,8.95
2023-07-01,15.09,8.19,6.89,9.06
2023-10-01,15.13,8.2,6.93,9.16
2024-01-01,15.1,8.17,6.94,9.35
2024-04-01,15.09,8.21,6.88,9.4
2024-07-01,14.77,7.99,6.78,9.05
2024-10-01,14.67,7.89,6.78,8.8
2025-01-01,14.68,7.88,6.8,8.74
2025-04-01,14.78,7.93,6.86,8.77
2025-07-01,14.71,7.87,6.85,8.64
2025-10-01,14.68,7.83,6.85,8.58
2026-01-01,14.75,7.84,6.91,8.61
