year,geo,geo_level,age_group,households,owners,owners_single_detached,rate_pct,single_detached_share_of_owners_pct,source
1971,Canada,Canada,20 to 24 years,,,,14.6,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,20 to 34 years,,,,36.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1971,Canada,Canada,25 to 29 years,,,,33.2,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,30 to 34 years,,,,52.7,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,35 to 39 years,,,,64.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,35 to 54 years,,,,69.5,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
1971,Canada,Canada,40 to 44 years,,,,69.6,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,45 to 49 years,,,,72.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,50 to 54 years,,,,72.8,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,55 to 59 years,,,,72.1,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 1)"
1971,Canada,Canada,55 to 64 years,,,,71.5,,"Statistics Canada, Homeownership over the Life Course of Canadians: Evidence from Canadian Censuses of Population (11F0019M no. 325, 2010), Text tables 1 and 2 (Text table 2)"
