measure,geo,census_year,generation,age_group,category,value_pct,source
adjusted_homeownership_rate,Canada,1991,Baby boomers,25 to 29 years,,39.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2006,Generation X,25 to 29 years,,38.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2021,Millennials,25 to 29 years,,31.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,1991,Baby boomers,30 to 34 years,,59.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2006,Generation X,30 to 34 years,,59.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2021,Millennials,30 to 34 years,,52.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,1991,Baby boomers,35 to 39 years,,69.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2006,Generation X,35 to 39 years,,69.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2021,Millennials,35 to 39 years,,64.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,1991,Baby boomers,25 to 39 years,,55.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2006,Generation X,25 to 39 years,,56.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Canada,2021,Millennials,25 to 39 years,,49.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 5)"
adjusted_homeownership_rate,Halifax,1991,Baby boomers,25 to 39 years,,51.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
