date,housing_starts
1948-01-01,1456.0
1948-02-01,1298.0
1948-03-01,2626.0
1948-04-01,5409.0
1948-05-01,5707.0
1948-06-01,7977.0
1948-07-01,6241.0
1948-08-01,6566.0
1948-09-01,6888.0
1948-10-01,5482.0
1948-11-01,4888.0
1948-12-01,3350.0
1949-01-01,1993.0
1949-02-01,1344.0
1949-03-01,2968.0
1949-04-01,5806.0
1949-05-01,6810.0
1949-06-01,7379.0
1949-07-01,5259.0
1949-08-01,5482.0
1949-09-01,6419.0
1949-10-01,5901.0
1949-11-01,4923.0
1949-12-01,3841.0
1950-01-01,1958.0
1950-02-01,2290.0
1950-03-01,3655.0
1950-04-01,6157.0
1950-05-01,9319.0
1950-06-01,8715.0
1950-07-01,7183.0
1950-08-01,6227.0
1950-09-01,7581.0
1950-10-01,7219.0
1950-11-01,4892.0
1950-12-01,3403.0
1951-01-01,2337.0
1951-02-01,2406.0
1951-03-01,3298.0
1951-04-01,5889.0
1951-05-01,7513.0
1951-06-01,6386.0
1951-07-01,4174.0
1951-08-01,3916.0
1951-09-01,3698.0
1951-10-01,3564.0
1951-11-01,2624.0
1951-12-01,1569.0
1952-01-01,1345.0
1952-02-01,1704.0
1952-03-01,3175.0
1952-04-01,5997.0
1952-05-01,7756.0
1952-06-01,7535.0
1952-07-01,6226.0
1952-08-01,7525.0
1952-09-01,6208.0
1952-10-01,6758.0
1952-11-01,5841.0
1952-12-01,3373.0
1953-01-01,2689.0
1953-02-01,2688.0
1953-03-01,4998.0
1953-04-01,8817.0
1953-05-01,9104.0
1953-06-01,9239.0
1953-07-01,8665.0
1953-08-01,7353.0
1953-09-01,8292.0
1953-10-01,8280.0
1953-11-01,6648.0
1953-12-01,3540.0
1954-01-01,2927.0
1954-02-01,2881.0
1954-03-01,5459.0
1954-04-01,7648.0
1954-05-01,9228.0
1954-06-01,9433.0
1954-07-01,10462.0
1954-08-01,8635.0
1954-09-01,10222.0
1954-10-01,9046.0
1954-11-01,8371.0
1954-12-01,5443.0
1955-01-01,3178.0
1955-02-01,3136.0
1955-03-01,4432.0
1955-04-01,7662.0
1955-05-01,11268.0
1955-06-01,11712.0
1955-07-01,11795.0
1955-08-01,11270.0
1955-09-01,10032.0
1955-10-01,9461.0
1955-11-01,8589.0
1955-12-01,4851.0
1956-01-01,3459.0
1956-02-01,4113.0
1956-03-01,4457.0
1956-04-01,7566.0
1956-05-01,11065.0
1956-06-01,10968.0
1956-07-01,11132.0
1956-08-01,9043.0
1956-09-01,8870.0
1956-10-01,7782.0
1956-11-01,5679.0
1956-12-01,3175.0
1957-01-01,1454.0
1957-02-01,1773.0
1957-03-01,3441.0
1957-04-01,6148.0
1957-05-01,8695.0
1957-06-01,10177.0
1957-07-01,9387.0
1957-08-01,9097.0
1957-09-01,8434.0
1957-10-01,9284.0
1957-11-01,9953.0
1957-12-01,7032.0
1958-01-01,3945.0
1958-02-01,4375.0
1958-03-01,6296.0
1958-04-01,11013.0
1958-05-01,14330.0
1958-06-01,12923.0
1958-07-01,12057.0
1958-08-01,12115.0
1958-09-01,11525.0
1958-10-01,12678.0
1958-11-01,12026.0
1958-12-01,8412.0
1959-01-01,4833.0
1959-02-01,4021.0
1959-03-01,5496.0
1959-04-01,8414.0
1959-05-01,11151.0
1959-06-01,11319.0
1959-07-01,11305.0
1959-08-01,10263.0
1959-09-01,9755.0
1959-10-01,10724.0
1959-11-01,11707.0
1959-12-01,7003.0
1960-01-01,3722.0
1960-02-01,2130.0
1960-03-01,2996.0
1960-04-01,5092.0
1960-05-01,6913.0
1960-06-01,8702.0
1960-07-01,8966.0
1960-08-01,6678.0
1960-09-01,7443.0
1960-10-01,8554.0
1960-11-01,8441.0
1960-12-01,7050.0
1961-01-01,3894.0
1961-02-01,3847.0
1961-03-01,5479.0
1961-04-01,7339.0
1961-05-01,8778.0
1961-06-01,10536.0
1961-07-01,9009.0
1961-08-01,9467.0
1961-09-01,8934.0
1961-10-01,8648.0
1961-11-01,9987.0
1961-12-01,6823.0
1962-01-01,4576.0
1962-02-01,3417.0
1962-03-01,5484.0
1962-04-01,8547.0
1962-05-01,9847.0
1962-06-01,12011.0
