date,age_group,net_worth,real_estate,mortgage
2010-10-01,Under 35,131900.0,132532.0,78722.0
2010-10-01,35–44,333349.0,285111.0,138015.0
2010-10-01,45–54,666177.0,320191.0,89007.0
2010-10-01,55–64,809813.0,298222.0,52164.0
2010-10-01,65+,633805.0,226667.0,13216.0
2011-10-01,Under 35,138791.0,144723.0,85493.0
2011-10-01,35–44,338521.0,300036.0,145247.0
2011-10-01,45–54,677514.0,338186.0,93856.0
2011-10-01,55–64,832717.0,318122.0,55429.0
2011-10-01,65+,646204.0,240157.0,13981.0
2012-10-01,Under 35,152419.0,157768.0,91074.0
2012-10-01,35–44,367666.0,321695.0,153613.0
2012-10-01,45–54,731440.0,367756.0,101284.0
2012-10-01,55–64,871813.0,335439.0,58265.0
2012-10-01,65+,667731.0,249606.0,14575.0
2013-10-01,Under 35,169424.0,173522.0,96992.0
2013-10-01,35–44,393215.0,331355.0,155966.0
2013-10-01,45–54,735821.0,376099.0,104500.0
2013-10-01,55–64,942712.0,364917.0,64232.0
2013-10-01,65+,699336.0,261706.0,15705.0
2014-10-01,Under 35,185658.0,186766.0,102361.0
2014-10-01,35–44,415685.0,328713.0,154666.0
2014-10-01,45–54,790823.0,407046.0,116663.0
2014-10-01,55–64,977812.0,372600.0,67772.0
2014-10-01,65+,744101.0,273371.0,17356.0
2015-10-01,Under 35,186979.0,190567.0,102637.0
2015-10-01,35–44,436149.0,334325.0,157447.0
2015-10-01,45–54,801083.0,431223.0,127321.0
2015-10-01,55–64,1109980.0,433737.0,81541.0
2015-10-01,65+,782502.0,292770.0,19870.0
2016-10-01,Under 35,202502.0,206003.0,108174.0
2016-10-01,35–44,477936.0,354804.0,164865.0
2016-10-01,45–54,835873.0,463579.0,138005.0
2016-10-01,55–64,1158305.0,459737.0,87216.0
2016-10-01,65+,842434.0,318295.0,22256.0
2017-10-01,Under 35,210968.0,213664.0,112018.0
2017-10-01,35–44,498925.0,365428.0,170807.0
2017-10-01,45–54,883399.0,495010.0,149537.0
2017-10-01,55–64,1226902.0,487884.0,93902.0
2017-10-01,65+,865782.0,326434.0,23116.0
2018-10-01,Under 35,213587.0,206540.0,110786.0
2018-10-01,35–44,480983.0,363337.0,180661.0
2018-10-01,45–54,927927.0,516156.0,169201.0
2018-10-01,55–64,1174070.0,474192.0,88995.0
2018-10-01,65+,850151.0,320993.0,22107.0
2019-10-01,Under 35,235578.0,211070.0,111192.0
2019-10-01,35–44,507081.0,377944.0,189532.0
2019-10-01,45–54,1034647.0,557458.0,185294.0
2019-10-01,55–64,1214749.0,484457.0,85477.0
2019-10-01,65+,901559.0,334035.0,21712.0
2020-01-01,Under 35,222932.0,203741.0,104604.0
2020-01-01,35–44,483031.0,377638.0,187027.0
2020-01-01,45–54,1017686.0,572633.0,186248.0
2020-01-01,55–64,1160105.0,498157.0,90842.0
2020-01-01,65+,873879.0,343894.0,22852.0
2020-04-01,Under 35,264162.0,223739.0,105888.0
2020-04-01,35–44,529332.0,398866.0,190078.0
2020-04-01,45–54,1039964.0,577395.0,186973.0
2020-04-01,55–64,1210182.0,518307.0,97099.0
2020-04-01,65+,930786.0,358560.0,23695.0
2020-07-01,Under 35,306019.0,248731.0,110437.0
2020-07-01,35–44,571860.0,423325.0,195281.0
2020-07-01,45–54,1048865.0,583437.0,188288.0
2020-07-01,55–64,1244562.0,539512.0,103201.0
2020-07-01,65+,977599.0,374116.0,24355.0
2020-10-01,Under 35,349247.0,274866.0,112577.0
2020-10-01,35–44,616960.0,449414.0,196280.0
2020-10-01,45–54,1063968.0,597006.0,188427.0
2020-10-01,55–64,1283427.0,560864.0,103448.0
2020-10-01,65+,1019609.0,391351.0,24594.0
2021-01-01,Under 35,389405.0,305708.0,115438.0
2021-01-01,35–44,671146.0,492240.0,200000.0
2021-01-01,45–54,1123234.0,646302.0,192112.0
2021-01-01,55–64,1352221.0,609924.0,105121.0
2021-01-01,65+,1074059.0,425789.0,24972.0
2021-04-01,Under 35,399879.0,313617.0,120082.0
2021-04-01,35–44,689136.0,505213.0,208318.0
2021-04-01,45–54,1154890.0,663827.0,200369.0
2021-04-01,55–64,1391695.0,626289.0,109450.0
2021-04-01,65+,1108013.0,437615.0,25928.0
2021-07-01,Under 35,420955.0,337695.0,126856.0
2021-07-01,35–44,718968.0,539044.0,216311.0
2021-07-01,45–54,1196379.0,705038.0,205517.0
2021-07-01,55–64,1432923.0,664540.0,111741.0
2021-07-01,65+,1139652.0,464542.0,26294.0
2021-10-01,Under 35,440626.0,355882.0,127892.0
2021-10-01,35–44,757927.0,571448.0,218129.0
2021-10-01,45–54,1241619.0,742368.0,205383.0
2021-10-01,55–64,1492819.0,703993.0,111219.0
2021-10-01,65+,1184010.0,492992.0,26340.0
2022-01-01,Under 35,448632.0,368925.0,130577.0
2022-01-01,35–44,768043.0,592256.0,222330.0
2022-01-01,45–54,1249427.0,768466.0,209033.0
2022-01-01,55–64,1496916.0,729718.0,113530.0
2022-01-01,65+,1189100.0,510915.0,26856.0
2022-04-01,Under 35,410665.0,343628.0,133685.0
2022-04-01,35–44,701572.0,551239.0,228375.0
2022-04-01,45–54,1153293.0,713429.0,214209.0
2022-04-01,55–64,1396265.0,678464.0,116640.0
2022-04-01,65+,1118035.0,474582.0,27411.0
2022-07-01,Under 35,393023.0,326265.0,134787.0
2022-07-01,35–44,672521.0,523130.0,231082.0
2022-07-01,45–54,1116816.0,675613.0,216079.0
2022-07-01,55–64,1363565.0,643041.0,117691.0
2022-07-01,65+,1096349.0,449740.0,27473.0
2022-10-01,Under 35,387382.0,316165.0,133193.0
2022-10-01,35–44,674477.0,513781.0,231498.0
2022-10-01,45–54,1118590.0,662022.0,216853.0
2022-10-01,55–64,1373611.0,631927.0,118716.0
2022-10-01,65+,1108616.0,443163.0,27747.0
2023-01-01,Under 35,407956.0,328245.0,130321.0
2023-01-01,35–44,708699.0,537574.0,231123.0
2023-01-01,45–54,1166578.0,693747.0,217402.0
2023-01-01,55–64,1424647.0,663282.0,120122.0
2023-01-01,65+,1144917.0,463666.0,28020.0
2023-04-01,Under 35,415339.0,332777.0,128323.0
2023-04-01,35–44,720285.0,549079.0,232527.0
2023-04-01,45–54,1182445.0,709947.0,220024.0
2023-04-01,55–64,1441360.0,680215.0,123058.0
2023-04-01,65+,1156181.0,473802.0,28644.0
2023-07-01,Under 35,402237.0,321650.0,126846.0
2023-07-01,35–44,697094.0,534111.0,233656.0
2023-07-01,45–54,1148721.0,691517.0,222290.0
2023-07-01,55–64,1405696.0,663200.0,124804.0
2023-07-01,65+,1129239.0,460474.0,28839.0
2023-10-01,Under 35,394498.0,309850.0,125893.0
2023-10-01,35–44,706639.0,524855.0,232519.0
2023-10-01,45–54,1161176.0,677363.0,221858.0
2023-10-01,55–64,1416537.0,649990.0,126427.0
2023-10-01,65+,1145499.0,453960.0,29414.0
2024-01-01,Under 35,410884.0,317308.0,122381.0
2024-01-01,35–44,735185.0,542156.0,231389.0
2024-01-01,45–54,1201471.0,700697.0,221890.0
2024-01-01,55–64,1460615.0,673888.0,127856.0
2024-01-01,65+,1182499.0,471190.0,29799.0
2024-04-01,Under 35,410770.0,314302.0,120213.0
2024-04-01,35–44,734916.0,541646.0,232522.0
2024-04-01,45–54,1201871.0,701127.0,224120.0
2024-04-01,55–64,1462912.0,676156.0,130768.0
2024-04-01,65+,1189133.0,473017.0,30466.0
2024-07-01,Under 35,412606.0,309545.0,121667.0
2024-07-01,35–44,739954.0,533907.0,234921.0
2024-07-01,45–54,1214448.0,691276.0,226650.0
2024-07-01,55–64,1483574.0,667684.0,132780.0
