year,decile,after_tax,before_tax
1976,Eighth decile,57200.0,68000.0
1976,Fifth decile,38300.0,44100.0
1976,Fourth decile,33600.0,37900.0
1976,Highest decile,103100.0,132200.0
1976,Lowest decile,12100.0,12300.0
1976,Ninth decile,67700.0,81600.0
1976,Second decile,21800.0,23000.0
1976,Seventh decile,49700.0,58600.0
1976,Sixth decile,43500.0,51000.0
1976,Third decile,28100.0,30900.0
1977,Eighth decile,57900.0,68600.0
1977,Fifth decile,39300.0,44700.0
1977,Fourth decile,34300.0,38300.0
1977,Highest decile,94800.0,119000.0
1977,Lowest decile,11100.0,11200.0
1977,Ninth decile,68500.0,82000.0
1977,Second decile,22000.0,22800.0
1977,Seventh decile,50600.0,59200.0
1977,Sixth decile,44500.0,51400.0
1977,Third decile,28900.0,31300.0
1978,Eighth decile,58100.0,68500.0
1978,Fifth decile,39600.0,45000.0
1978,Fourth decile,34700.0,38600.0
1978,Highest decile,101400.0,127200.0
1978,Lowest decile,12200.0,12300.0
1978,Ninth decile,68500.0,81900.0
1978,Second decile,22600.0,23400.0
1978,Seventh decile,50900.0,59300.0
1978,Sixth decile,44900.0,51700.0
1978,Third decile,29300.0,31600.0
1979,Eighth decile,58500.0,69600.0
1979,Fifth decile,39900.0,45800.0
1979,Fourth decile,34700.0,39100.0
1979,Highest decile,97600.0,123100.0
1979,Lowest decile,12400.0,12500.0
1979,Ninth decile,69100.0,83500.0
1979,Second decile,22500.0,23600.0
1979,Seventh decile,51300.0,60300.0
1979,Sixth decile,45300.0,52700.0
1979,Third decile,29000.0,31800.0
1980,Eighth decile,59400.0,71000.0
1980,Fifth decile,40600.0,46800.0
1980,Fourth decile,35500.0,40200.0
1980,Highest decile,101800.0,128100.0
1980,Lowest decile,12900.0,13100.0
1980,Ninth decile,69800.0,84700.0
1980,Second decile,23300.0,24500.0
1980,Seventh decile,52200.0,61700.0
1980,Sixth decile,46000.0,53800.0
1980,Third decile,30100.0,33100.0
1981,Eighth decile,59700.0,71600.0
1981,Fifth decile,40100.0,46200.0
1981,Fourth decile,35100.0,39700.0
1981,Highest decile,100200.0,126100.0
1981,Lowest decile,13400.0,13600.0
1981,Ninth decile,70600.0,85500.0
1981,Second decile,23500.0,24600.0
1981,Seventh decile,51800.0,61500.0
1981,Sixth decile,45500.0,53200.0
1981,Third decile,29800.0,32700.0
1982,Eighth decile,57600.0,69300.0
1982,Fifth decile,39100.0,45000.0
1982,Fourth decile,34100.0,38300.0
1982,Highest decile,100000.0,127000.0
1982,Lowest decile,12800.0,13000.0
1982,Ninth decile,68600.0,83700.0
1982,Second decile,22700.0,23700.0
1982,Seventh decile,50200.0,59600.0
1982,Sixth decile,44400.0,51800.0
1982,Third decile,28900.0,31300.0
1983,Eighth decile,57100.0,68700.0
1983,Fifth decile,37800.0,43500.0
1983,Fourth decile,32600.0,36500.0
1983,Highest decile,99600.0,127900.0
1983,Lowest decile,12500.0,12600.0
1983,Ninth decile,67500.0,82600.0
1983,Second decile,21600.0,22400.0
1983,Seventh decile,49300.0,58800.0
1983,Sixth decile,43200.0,50600.0
1983,Third decile,27500.0,29800.0
