year,concept,top10,bottom40
1976,After-tax income,22.7,21.1
1977,After-tax income,21.0,21.4
1978,After-tax income,21.9,21.3
1979,After-tax income,21.2,21.4
1980,After-tax income,21.6,21.5
1981,After-tax income,21.3,21.7
1982,After-tax income,21.8,21.5
1983,After-tax income,22.2,21.0
1984,After-tax income,22.0,21.2
1985,After-tax income,22.0,21.4
1986,After-tax income,22.1,21.5
1987,After-tax income,21.8,21.7
1988,After-tax income,21.5,21.9
1989,After-tax income,21.5,22.0
1990,After-tax income,21.6,21.6
1991,After-tax income,22.1,21.4
1992,After-tax income,22.0,21.3
1993,After-tax income,21.8,21.5
1994,After-tax income,21.9,21.4
1995,After-tax income,22.1,21.3
1996,After-tax income,22.6,20.9
1997,After-tax income,22.8,20.6
1998,After-tax income,23.5,20.3
1999,After-tax income,23.4,20.3
2000,After-tax income,24.2,20.1
2001,After-tax income,24.2,20.2
2002,After-tax income,24.1,20.0
2003,After-tax income,23.8,20.0
2004,After-tax income,24.4,19.9
2005,After-tax income,23.9,20.1
2006,After-tax income,23.7,20.0
2007,After-tax income,23.8,20.2
2008,After-tax income,23.7,20.3
2009,After-tax income,23.6,20.1
2010,After-tax income,23.7,20.1
2011,After-tax income,23.3,20.3
2012,After-tax income,23.7,20.2
2013,After-tax income,23.5,19.9
2014,After-tax income,23.4,20.5
2015,After-tax income,23.5,20.2
2016,After-tax income,23.1,20.6
2017,After-tax income,23.4,20.4
2018,After-tax income,23.1,20.8
2019,After-tax income,22.7,21.0
2020,After-tax income,22.1,22.2
2021,After-tax income,22.7,21.6
2022,After-tax income,23.3,20.9
2023,After-tax income,23.1,21.0
2024,After-tax income,23.3,20.8
1976,Market income,26.2,15.6
1977,Market income,24.1,15.9
1978,Market income,25.3,15.9
1979,Market income,24.2,16.2
1980,Market income,24.7,16.0
1981,Market income,24.4,16.1
1982,Market income,25.5,14.8
1983,Market income,26.4,13.9
1984,Market income,26.1,13.9
1985,Market income,25.9,14.3
1986,Market income,25.9,14.3
1987,Market income,25.7,14.7
1988,Market income,25.5,14.6
1989,Market income,25.7,14.9
1990,Market income,26.3,13.7
1991,Market income,27.5,12.7
1992,Market income,27.6,12.0
1993,Market income,27.2,11.8
1994,Market income,27.5,11.8
1995,Market income,27.6,12.2
1996,Market income,28.3,11.7
1997,Market income,28.4,11.6
1998,Market income,29.3,11.5
1999,Market income,29.2,12.3
2000,Market income,29.9,12.4
2001,Market income,30.0,12.4
2002,Market income,29.8,12.6
2003,Market income,29.5,12.4
2004,Market income,30.1,12.4
2005,Market income,29.3,12.7
2006,Market income,29.0,12.7
2007,Market income,29.3,12.8
2008,Market income,29.0,13.0
2009,Market income,29.1,12.3
2010,Market income,29.5,12.2
2011,Market income,28.8,12.5
2012,Market income,29.0,12.6
2013,Market income,28.9,12.4
2014,Market income,28.8,13.2
2015,Market income,29.1,12.6
2016,Market income,28.9,12.7
2017,Market income,29.4,12.5
2018,Market income,28.9,13.0
2019,Market income,28.1,13.3
2020,Market income,29.3,12.2
2021,Market income,29.5,12.9
2022,Market income,29.7,13.0
2023,Market income,29.4,13.2
2024,Market income,29.8,12.9
