country_code,year,disposable_income_index,country_name
AUS,2007,100.0,Australia
AUS,2008,103.55,Australia
AUS,2009,105.71,Australia
AUS,2010,107.82,Australia
AUS,2011,111.79,Australia
AUS,2012,110.77,Australia
AUS,2013,111.32,Australia
AUS,2014,113.63,Australia
AUS,2015,114.27,Australia
AUS,2016,114.18,Australia
AUS,2017,114.47,Australia
AUS,2018,115.83,Australia
AUS,2019,116.39,Australia
AUS,2020,121.55,Australia
AUS,2021,125.18,Australia
AUS,2022,123.42,Australia
AUS,2023,117.64,Australia
AUS,2024,117.79,Australia
AUS,2025,120.42,Australia
CAN,2007,100.0,Canada
CAN,2008,103.19,Canada
CAN,2009,104.44,Canada
CAN,2010,106.82,Canada
CAN,2011,107.23,Canada
CAN,2012,108.87,Canada
CAN,2013,111.1,Canada
CAN,2014,111.4,Canada
CAN,2015,114.18,Canada
CAN,2016,112.81,Canada
CAN,2017,115.8,Canada
CAN,2018,116.1,Canada
CAN,2019,117.58,Canada
CAN,2020,125.04,Canada
CAN,2021,125.1,Canada
CAN,2022,122.16,Canada
CAN,2023,121.71,Canada
CAN,2024,123.74,Canada
CAN,2025,125.05,Canada
DEU,2007,100.0,Germany
DEU,2008,100.52,Germany
DEU,2009,100.62,Germany
DEU,2010,101.43,Germany
DEU,2011,102.64,Germany
DEU,2012,103.28,Germany
DEU,2013,103.04,Germany
DEU,2014,104.51,Germany
DEU,2015,106.39,Germany
DEU,2016,108.15,Germany
DEU,2017,109.95,Germany
DEU,2018,112.46,Germany
DEU,2019,113.79,Germany
DEU,2020,113.72,Germany
DEU,2021,114.21,Germany
DEU,2022,116.52,Germany
DEU,2023,115.3,Germany
DEU,2024,116.8,Germany
DEU,2025,117.47,Germany
DNK,2007,100.0,Denmark
DNK,2008,98.61,Denmark
DNK,2009,100.18,Denmark
DNK,2010,102.27,Denmark
DNK,2011,103.64,Denmark
DNK,2012,102.54,Denmark
DNK,2013,102.22,Denmark
DNK,2014,101.89,Denmark
DNK,2015,105.91,Denmark
DNK,2016,110.41,Denmark
DNK,2017,112.23,Denmark
DNK,2018,115.39,Denmark
DNK,2019,117.13,Denmark
DNK,2020,117.18,Denmark
DNK,2021,117.98,Denmark
