country_code,year,gini,country_name
AUS,2012,0.326,Australia
AUS,2014,0.337,Australia
AUS,2016,0.33,Australia
AUS,2018,0.325,Australia
AUS,2020,0.319,Australia
CAN,1976,0.303,Canada
CAN,1977,0.289,Canada
CAN,1978,0.294,Canada
CAN,1979,0.289,Canada
CAN,1980,0.289,Canada
CAN,1981,0.288,Canada
CAN,1982,0.292,Canada
CAN,1983,0.3,Canada
CAN,1984,0.297,Canada
CAN,1985,0.294,Canada
CAN,1986,0.293,Canada
CAN,1987,0.291,Canada
CAN,1988,0.286,Canada
CAN,1989,0.284,Canada
CAN,1990,0.289,Canada
CAN,1991,0.296,Canada
CAN,1992,0.296,Canada
CAN,1993,0.290296338,Canada
CAN,1994,0.291137711,Canada
CAN,1995,0.293374639,Canada
CAN,1996,0.301,Canada
CAN,1997,0.304,Canada
CAN,1998,0.31,Canada
CAN,1999,0.308,Canada
CAN,2000,0.315,Canada
CAN,2001,0.317,Canada
CAN,2002,0.317,Canada
CAN,2003,0.315,Canada
CAN,2004,0.321,Canada
CAN,2005,0.315,Canada
CAN,2006,0.316,Canada
CAN,2007,0.317,Canada
CAN,2008,0.315,Canada
CAN,2009,0.316,Canada
CAN,2010,0.316,Canada
CAN,2011,0.313,Canada
CAN,2012,0.317,Canada
CAN,2013,0.319,Canada
CAN,2014,0.312,Canada
CAN,2015,0.318,Canada
CAN,2016,0.307,Canada
CAN,2017,0.31,Canada
CAN,2018,0.304,Canada
CAN,2019,0.3,Canada
CAN,2020,0.28,Canada
CAN,2021,0.292,Canada
CAN,2022,0.3,Canada
CAN,2023,0.305999994277954,Canada
CHE,2006,0.304744732,Switzerland
CHE,2007,0.31169235,Switzerland
CHE,2008,0.306048619,Switzerland
CHE,2009,0.297157881,Switzerland
CHE,2010,0.298394593,Switzerland
CHE,2011,0.28876852,Switzerland
CHE,2012,0.284980237,Switzerland
CHE,2013,0.295402653,Switzerland
CHE,2014,0.297298269,Switzerland
CHE,2015,0.295506755,Switzerland
CHE,2016,0.302386096,Switzerland
CHE,2017,0.299084486,Switzerland
CHE,2018,0.310825606,Switzerland
CHE,2019,0.315866403,Switzerland
CHE,2020,0.319827662,Switzerland
CHE,2021,0.313459316,Switzerland
CHE,2022,0.316656529903412,Switzerland
CHE,2023,0.314643263816833,Switzerland
DEU,2008,0.28473,Germany
DEU,2011,0.2905,Germany
DEU,2012,0.2888,Germany
DEU,2013,0.29215,Germany
DEU,2014,0.2887,Germany
DEU,2015,0.29318,Germany
DEU,2016,0.29441,Germany
DEU,2017,0.28916,Germany
DEU,2018,0.28934,Germany
DEU,2019,0.2959,Germany
DEU,2020,0.30256,Germany
DEU,2021,0.312539994716644,Germany
DEU,2022,0.309150010347366,Germany
DEU,2023,0.307000011205673,Germany
DNK,2011,0.2505,Denmark
DNK,2012,0.2488,Denmark
DNK,2013,0.2539,Denmark
DNK,2014,0.2561,Denmark
DNK,2015,0.2633,Denmark
DNK,2016,0.2609,Denmark
DNK,2017,0.264,Denmark
DNK,2018,0.2632,Denmark
DNK,2019,0.2678,Denmark
DNK,2020,0.269199997186661,Denmark
DNK,2021,0.272899985313416,Denmark
DNK,2022,0.276399999856949,Denmark
FIN,1987,0.208511824,Finland
FIN,1988,0.21276305,Finland
FIN,1989,0.216748761,Finland
FIN,1990,0.214926394,Finland
FIN,1991,0.212145293,Finland
FIN,1992,0.210702442,Finland
FIN,1993,0.214155962,Finland
FIN,1994,0.215147826,Finland
FIN,1995,0.220125384,Finland
FIN,1996,0.2243125,Finland
FIN,1997,0.235268578,Finland
FIN,1998,0.243025659,Finland
FIN,1999,0.250362144,Finland
FIN,2000,0.254473448,Finland
FIN,2001,0.261557672,Finland
FIN,2002,0.257682445,Finland
FIN,2003,0.261181006,Finland
FIN,2004,0.265586149,Finland
FIN,2005,0.2652048,Finland
FIN,2006,0.267518084,Finland
FIN,2007,0.269084998,Finland
FIN,2008,0.264328194,Finland
FIN,2009,0.258822018,Finland
FIN,2010,0.26379935,Finland
FIN,2011,0.264132509,Finland
FIN,2012,0.259831388,Finland
FIN,2013,0.26168,Finland
FIN,2014,0.25735,Finland
FIN,2015,0.26001,Finland
FIN,2016,0.25878,Finland
FIN,2017,0.26634,Finland
FIN,2018,0.26886,Finland
FIN,2019,0.27289,Finland
FIN,2020,0.265,Finland
FIN,2021,0.27344,Finland
FIN,2022,0.27354,Finland
FIN,2023,0.268999993801117,Finland
FIN,2024,0.279449999332428,Finland
FRA,2020,0.278,France
FRA,2021,0.298,France
FRA,2022,0.297,France
FRA,2023,0.29899999499321,France
GBR,2002,0.358833005,United Kingdom
GBR,2003,0.353240734,United Kingdom
GBR,2004,0.353784532,United Kingdom
GBR,2005,0.358875003,United Kingdom
GBR,2006,0.364430407,United Kingdom
GBR,2007,0.372697091,United Kingdom
GBR,2008,0.368516703,United Kingdom
GBR,2009,0.373940635,United Kingdom
GBR,2010,0.350878657,United Kingdom
GBR,2011,0.353700293,United Kingdom
GBR,2012,0.351452428,United Kingdom
GBR,2013,0.358,United Kingdom
GBR,2014,0.356090734,United Kingdom
GBR,2015,0.360156422,United Kingdom
GBR,2016,0.351,United Kingdom
GBR,2017,0.357,United Kingdom
GBR,2018,0.366,United Kingdom
GBR,2019,0.366,United Kingdom
GBR,2020,0.355,United Kingdom
GBR,2021,0.354064263,United Kingdom
GBR,2022,0.364765613,United Kingdom
GBR,2023,0.36703035235405,United Kingdom
ISR,2023,0.34154999256134,Israel
ITA,2003,0.337074607610703,Italy
ITA,2004,0.331167936325073,Italy
ITA,2005,0.323993265628815,Italy
ITA,2006,0.324271112680435,Italy
ITA,2007,0.312541037797928,Italy
ITA,2008,0.316507369279861,Italy
ITA,2009,0.315198004245758,Italy
ITA,2010,0.327322334051132,Italy
ITA,2011,0.326570510864258,Italy
ITA,2012,0.329985439777374,Italy
ITA,2013,0.324852824211121,Italy
ITA,2014,0.326403558254242,Italy
ITA,2015,0.332745730876923,Italy
ITA,2016,0.327489167451859,Italy
ITA,2017,0.334411919116974,Italy
ITA,2018,0.329714626073837,Italy
ITA,2019,0.32523450255394,Italy
ITA,2020,0.330603748559952,Italy
ITA,2021,0.32968682050705,Italy
ITA,2022,0.319206804037094,Italy
ITA,2023,0.324743986129761,Italy
JPN,2018,0.334,Japan
JPN,2021,0.338,Japan
KOR,2011,0.386999994516373,South Korea
KOR,2012,0.382999986410141,South Korea
KOR,2013,0.370000004768372,South Korea
KOR,2014,0.361000001430511,South Korea
KOR,2015,0.349999994039536,South Korea
KOR,2016,0.352999985218048,South Korea
KOR,2017,0.351999998092651,South Korea
KOR,2018,0.342000007629395,South Korea
KOR,2019,0.335999995470047,South Korea
KOR,2020,0.328000009059906,South Korea
KOR,2021,0.328999996185303,South Korea
KOR,2022,0.324000000953674,South Korea
KOR,2023,0.323000013828278,South Korea
NLD,2011,0.294,Netherlands
NLD,2012,0.293,Netherlands
NLD,2013,0.287,Netherlands
NLD,2014,0.305,Netherlands
NLD,2015,0.305,Netherlands
NLD,2016,0.292,Netherlands
NLD,2017,0.298,Netherlands
NLD,2018,0.295,Netherlands
NLD,2019,0.312,Netherlands
NLD,2020,0.295,Netherlands
NLD,2021,0.295,Netherlands
NLD,2022,0.291999995708466,Netherlands
NLD,2023,0.321000009775162,Netherlands
NLD,2024,0.310999989509583,Netherlands
NOR,2004,0.2853,Norway
NOR,2008,0.25,Norway
NOR,2009,0.2449,Norway
NOR,2010,0.24858,Norway
NOR,2011,0.24962,Norway
NOR,2012,0.25252,Norway
NOR,2013,0.252,Norway
NOR,2014,0.257,Norway
NOR,2015,0.27192,Norway
NOR,2016,0.26208,Norway
NOR,2017,0.26154,Norway
NOR,2018,0.26208,Norway
NOR,2019,0.26127,Norway
NOR,2020,0.263,Norway
NOR,2021,0.28508,Norway
NOR,2022,0.26233,Norway
NOR,2023,0.25900000333786,Norway
NZL,2006,0.332,New Zealand
NZL,2007,0.331,New Zealand
NZL,2008,0.328,New Zealand
NZL,2009,0.329,New Zealand
NZL,2010,0.335,New Zealand
NZL,2011,0.329,New Zealand
NZL,2012,0.335,New Zealand
NZL,2013,0.341,New Zealand
NZL,2014,0.341,New Zealand
NZL,2015,0.325,New Zealand
NZL,2016,0.333,New Zealand
NZL,2017,0.335,New Zealand
NZL,2018,0.33,New Zealand
NZL,2019,0.326,New Zealand
NZL,2020,0.318,New Zealand
NZL,2021,0.303,New Zealand
NZL,2022,0.326,New Zealand
SWE,2013,0.267,Sweden
SWE,2014,0.272,Sweden
SWE,2015,0.276,Sweden
SWE,2016,0.28,Sweden
SWE,2017,0.28183,Sweden
SWE,2018,0.273,Sweden
SWE,2019,0.277,Sweden
SWE,2020,0.276,Sweden
SWE,2021,0.286,Sweden
SWE,2022,0.29,Sweden
SWE,2023,0.289000004529953,Sweden
SWE,2024,0.289000004529953,Sweden
USA,2013,0.3959848,United States
USA,2014,0.39381632,United States
USA,2015,0.38955993,United States
USA,2016,0.39123223,United States
USA,2017,0.3899,United States
USA,2018,0.3927,United States
USA,2019,0.3949,United States
USA,2020,0.3773,United States
USA,2021,0.3752,United States
USA,2022,0.3961,United States
USA,2023,0.3944025,United States
