year,age_group,median_income
1976,15–24,20700.0
1976,25–34,53500.0
1976,35–44,60800.0
1976,45–54,55100.0
1976,55–64,41900.0
1976,65+,16700.0
1977,15–24,22800.0
1977,25–34,52100.0
1977,35–44,58200.0
1977,45–54,56200.0
1977,55–64,43000.0
1977,65+,16800.0
1978,15–24,20800.0
1978,25–34,51600.0
1978,35–44,60400.0
1978,45–54,56600.0
1978,55–64,42900.0
1978,65+,18000.0
1979,15–24,22500.0
1979,25–34,51800.0
1979,35–44,56700.0
1979,45–54,55400.0
1979,55–64,42700.0
1979,65+,18300.0
1980,15–24,19200.0
1980,25–34,52400.0
1980,35–44,58100.0
1980,45–54,57300.0
1980,55–64,43700.0
1980,65+,20600.0
1981,15–24,20300.0
1981,25–34,49800.0
1981,35–44,58300.0
1981,45–54,53100.0
1981,55–64,41900.0
1981,65+,21100.0
1982,15–24,17400.0
1982,25–34,46900.0
1982,35–44,54300.0
1982,45–54,51700.0
1982,55–64,40100.0
1982,65+,21800.0
1983,15–24,14800.0
1983,25–34,45700.0
1983,35–44,53900.0
1983,45–54,50400.0
1983,55–64,39300.0
1983,65+,21600.0
1984,15–24,15900.0
1984,25–34,45100.0
1984,35–44,53900.0
1984,45–54,48900.0
1984,55–64,37200.0
1984,65+,22600.0
1985,15–24,15500.0
1985,25–34,45300.0
1985,35–44,54400.0
1985,45–54,50100.0
1985,55–64,36900.0
1985,65+,23600.0
1986,15–24,16100.0
1986,25–34,45900.0
1986,35–44,54900.0
1986,45–54,53300.0
1986,55–64,38300.0
1986,65+,23800.0
1987,15–24,16000.0
1987,25–34,45400.0
1987,35–44,54600.0
1987,45–54,53900.0
1987,55–64,38500.0
1987,65+,24500.0
1988,15–24,16400.0
1988,25–34,45700.0
1988,35–44,55800.0
1988,45–54,54500.0
1988,55–64,40700.0
1988,65+,24600.0
1989,15–24,17700.0
1989,25–34,45800.0
1989,35–44,56100.0
1989,45–54,54400.0
1989,55–64,40700.0
1989,65+,25700.0
1990,15–24,14400.0
1990,25–34,44500.0
1990,35–44,53500.0
1990,45–54,53400.0
1990,55–64,39800.0
1990,65+,26800.0
1991,15–24,13600.0
1991,25–34,42400.0
1991,35–44,51900.0
1991,45–54,52600.0
1991,55–64,37400.0
1991,65+,26100.0
1992,15–24,12600.0
1992,25–34,42400.0
1992,35–44,52100.0
1992,45–54,52800.0
1992,55–64,36000.0
1992,65+,26700.0
1993,15–24,12600.0
1993,25–34,40500.0
1993,35–44,49700.0
1993,45–54,50000.0
1993,55–64,35700.0
1993,65+,26400.0
1994,15–24,12600.0
1994,25–34,41200.0
1994,35–44,50700.0
1994,45–54,50700.0
1994,55–64,33800.0
1994,65+,27100.0
1995,15–24,12200.0
1995,25–34,40600.0
1995,35–44,50100.0
1995,45–54,51300.0
1995,55–64,33900.0
