date,low_income_rate
1976-01-01,13.0
1977-01-01,13.6
1978-01-01,12.9
1979-01-01,13.1
1980-01-01,12.7
1981-01-01,12.0
1982-01-01,12.2
1983-01-01,12.9
1984-01-01,13.0
1985-01-01,12.1
1986-01-01,11.6
1987-01-01,11.5
1988-01-01,11.1
1989-01-01,10.5
1990-01-01,11.7
1991-01-01,11.5
1992-01-01,11.8
1993-01-01,11.9
1994-01-01,11.8
1995-01-01,12.1
1996-01-01,12.7
1997-01-01,12.7
1998-01-01,12.9
1999-01-01,12.4
2000-01-01,12.8
2001-01-01,12.5
2002-01-01,12.9
2003-01-01,13.2
2004-01-01,13.4
2005-01-01,13.0
2006-01-01,13.4
2007-01-01,13.3
2008-01-01,13.4
2009-01-01,13.7
2010-01-01,13.5
2011-01-01,13.3
2012-01-01,13.6
2013-01-01,13.4
2014-01-01,13.0
2015-01-01,14.3
2016-01-01,13.0
2017-01-01,12.6
2018-01-01,12.4
2019-01-01,12.2
2020-01-01,9.3
2021-01-01,10.6
2022-01-01,12.0
2023-01-01,12.1
2024-01-01,12.5
