date,median_income
1976-01-01,64400.0
1977-01-01,65500.0
1978-01-01,65500.0
1979-01-01,64800.0
1980-01-01,66400.0
1981-01-01,64700.0
1982-01-01,62700.0
1983-01-01,60300.0
1984-01-01,61000.0
1985-01-01,61100.0
1986-01-01,60800.0
1987-01-01,60500.0
1988-01-01,62100.0
1989-01-01,63100.0
1990-01-01,60500.0
1991-01-01,57300.0
1992-01-01,57800.0
1993-01-01,56400.0
1994-01-01,56800.0
1995-01-01,56700.0
1996-01-01,55800.0
1997-01-01,55600.0
1998-01-01,57100.0
1999-01-01,59600.0
2000-01-01,60000.0
2001-01-01,62400.0
2002-01-01,62400.0
2003-01-01,62300.0
2004-01-01,62700.0
2005-01-01,64200.0
2006-01-01,65600.0
2007-01-01,67300.0
2008-01-01,68300.0
2009-01-01,68100.0
2010-01-01,67500.0
2011-01-01,67200.0
2012-01-01,69100.0
2013-01-01,69500.0
2014-01-01,71100.0
2015-01-01,70900.0
2016-01-01,70900.0
2017-01-01,72700.0
2018-01-01,72700.0
2019-01-01,72500.0
2020-01-01,77400.0
2021-01-01,76800.0
2022-01-01,73900.0
2023-01-01,75100.0
2024-01-01,75500.0
