date,all,families,individuals
1976-01-01,64400.0,77000.0,29500.0
1977-01-01,65500.0,78000.0,29000.0
1978-01-01,65500.0,78800.0,30100.0
1979-01-01,64800.0,78400.0,30900.0
1980-01-01,66400.0,80000.0,30000.0
1981-01-01,64700.0,78500.0,31300.0
1982-01-01,62700.0,75700.0,30400.0
1983-01-01,60300.0,73700.0,27500.0
1984-01-01,61000.0,74700.0,29300.0
1985-01-01,61100.0,75600.0,28900.0
1986-01-01,60800.0,75900.0,29400.0
1987-01-01,60500.0,75700.0,29700.0
1988-01-01,62100.0,77900.0,30000.0
1989-01-01,63100.0,79100.0,31500.0
1990-01-01,60500.0,76100.0,29700.0
1991-01-01,57300.0,73200.0,27900.0
1992-01-01,57800.0,73700.0,27900.0
1993-01-01,56400.0,71400.0,27900.0
1994-01-01,56800.0,72700.0,27600.0
1995-01-01,56700.0,72000.0,28200.0
1996-01-01,55800.0,71900.0,27500.0
1997-01-01,55600.0,72300.0,27400.0
1998-01-01,57100.0,75000.0,28300.0
1999-01-01,59600.0,77600.0,29000.0
2000-01-01,60000.0,78700.0,29900.0
2001-01-01,62400.0,82000.0,31300.0
2002-01-01,62400.0,81800.0,32700.0
2003-01-01,62300.0,81800.0,32100.0
2004-01-01,62700.0,82900.0,32400.0
2005-01-01,64200.0,84200.0,32100.0
2006-01-01,65600.0,86700.0,32700.0
2007-01-01,67300.0,89900.0,33800.0
2008-01-01,68300.0,91200.0,34900.0
2009-01-01,68100.0,91400.0,35500.0
2010-01-01,67500.0,91500.0,35800.0
2011-01-01,67200.0,92400.0,34100.0
2012-01-01,69100.0,95000.0,36000.0
2013-01-01,69500.0,95100.0,37100.0
2014-01-01,71100.0,97700.0,37600.0
2015-01-01,70900.0,98300.0,35900.0
2016-01-01,70900.0,98800.0,36300.0
2017-01-01,72700.0,100700.0,37100.0
2018-01-01,72700.0,102900.0,37000.0
2019-01-01,72500.0,102400.0,37800.0
2020-01-01,77400.0,108000.0,40600.0
2021-01-01,76800.0,107300.0,41100.0
2022-01-01,73900.0,105700.0,39800.0
2023-01-01,75100.0,107000.0,40800.0
2024-01-01,75500.0,108900.0,41000.0
