year,group,rate
2020,All Canadians,7.0
2020,Children,5.2
2020,Indigenous population,11.5
2020,Racialized groups,9.0
2020,Recent immigrants,9.8
2020,Seniors (65+),3.7
2020,Unattached individuals,22.1
2021,All Canadians,8.1
2021,Children,7.0
2021,Indigenous population,13.3
2021,Racialized groups,10.5
2021,Recent immigrants,11.4
2021,Seniors (65+),6.4
2021,Unattached individuals,23.3
2022,All Canadians,10.6
2022,Children,10.7
2022,Indigenous population,18.0
2022,Racialized groups,14.1
2022,Recent immigrants,15.3
2022,Seniors (65+),6.7
2022,Unattached individuals,26.7
2023,All Canadians,11.1
2023,Children,12.1
2023,Indigenous population,18.8
2023,Racialized groups,15.6
2023,Recent immigrants,16.4
2023,Seniors (65+),5.9
2023,Unattached individuals,26.2
2024,All Canadians,11.0
2024,Children,11.5
2024,Indigenous population,17.9
2024,Racialized groups,15.5
2024,Recent immigrants,15.9
2024,Seniors (65+),5.4
2024,Unattached individuals,26.4
