year,geo,avg_weekly_wage,median_weekly_wage
1997,Alberta,562.58,500.0
1997,British Columbia,612.55,576.8
1997,Canada,573.47,524.4
1997,Manitoba,509.66,461.6
1997,New Brunswick,489.12,445.0
1997,Newfoundland and Labrador,495.12,450.0
1997,Nova Scotia,479.88,436.8
1997,Ontario,605.82,560.0
1997,Prince Edward Island,440.93,405.0
1997,Quebec,548.85,500.0
1997,Saskatchewan,504.05,454.8
1998,Alberta,575.2,510.0
1998,British Columbia,620.99,595.0
1998,Canada,581.68,534.45
1998,Manitoba,518.03,461.6
1998,New Brunswick,498.52,455.2
1998,Newfoundland and Labrador,492.86,446.25
1998,Nova Scotia,494.76,442.8
1998,Ontario,612.62,572.25
1998,Prince Edward Island,447.86,416.25
1998,Quebec,557.6,509.74
1998,Saskatchewan,510.84,462.0
1999,Alberta,595.41,530.0
1999,British Columbia,628.12,600.0
1999,Canada,597.14,549.81
1999,Manitoba,532.98,480.0
1999,New Brunswick,506.83,461.7
1999,Newfoundland and Labrador,497.16,454.5
1999,Nova Scotia,505.43,451.85
1999,Ontario,634.16,576.84
1999,Prince Edward Island,464.24,432.0
1999,Quebec,566.66,519.38
1999,Saskatchewan,527.22,480.0
2000,Alberta,617.18,559.6
2000,British Columbia,639.18,600.0
2000,Canada,616.0,562.5
2000,Manitoba,551.93,492.0
2000,New Brunswick,533.63,480.6
2000,Newfoundland and Labrador,526.21,480.0
2000,Nova Scotia,524.43,480.0
2000,Ontario,656.69,600.0
2000,Prince Edward Island,473.82,442.4
2000,Quebec,580.02,528.84
2000,Saskatchewan,547.02,489.06
2001,Alberta,653.13,576.8
2001,British Columbia,648.27,600.0
2001,Canada,635.65,576.8
2001,Manitoba,561.84,500.0
2001,New Brunswick,537.96,485.63
2001,Newfoundland and Labrador,549.93,490.0
2001,Nova Scotia,543.16,487.5
2001,Ontario,678.55,615.3
2001,Prince Edward Island,495.29,472.5
2001,Quebec,596.15,550.0
