geo,avg_min
Moncton,16.6
Lethbridge,16.8
Thunder Bay,17.0
Regina,17.2
Drummondville,17.3
Fredericton,17.4
St. John's,17.6
Saguenay,17.6
Trois-Rivières,18.2
Red Deer,18.4
Saskatoon,18.6
Sherbrooke,18.8
Kamloops,19.0
Windsor,19.0
Saint John,19.2
Kelowna,19.5
Nanaimo,19.5
Kingston,19.5
Belleville - Quinte West,20.0
Québec,20.1
Victoria,20.2
London,20.8
Greater Sudbury,21.0
St. Catharines - Niagara,21.3
Halifax,21.8
Kitchener - Cambridge - Waterloo,22.2
Winnipeg,22.3
Guelph,22.3
Peterborough,22.4
Brantford,23.2
Canada,23.7
Ottawa - Gatineau,23.8
Edmonton,23.9
Chilliwack,24.2
Calgary,24.2
Hamilton,24.9
Abbotsford - Mission,25.2
Montréal,27.0
Vancouver,27.3
Oshawa,29.3
Barrie,29.4
Toronto,29.8
