geo,mode,avg_min
Abbotsford - Mission,All modes,25.2
Abbotsford - Mission,Bicycle,23.3
Abbotsford - Mission,Car,25.3
Abbotsford - Mission,Public transit,39.9
Abbotsford - Mission,Walked,12.8
Barrie,All modes,29.4
Barrie,Bicycle,19.4
Barrie,Car,29.6
Barrie,Public transit,45.8
Barrie,Walked,13.8
Belleville - Quinte West,All modes,20.0
Belleville - Quinte West,Bicycle,17.4
Belleville - Quinte West,Car,20.2
Belleville - Quinte West,Public transit,28.8
Belleville - Quinte West,Walked,14.1
Brantford,All modes,23.2
Brantford,Bicycle,20.5
Brantford,Car,23.4
Brantford,Public transit,36.6
Brantford,Walked,13.3
Calgary,All modes,24.2
Calgary,Bicycle,23.2
Calgary,Car,22.7
Calgary,Public transit,43.2
Calgary,Walked,13.6
Canada,All modes,23.7
Canada,Bicycle,20.0
Canada,Car,22.8
Canada,Public transit,42.9
Canada,Walked,12.5
Chilliwack,All modes,24.2
Chilliwack,Bicycle,14.8
Chilliwack,Car,24.9
Chilliwack,Public transit,32.6
Chilliwack,Walked,11.4
Drummondville,All modes,17.3
Drummondville,Bicycle,13.8
Drummondville,Car,17.4
Drummondville,Public transit,26.6
Drummondville,Walked,9.9
Edmonton,All modes,23.9
Edmonton,Bicycle,22.0
Edmonton,Car,23.0
Edmonton,Public transit,40.7
Edmonton,Walked,13.1
Fredericton,All modes,17.4
Fredericton,Bicycle,16.1
Fredericton,Car,17.4
Fredericton,Public transit,28.7
Fredericton,Walked,14.5
Greater Sudbury,All modes,21.0
Greater Sudbury,Bicycle,16.9
Greater Sudbury,Car,20.6
Greater Sudbury,Public transit,33.6
Greater Sudbury,Walked,13.8
Guelph,All modes,22.3
Guelph,Bicycle,19.3
Guelph,Car,22.3
Guelph,Public transit,36.6
Guelph,Walked,15.1
Halifax,All modes,21.8
Halifax,Bicycle,19.2
Halifax,Car,21.1
Halifax,Public transit,35.8
Halifax,Walked,15.1
Hamilton,All modes,24.9
Hamilton,Bicycle,20.7
Hamilton,Car,24.5
Hamilton,Public transit,42.1
Hamilton,Walked,13.0
