geo,year,avg_min
Calgary,2021,24.2
Calgary,2022,24.3
Calgary,2023,26.0
Calgary,2024,25.3
Calgary,2025,27.7
Canada,2016,26.3
Canada,2021,23.9
Canada,2022,24.9
Canada,2023,25.7
Canada,2024,26.4
Canada,2025,26.7
Edmonton,2021,24.0
Edmonton,2022,27.9
Edmonton,2023,27.1
Edmonton,2024,25.6
Edmonton,2025,26.7
Halifax,2021,21.8
Halifax,2022,23.1
Halifax,2023,23.6
Halifax,2024,25.9
Halifax,2025,24.0
Hamilton,2021,24.9
Hamilton,2022,25.6
Hamilton,2023,27.0
Hamilton,2024,30.6
Hamilton,2025,29.1
Kitchener–Cambridge–Waterloo,2021,22.3
Kitchener–Cambridge–Waterloo,2022,20.6
Kitchener–Cambridge–Waterloo,2023,21.6
Kitchener–Cambridge–Waterloo,2024,27.2
Kitchener–Cambridge–Waterloo,2025,24.3
London,2021,20.8
London,2022,21.3
London,2023,23.9
London,2024,23.6
London,2025,21.3
Montréal,2021,27.0
Montréal,2022,28.3
Montréal,2023,28.3
Montréal,2024,29.0
Montréal,2025,29.0
Ottawa–Gatineau,2021,23.8
Ottawa–Gatineau,2022,23.1
Ottawa–Gatineau,2023,24.8
Ottawa–Gatineau,2024,26.2
Ottawa–Gatineau,2025,26.4
Québec,2021,20.2
Québec,2022,21.6
Québec,2023,19.9
Québec,2024,23.2
Québec,2025,21.2
St. Catharines–Niagara,2021,21.4
St. Catharines–Niagara,2022,20.7
St. Catharines–Niagara,2023,21.0
St. Catharines–Niagara,2024,21.1
St. Catharines–Niagara,2025,22.4
Toronto,2021,29.9
Toronto,2022,32.2
Toronto,2023,31.5
Toronto,2024,33.3
Toronto,2025,34.9
Vancouver,2021,27.3
Vancouver,2022,28.4
Vancouver,2023,30.7
Vancouver,2024,30.5
Vancouver,2025,31.1
Victoria,2021,20.2
Victoria,2022,20.6
Victoria,2023,21.8
Victoria,2024,20.5
Victoria,2025,22.7
Windsor,2021,19.0
Windsor,2022,20.1
Windsor,2023,19.6
Windsor,2024,21.2
Windsor,2025,21.5
Winnipeg,2021,22.3
Winnipeg,2022,23.8
Winnipeg,2023,24.8
Winnipeg,2024,22.9
Winnipeg,2025,23.4
