admission_year,pre_admission,years_since,tax_year,median_employment_income
2013,Asylum claimant,1,2014,24700
2013,Asylum claimant,2,2015,26300
2013,Asylum claimant,3,2016,27700
2013,Asylum claimant,4,2017,29300
2013,Asylum claimant,5,2018,31600
2013,Asylum claimant,6,2019,32300
2013,Asylum claimant,7,2020,29000
2013,Asylum claimant,8,2021,34400
2013,Asylum claimant,9,2022,35400
2013,Asylum claimant,10,2023,36500
2013,No prior Canadian experience,1,2014,19900
2013,No prior Canadian experience,2,2015,23000
2013,No prior Canadian experience,3,2016,25000
2013,No prior Canadian experience,4,2017,27500
2013,No prior Canadian experience,5,2018,30200
2013,No prior Canadian experience,6,2019,31400
2013,No prior Canadian experience,7,2020,29700
2013,No prior Canadian experience,8,2021,35600
2013,No prior Canadian experience,9,2022,37100
2013,No prior Canadian experience,10,2023,39100
2013,Studied in Canada,1,2014,12700
2013,Studied in Canada,2,2015,15500
2013,Studied in Canada,3,2016,18400
2013,Studied in Canada,4,2017,21700
2013,Studied in Canada,5,2018,25300
2013,Studied in Canada,6,2019,26900
2013,Studied in Canada,7,2020,25700
2013,Studied in Canada,8,2021,31400
2013,Studied in Canada,9,2022,34800
2013,Studied in Canada,10,2023,38500
2013,Worked and studied in Canada,1,2014,44200
2013,Worked and studied in Canada,2,2015,49100
2013,Worked and studied in Canada,3,2016,52500
2013,Worked and studied in Canada,4,2017,56100
2013,Worked and studied in Canada,5,2018,59800
2013,Worked and studied in Canada,6,2019,63200
2013,Worked and studied in Canada,7,2020,66900
2013,Worked and studied in Canada,8,2021,71700
2013,Worked and studied in Canada,9,2022,72800
2013,Worked and studied in Canada,10,2023,74500
2013,Worked in Canada,1,2014,44400
2013,Worked in Canada,2,2015,46600
2013,Worked in Canada,3,2016,47400
2013,Worked in Canada,4,2017,50100
2013,Worked in Canada,5,2018,52500
2013,Worked in Canada,6,2019,54100
2013,Worked in Canada,7,2020,54000
2013,Worked in Canada,8,2021,57800
2013,Worked in Canada,9,2022,58100
2013,Worked in Canada,10,2023,59200
2014,Asylum claimant,1,2015,25900
2014,Asylum claimant,2,2016,27300
2014,Asylum claimant,3,2017,28600
2014,Asylum claimant,4,2018,30700
2014,Asylum claimant,5,2019,31400
2014,Asylum claimant,6,2020,28300
2014,Asylum claimant,7,2021,34500
2014,Asylum claimant,8,2022,35100
2014,Asylum claimant,9,2023,37000
2014,No prior Canadian experience,1,2015,21500
2014,No prior Canadian experience,2,2016,24300
2014,No prior Canadian experience,3,2017,26700
2014,No prior Canadian experience,4,2018,29700
2014,No prior Canadian experience,5,2019,31400
2014,No prior Canadian experience,6,2020,30200
2014,No prior Canadian experience,7,2021,35500
2014,No prior Canadian experience,8,2022,37100
2014,No prior Canadian experience,9,2023,38700
2014,Studied in Canada,1,2015,13000
2014,Studied in Canada,2,2016,14700
2014,Studied in Canada,3,2017,18100
2014,Studied in Canada,4,2018,21200
2014,Studied in Canada,5,2019,24000
2014,Studied in Canada,6,2020,23500
2014,Studied in Canada,7,2021,29300
2014,Studied in Canada,8,2022,31200
2014,Studied in Canada,9,2023,34300
2014,Worked and studied in Canada,1,2015,46500
2014,Worked and studied in Canada,2,2016,50400
2014,Worked and studied in Canada,3,2017,54900
2014,Worked and studied in Canada,4,2018,59000
2014,Worked and studied in Canada,5,2019,62300
2014,Worked and studied in Canada,6,2020,65600
2014,Worked and studied in Canada,7,2021,69800
2014,Worked and studied in Canada,8,2022,71600
2014,Worked and studied in Canada,9,2023,74000
2014,Worked in Canada,1,2015,43700
2014,Worked in Canada,2,2016,45400
2014,Worked in Canada,3,2017,47900
2014,Worked in Canada,4,2018,50600
2014,Worked in Canada,5,2019,52400
2014,Worked in Canada,6,2020,52600
2014,Worked in Canada,7,2021,56400
2014,Worked in Canada,8,2022,56500
2014,Worked in Canada,9,2023,57900
2015,Asylum claimant,1,2016,24900
2015,Asylum claimant,2,2017,26500
2015,Asylum claimant,3,2018,29200
2015,Asylum claimant,4,2019,30000
2015,Asylum claimant,5,2020,26100
2015,Asylum claimant,6,2021,31900
2015,Asylum claimant,7,2022,33700
2015,Asylum claimant,8,2023,35100
2015,No prior Canadian experience,1,2016,23600
2015,No prior Canadian experience,2,2017,27200
2015,No prior Canadian experience,3,2018,30600
2015,No prior Canadian experience,4,2019,32300
2015,No prior Canadian experience,5,2020,30500
2015,No prior Canadian experience,6,2021,36000
2015,No prior Canadian experience,7,2022,37500
2015,No prior Canadian experience,8,2023,39400
2015,Studied in Canada,1,2016,15100
2015,Studied in Canada,2,2017,18000
2015,Studied in Canada,3,2018,21800
2015,Studied in Canada,4,2019,24700
2015,Studied in Canada,5,2020,23100
2015,Studied in Canada,6,2021,30300
2015,Studied in Canada,7,2022,32300
2015,Studied in Canada,8,2023,34200
2015,Worked and studied in Canada,1,2016,45800
2015,Worked and studied in Canada,2,2017,51200
2015,Worked and studied in Canada,3,2018,56100
2015,Worked and studied in Canada,4,2019,59300
2015,Worked and studied in Canada,5,2020,62500
2015,Worked and studied in Canada,6,2021,68000
2015,Worked and studied in Canada,7,2022,70000
2015,Worked and studied in Canada,8,2023,72100
