year,country,count
2015,China,1465
2015,Pakistan,835
2015,Nigeria,755
2015,Colombia,675
2015,Ukraine,335
2015,India,330
2015,Haiti,280
2015,DR Congo,260
2015,Ethiopia,240
2015,Turkey,230
2015,Venezuela,225
2015,Sri Lanka,200
2015,Bangladesh,185
2015,Cameroon,170
2015,United States of America,115
2015,Iran,100
2015,Mexico,65
2015,Nepal,65
2015,Algeria,30
2015,Senegal,25
2015,Ghana,15
2015,"Guinea, Republic of",10
2015,"Ivory Coast, Republic of",10
2016,Nigeria,1435
2016,China,1145
2016,Pakistan,1100
2016,Turkey,1075
2016,Colombia,815
2016,Haiti,610
2016,India,525
2016,Venezuela,520
2016,DR Congo,380
2016,Ethiopia,345
2016,United States of America,310
2016,Iran,250
2016,Ukraine,250
2016,Bangladesh,245
2016,Mexico,205
2016,Nepal,170
2016,Sri Lanka,160
2016,Cameroon,140
2016,Romania,100
2016,Algeria,95
2016,Ghana,70
2016,Chile,25
2016,"Guinea, Republic of",15
2016,"Ivory Coast, Republic of",10
2016,Senegal,10
2017,Haiti,7765
2017,Nigeria,5965
2017,United States of America,2480
2017,Turkey,2180
2017,Pakistan,1715
2017,Mexico,1495
2017,India,1450
2017,Colombia,1370
2017,Venezuela,1215
2017,China,1025
2017,Iran,650
2017,DR Congo,580
2017,Ethiopia,580
2017,Bangladesh,465
2017,Sri Lanka,355
2017,Cameroon,210
2017,Ukraine,205
2017,Algeria,185
2017,Ghana,185
2017,Romania,155
2017,Nepal,105
2017,"Guinea, Republic of",85
2017,Chile,60
2017,"Ivory Coast, Republic of",50
2017,Senegal,15
2018,Nigeria,8830
2018,India,4505
2018,Mexico,3300
2018,Colombia,2575
2018,Iran,2520
2018,Pakistan,2015
2018,China,1805
2018,Turkey,1805
2018,United States of America,1625
2018,Romania,1420
2018,Venezuela,1280
2018,Haiti,1230
2018,DR Congo,1135
2018,Bangladesh,775
2018,Ethiopia,675
2018,Sri Lanka,520
2018,Algeria,410
2018,Cameroon,350
2018,"Guinea, Republic of",185
2018,Senegal,180
2018,Ukraine,170
2018,Nepal,155
2018,Ghana,85
2018,"Ivory Coast, Republic of",85
2018,Chile,55
2019,India,7305
2019,Mexico,6310
2019,Iran,5620
2019,Nigeria,4090
2019,Colombia,3360
2019,Pakistan,2635
2019,China,2020
2019,Turkey,1980
2019,Haiti,1620
2019,United States of America,1450
2019,DR Congo,1440
2019,Venezuela,1420
2019,Sri Lanka,975
2019,Bangladesh,870
2019,Algeria,660
2019,Romania,590
2019,Ethiopia,585
2019,Cameroon,490
2019,Nepal,225
2019,Ghana,215
2019,"Guinea, Republic of",190
2019,Senegal,185
2019,Chile,175
2019,Ukraine,165
2019,"Ivory Coast, Republic of",135
